"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04151","hsa04151","PI3K-Akt signaling pathway","65/792","354/8461",6.01337735048626e-08,1.97238777095949e-05,1.61411707828842e-05,"CHRM1/TGFA/ITGA10/LPAR2/PRKCA/ITGB4/TLR4/COL9A2/DDIT4/HSP90B1/COL1A1/CREB3L4/SOS1/CCNE1/BCL2L1/CRTC2/COL6A6/IGF1R/PHLPP1/PIK3CB/RPTOR/PRLR/RHEB/GSK3B/SOS2/ERBB3/EGFR/PPP2R5E/PPP2R3A/MTOR/PDPK1/MAP2K1/IL4R/PPP2R5A/CREB1/LPAR1/FGF2/FLT1/CSF1/BRCA1/FGFR2/TEK/KDR/PDGFA/IFNAR1/VEGFA/NOS3/PGF/NGFR/LAMC2/ITGB6/ERBB4/F2R/ITGB5/PDGFD/FGF10/MAGI2/LAMA1/FGF9/THBS1/PPP2R2B/IBSP/COL9A3/LAMB3/NGF",65
"hsa04010","hsa04010","MAPK signaling pathway","57/792","302/8461",1.54966775974214e-07,2.54145512597711e-05,2.07981725649603e-05,"TGFA/PRKCA/PLA2G4A/CACNA2D3/RAPGEF2/RPS6KA6/MAP3K5/SOS1/FLNB/LAMTOR3/CACNA1D/ARRB1/IGF1R/NLK/PRKACA/MAP3K6/MKNK2/GADD45A/CACNA1C/MAPKAPK3/SOS2/RPS6KA1/MAP2K3/ERBB3/EGFR/NF1/MAP2K1/MAP3K3/MAP3K1/MAPK8IP1/FGF2/FLT1/RET/CSF1/FGFR2/MAP4K1/TEK/STMN1/KDR/PDGFA/DUSP1/JUN/IL1RAP/DUSP5/PTPRR/VEGFA/IL1R1/PGF/CD14/NGFR/ERBB4/MECOM/PDGFD/FGF10/FGF9/DUSP4/NGF",57
"hsa01250","hsa01250","Biosynthesis of nucleotide sugars","13/792","37/8461",1.62679041073766e-05,0.0017786241824065,0.00145554931487053,"HKDC1/HK2/HK3/CMAS/FCSK/GNE/GNPNAT1/PGM3/GMPPB/GALK2/UAP1/GFPT1/PGM2",13
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","20/792","79/8461",2.68805907946326e-05,0.00220420844515988,0.00180382911911351,"TGFA/PRKCA/SOS1/BCL2L1/IGF1R/PIK3CB/GSK3B/SOS2/ERBB3/EGFR/STAT3/MTOR/NF1/MAP2K1/FGF2/FGFR2/KDR/PDGFA/VEGFA/PDGFD",20
"hsa04015","hsa04015","Rap1 signaling pathway","38/792","210/8461",4.97201004439702e-05,0.00326163858912444,0.00266918433962366,"LPAR2/PRKCA/SIPA1L1/RAPGEF5/RAPGEF2/RAP1GAP/IGF1R/PIK3CB/ADCY5/PLCB3/MAP2K3/EGFR/CTNND1/MAP2K1/SKAP1/RAPGEF3/LPAR1/FGF2/FLT1/CSF1/FGFR2/TEK/KDR/PDGFA/VEGFA/RALB/PLCB1/PGF/NGFR/F2R/PDGFD/FGF10/MAGI2/FGF9/THBS1/VAV3/NGF/DRD2",38
"hsa00564","hsa00564","Glycerophospholipid metabolism","22/792","99/8461",9.32715235510372e-05,0.00496108790737371,0.00405994036065563,"ETNPPL/GPD1L/GPAT2/DGKG/CDS1/PLA2G4A/DGKA/LCLAT1/LPIN2/AGPAT3/PCYT1B/PLA2G12A/PLD1/ETNK1/PLD3/ADPRM/MBOAT1/MBOAT2/PTDSS1/PLA1A/LPCAT4/PHOSPHO1",22
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","14/792","49/8461",0.000105876876072,0.00496108790737371,0.00405994036065563,"HKDC1/HK2/HK3/CMAS/FCSK/GNE/GNPNAT1/PGM3/GMPPB/GALK2/UAP1/CYB5R4/GFPT1/PGM2",14
"hsa05215","hsa05215","Prostate cancer","21/792","97/8461",0.0001976114630033,0.00802113533589745,0.00656415118951813,"TGFA/NKX3-1/HSP90B1/TCF7L1/CREB3L4/SOS1/CCNE1/IGF1R/PIK3CB/EP300/GSK3B/SOS2/EGFR/MTOR/PDPK1/MAP2K1/CREB1/PLAT/FGFR2/PDGFA/PDGFD",21
"hsa05231","hsa05231","Choline metabolism in cancer","21/792","98/8461",0.000229850588373288,0.00802113533589745,0.00656415118951813,"SLC44A4/DGKG/PRKCA/PLA2G4A/SOS1/DGKA/PIK3CB/WASF2/RHEB/PCYT1B/SOS2/EGFR/MTOR/PDPK1/MAP2K1/PLD1/SLC22A5/PDGFA/JUN/PDGFD/PIP5K1B",21
"hsa04510","hsa04510","Focal adhesion","35/792","203/8461",0.000261184219416808,0.00802113533589745,0.00656415118951813,"MYL10/ITGA10/PRKCA/ITGB4/COL9A2/COL1A1/SOS1/FLNB/COL6A6/IGF1R/PIK3CB/GSK3B/SOS2/EGFR/PDPK1/MAP2K1/FLT1/PARVB/KDR/PDGFA/JUN/VEGFA/PGF/LAMC2/ITGB6/ITGB5/PDGFD/LAMA1/THBS1/PIP5K1B/PAK3/VAV3/IBSP/COL9A3/LAMB3",35
"hsa04152","hsa04152","AMPK signaling pathway","24/792","121/8461",0.000294701186880913,0.00802113533589745,0.00656415118951813,"CCNA1/FASN/SREBF1/CREB3L4/PFKP/CRTC2/PFKFB4/IGF1R/PIK3CB/RPTOR/CPT1B/RHEB/ACACA/PPP2R5E/PPP2R3A/MTOR/HMGCR/PDPK1/PPP2R5A/CREB1/FBP1/SCD5/PPP2R2B/CIDEA",24
"hsa05205","hsa05205","Proteoglycans in cancer","35/792","205/8461",0.000316805201550389,0.00802113533589745,0.00656415118951813,"PRKCA/TLR4/WNT7A/COL1A1/SLC9A1/HSPG2/SOS1/FLNB/IGF1R/PIK3CB/PRKACA/SOS2/ERBB3/EGFR/DROSHA/STAT3/MTOR/PDPK1/MAP2K1/CD63/IHH/HOXD10/FGF2/FZD4/KDR/VEGFA/WNT2/ERBB4/ITGB5/SDC1/SDC4/THBS1/VAV3/CTSL/WNT5B",35
