"","hgnc_id","Row.names.x","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","GENEID.x","phase.x","Row.names.y","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y","GENEID.y","phase.y","diff_log2"
"1","HGNC:12388","ENSNVIG00000003253",1958.697086,1.073897601,0.348991449,3.077145881,0.00208993,0.04223641,"TST","1","ENSNVIG00000003253",3821.43914263332,1.10113497786307,0.533787323498816,2.0628721016555,0.0391247813708788,0.275190995176723,"TST","2",0.0272373768630698
"2","HGNC:9587","ENSNVIG00000024295",4191.516178,-1.036510608,0.454071821,-2.282701901,0.022447934,0.215223512,"PTDSS1","1","ENSNVIG00000024295",1857.18316363641,-1.07031166387918,0.523763559354352,-2.04350158533091,0.0410028105988336,0.280236099003658,"PTDSS1","2",0.0338010558791801
"3","HGNC:3721","ENSNVIG00000011306",271.8118482,1.134115063,0.374790924,3.025993936,0.002478173,0.047694719,"FKBP5","1","ENSNVIG00000011306",567.262125712371,1.21239980893776,0.503161965201716,2.40956171727271,0.0159716944408618,0.181324276004976,"FKBP5","2",0.0782847459377598
"4","HGNC:125","ENSNVIG00000022949",436.366095,-0.872278042,0.236228527,-3.692517802,0.000222045,0.007155347,"ACP3","1","ENSNVIG00000022949",217.601925804978,-0.789912088755702,0.27876078655206,-2.83365568925951,0.00460188852652699,0.0943419878297397,"ACP3","2",0.0823659532442981
"5","HGNC:14217","ENSNVIG00000013296",4.184386646,3.030796259,1.397080865,2.169377833,0.030054011,0.256823659,"STK32B","1","ENSNVIG00000013296",29.7517531078657,2.94284302820847,0.818356308062801,3.59604123437957,0.000323096607391522,0.0194019512738609,"STK32B","2",0.0879532307915301
"6","HGNC:29255","ENSNVIG00000012706",1706.052646,0.708573808,0.228697838,3.098296929,0.001946363,0.040128042,"USP53","1","ENSNVIG00000012706",2459.50862866265,0.618408692142637,0.291596505502617,2.12076852936458,0.0339412862885382,0.264268945429721,"USP53","2",0.090165115857363
"7","HGNC:3971","ENSNVIG00000002518",98.98342144,1.667838064,0.564842335,2.95274975,0.003149572,0.055915835,"FST","1","ENSNVIG00000002518",339.943431560673,1.56572012135504,0.679656328593264,2.30369387510262,0.0212398339080233,0.210528532518866,"FST","2",0.10211794264496
"8","HGNC:1930","ENSNVIG00000018787",63624.96962,-3.650768796,1.451326465,-2.515470423,0.011887365,0.140912128,"CHGB","1","ENSNVIG00000018787",4668.34695283473,-3.53641654671525,1.58183540080138,-2.23564129676429,0.0253752771906696,0.228889123167434,"CHGB","2",0.11435224928475
"9","HGNC:16629","ENSNVIG00000005512",1347.540408,-0.425445518,0.17815193,-2.38810502,0.016935502,0.178784348,"RAPGEF3","1","ENSNVIG00000005512",887.500670958426,-0.550953239646216,0.201042601206413,-2.74048005915196,0.00613495045843134,0.109426863869941,"RAPGEF3","2",0.125507721646216
"10","HGNC:23615","ENSNVIG00000024370",144.9878351,1.60689433,0.538851389,2.982073282,0.002863035,0.052657179,"SLC35F2","1","ENSNVIG00000024370",431.991397760294,1.73262297746574,0.827480148147127,2.09385443426695,0.0362729493658173,0.268496725064207,"SLC35F2","2",0.12572864746574
"11","HGNC:28917","ENSNVIG00000011775",192.1107222,0.881155497,0.406870106,2.165692401,0.0303347,0.25835867,"JAZF1","1","ENSNVIG00000011775",345.828349699655,1.02948105533652,0.499401157848614,2.061431054288,0.0392619347465737,0.275617634470346,"JAZF1","2",0.14832555833652
"12","HGNC:6167","ENSNVIG00000015211",36.94842845,-1.837855955,0.579815095,-3.16972768,0.001525819,0.033464137,"ITIH2","1","ENSNVIG00000015211",9.1655117969686,-1.99088574635833,0.973604182263691,-2.04486153883336,0.040868510672944,0.27997509128799,"ITIH2","2",0.15302979135833
"13","HGNC:17282","ENSNVIG00000015710",422.0317996,-1.581266361,0.364192531,-4.34184182,1.41e-05,0.000737176,"RIMS1","1","ENSNVIG00000015710",136.280782729956,-1.38093975717155,0.557482760761944,-2.47709858379142,0.0132455310554242,0.164761573976498,"RIMS1","2",0.20032660382845
"14","HGNC:26913","ENSNVIG00000002387",94.31146845,0.756670295,0.36773215,2.057666963,0.039622114,0.300478784,"SPC24","1","ENSNVIG00000002387",161.586215109965,0.988878467978434,0.496312332923626,1.992451934759,0.0463214939048254,0.295881541189075,"SPC24","2",0.232208172978434
"15","HGNC:30605","ENSNVIG00000013227",668.9728437,0.456614514,0.207426286,2.201333891,0.027712395,0.244495258,"SEPSECS","1","ENSNVIG00000013227",927.886196383208,0.692159581174555,0.346876062657815,1.99540889582039,0.0459983014980614,0.295290655318513,"SEPSECS","2",0.235545067174555
"16","HGNC:4523","ENSNVIG00000005397",83.8263178,-1.47383646,0.533899799,-2.760511362,0.005771095,0.087214608,"GPR83","1","ENSNVIG00000005397",25.764546603326,-1.73885672201913,0.755543672425283,-2.30146421111228,0.0213654060700679,0.211059211648698,"GPR83","2",0.26502026201913
"17","HGNC:14005","ENSNVIG00000019037",240.9460136,-0.743450885,0.289049121,-2.572057241,0.010109618,0.127211996,"PEG10","1","ENSNVIG00000019037",122.461328921921,-1.04834411177161,0.33278873821859,-3.15017905168116,0.00163170427446087,0.0509969664533932,"PEG10","2",0.30489322677161
"18","HGNC:26604","ENSNVIG00000012250",150.6404504,-1.06994307,0.372996466,-2.868507262,0.004124137,0.068463357,"ARHGEF19","1","ENSNVIG00000012250",61.6133662577103,-1.37796669213361,0.638346008400171,-2.15865169359652,0.0308771990791588,0.252268816966461,"ARHGEF19","2",0.30802362213361
"19","HGNC:16692","ENSNVIG00000017319",897.9611831,1.368444835,0.382077969,3.581585291,0.000341516,0.010035456,"CD320","1","ENSNVIG00000017319",2540.68864522727,1.7165681102589,0.639746352779829,2.68320108868156,0.00729211293382546,0.119833445384598,"CD320","2",0.3481232752589
"20","HGNC:5956","ENSNVIG00000022725",356.6953734,-0.588162917,0.28396379,-2.071260269,0.03833448,0.295187043,"IHH","1","ENSNVIG00000022725",198.132118916384,-0.945217089985982,0.323034709239325,-2.92605426894144,0.00343291047047927,0.0794065046427518,"IHH","2",0.357054172985982
