Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0050801,ion homeostasis,19_GO:0065007 biological regulation,-15,3.4,10,30211,754,680,58,8.5,1.1,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2744|2852|2890|2896|3736|3827|4490|4828|5027|5167|5291|5314|5732|5774|6340|6647|6781|7184|7504|8671|9170|9213|9633|9914|10008|10568|23171|23312|27347|28982|51458|53373|55283|55503|55630|57181|57402|60675|65125|65268|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GLS|GPER1|GRIA1|GRN|KCNA1|KNG1|MT1B|NMB|P2RX7|ENPP1|PIK3CB|PKHD1|PTGER2|PTPN3|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|SLC34A2|GPD1L|DMXL2|STK39|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|WNK1|WNK2|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-11,MyList
GO Biological Processes,19,GO:0006873,cellular ion homeostasis,19_GO:0065007 biological regulation,-14,3.5,9.7,30211,635,680,50,7.4,1,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3827|4490|4828|5027|5167|5291|5314|5732|6340|6647|6781|7184|7504|8671|9170|9213|9633|9914|10008|10568|23312|28982|51458|53373|55283|55503|55630|57181|60675|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KNG1|MT1B|NMB|P2RX7|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|SLC34A2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-9.6,MyList
GO Biological Processes,19,GO:0055082,cellular chemical homeostasis,19_GO:0065007 biological regulation,-13,3.2,9.3,30211,746,680,54,7.9,1,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3099|3827|4490|4828|5027|5076|5167|5291|5314|5732|6340|6647|6781|6833|7184|7504|8671|9170|9213|9633|9914|10008|10568|23312|28982|51458|53373|55283|55503|55630|57181|60675|80201|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|HK2|KNG1|MT1B|NMB|P2RX7|PAX2|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|ABCC8|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|SLC34A2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|HKDC1|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-9.4,MyList
GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0065007 biological regulation,-13,3.3,9.3,30211,702,680,52,7.6,1,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3736|3827|4490|4828|5027|5167|5291|5314|5732|6340|6647|6781|7184|7504|8671|9170|9213|9633|9914|10008|10568|23312|28982|51458|53373|55283|55503|55630|57181|57402|60675|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KCNA1|KNG1|MT1B|NMB|P2RX7|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|SLC34A2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-9.4,MyList
GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-13,3.6,9.4,30211,573,680,46,6.8,0.96,18|40|55|134|476|489|1136|1813|1824|1839|1906|1910|2149|2150|2539|2660|2744|2852|3625|3736|4824|5144|5578|5800|6584|6647|6781|6833|6870|7136|7476|9456|9699|9992|10008|22999|23171|23493|27131|27347|54206|60675|65125|80005|81832|152404,ABAT|ASIC2|ACP3|ADORA1|ATP1A1|ATP2A3|CHRNA3|DRD2|DSC2|HBEGF|EDN1|EDNRB|F2R|F2RL1|G6PD|MSTN|GLS|GPER1|INHBB|KCNA1|NKX3-1|PDE4D|PRKCA|PTPRO|SLC22A5|SOD1|STC1|ABCC8|TACR3|TNNI2|WNT7A|HOMER1|RIMS2|KCNE2|KCNE3|RIMS1|GPD1L|HEY2|SNX5|STK39|ERRFI1|PROK2|WNK1|DOCK5|NETO1|IGSF11,-9.3,MyList
GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-12,3.7,9.2,30211,492,680,41,6,0.91,18|40|134|476|489|1813|1906|1910|2149|2150|2852|3827|4036|5144|5467|5800|6509|6513|6533|6536|6565|6584|6647|6833|6870|7136|8671|8884|9992|10008|11138|23171|27131|27347|54407|54567|65125|80005|84879|170690|100506658,ABAT|ASIC2|ADORA1|ATP1A1|ATP2A3|DRD2|EDN1|EDNRB|F2R|F2RL1|GPER1|KNG1|LRP2|PDE4D|PPARD|PTPRO|SLC1A4|SLC2A1|SLC6A6|SLC6A9|SLC15A2|SLC22A5|SOD1|ABCC8|TACR3|TNNI2|SLC4A4|SLC5A6|KCNE2|KCNE3|TBC1D8|GPD1L|SNX5|STK39|SLC38A2|DLL4|WNK1|DOCK5|MFSD2A|ADAMTS16|OCLN,-8.5,MyList
GO Biological Processes,19,GO:0009611,response to wounding,19_GO:0050896 response to stimulus,-12,3.9,9.3,30211,430,680,38,5.6,0.88,664|928|1606|1608|1813|1839|2149|2150|2151|3053|3625|3691|3694|3827|4217|4321|5055|5154|5265|5270|5291|5467|5493|6382|6385|6647|7035|7039|7099|7476|8837|9076|10451|22875|23671|79625|81029|146760,BNIP3|CD9|DGKA|DGKG|DRD2|HBEGF|F2R|F2RL1|F2RL2|SERPIND1|INHBB|ITGB4|ITGB6|KNG1|MAP3K5|MMP12|SERPINB2|PDGFA|SERPINA1|SERPINE2|PIK3CB|PPARD|PPL|SDC1|SDC4|SOD1|TFPI|TGFA|TLR4|WNT7A|CFLAR|CLDN1|VAV3|ENPP4|TMEFF2|NDNF|WNT5B|RTN4RL1,-8.5,MyList
GO Biological Processes,19,GO:0030855,epithelial cell differentiation,19_GO:0032502 developmental process,-12,3.5,8.9,30211,549,680,43,6.3,0.93,182|231|1910|1999|2150|2317|3880|5076|5144|5314|5357|5493|5800|6299|6382|6647|6781|7051|7263|7348|7429|7476|8842|9076|9693|9863|23022|23086|23493|25803|26298|51057|51458|54507|55283|57662|79983|80736|81029|153562|169044|284217|728361,JAG1|AKR1B1|EDNRB|ELF3|F2RL1|FLNB|KRT19|PAX2|PDE4D|PKHD1|PLS1|PPL|PTPRO|SALL1|SDC1|SOD1|STC1|TGM1|TST|UPK1B|VIL1|WNT7A|PROM1|CLDN1|RAPGEF2|MAGI2|PALLD|EXPH5|HEY2|SPDEF|EHF|WDPCP|RHCG|ADAMTSL4|MCOLN3|CAMSAP3|POF1B|SLC44A4|WNT5B|MARVELD2|COL22A1|LAMA1|OVOL3,-8.3,MyList
GO Biological Processes,19,GO:0055080,cation homeostasis,19_GO:0065007 biological regulation,-12,3.1,8.7,30211,692,680,49,7.2,0.99,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3736|3827|4490|4828|5027|5291|5314|5732|6340|6647|6781|7184|7504|8671|9170|9633|9914|23312|28982|51458|53373|55283|55503|55630|57181|57402|60675|65125|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KCNA1|KNG1|MT1B|NMB|P2RX7|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|TESMIN|ATP2C2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|WNK1|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-8.3,MyList
GO Biological Processes,19,GO:0050878,regulation of body fluid levels,19_GO:0065007 biological regulation,-11,4.1,9.1,30211,366,680,34,5,0.84,18|134|231|540|928|1080|1606|1608|1813|1906|1910|2039|2149|2150|2151|3053|3099|3827|3925|5055|5154|5265|5270|5291|5800|6340|7035|7057|9076|10451|22875|27347|29841|65125,ABAT|ADORA1|AKR1B1|ATP7B|CD9|CFTR|DGKA|DGKG|DRD2|EDN1|EDNRB|DMTN|F2R|F2RL1|F2RL2|SERPIND1|HK2|KNG1|STMN1|SERPINB2|PDGFA|SERPINA1|SERPINE2|PIK3CB|PTPRO|SCNN1G|TFPI|THBS1|CLDN1|VAV3|ENPP4|STK39|GRHL1|WNK1,-8.1,MyList
