_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0090190,positive regulation of branching involved in ureteric bud morphogenesis,M1,1,0
1,-11,GO:2000147,positive regulation of cell motility,M1,1,0
1,-8.8,GO:0030155,regulation of cell adhesion,M1,1,0
1,-2.2,GO:0014020,primary neural tube formation,M1,1,0
1,-2.8,GO:0010454,negative regulation of cell fate commitment,M1,1,0
1,-2.4,GO:0046470,phosphatidylcholine metabolic process,M1,1,0
1,-2.7,GO:0062012,regulation of small molecule metabolic process,M1,1,0
1,-3,GO:0030032,lamellipodium assembly,M1,1,0
1,-3,GO:0042454,ribonucleoside catabolic process,M1,1,0
1,-2.4,GO:0043094,cellular metabolic compound salvage,M1,1,0
1,-4.5,GO:0070493,thrombin-activated receptor signaling pathway,M1,1,0
1,-6.8,GO:0001568,blood vessel development,M1,1,0
1,-5.9,GO:0001525,angiogenesis,M1,1,0
1,-2.5,GO:0001823,mesonephros development,M1,1,0
1,-3.6,GO:0045745,positive regulation of G protein-coupled receptor signaling pathway,M1,1,0
1,-2.8,GO:0045823,positive regulation of heart contraction,M1,1,0
1,-2.8,GO:0046329,negative regulation of JNK cascade,M1,1,0
1,-3.8,R-HSA-8957275,Post-translational protein phosphorylation,M1,1,0
1,-2.3,GO:0060541,respiratory system development,M1,1,0
1,-7.9,GO:0010959,regulation of metal ion transport,M1,1,0
1,-4.1,GO:0008643,carbohydrate transport,M1,1,0
1,-3.3,GO:0032872,regulation of stress-activated MAPK cascade,M1,1,0
1,-2.4,GO:1901016,regulation of potassium ion transmembrane transporter activity,M1,1,0
1,-8.5,M5885,NABA MATRISOME ASSOCIATED,M1,1,0
1,-5.2,GO:0003158,endothelium development,M1,1,0
1,-3.4,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-6.4,R-HSA-1474244,Extracellular matrix organization,M1,1,0
1,-4.8,GO:0006643,membrane lipid metabolic process,M1,1,0
1,-4.9,GO:0045229,external encapsulating structure organization,M1,1,0
1,-5.3,GO:0030900,forebrain development,M1,1,0
1,-3,GO:0034110,regulation of homotypic cell-cell adhesion,M1,1,0
1,-2.3,GO:1901606,alpha-amino acid catabolic process,M1,1,0
1,-4.2,GO:1901652,response to peptide,M1,1,0
1,-2.2,GO:0030031,cell projection assembly,M1,1,0
1,-10,GO:0010035,response to inorganic substance,M1,1,0
1,-2.2,GO:0045217,cell-cell junction maintenance,M1,1,0
1,-2.1,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,M1,1,0
1,-2.8,GO:0006692,prostanoid metabolic process,M1,1,0
1,-3.4,GO:0097746,blood vessel diameter maintenance,M1,1,0
1,-2.2,GO:0032355,response to estradiol,M1,1,0
1,-2.4,GO:0050709,negative regulation of protein secretion,M1,1,0
1,-4.4,GO:0006836,neurotransmitter transport,M1,1,0
1,-2.5,GO:0010561,negative regulation of glycoprotein biosynthetic process,M1,1,0
1,-2.3,GO:0033137,negative regulation of peptidyl-serine phosphorylation,M1,1,0
1,-2.9,GO:0051156,glucose 6-phosphate metabolic process,M1,1,0
1,-4.3,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-5.9,GO:0002690,positive regulation of leukocyte chemotaxis,M1,1,0
1,-2.1,GO:0006575,cellular modified amino acid metabolic process,M1,1,0
1,-2.6,GO:0097581,lamellipodium organization,M1,1,0
1,-4.9,GO:0044062,regulation of excretion,M1,1,0
1,-2.1,GO:0045055,regulated exocytosis,M1,1,0
1,-2.1,GO:0070167,regulation of biomineral tissue development,M1,1,0
1,-6.5,GO:0090257,regulation of muscle system process,M1,1,0
1,-3.2,GO:0071470,cellular response to osmotic stress,M1,1,0
1,-3,GO:0002263,cell activation involved in immune response,M1,1,0
1,-2.3,GO:0032873,negative regulation of stress-activated MAPK cascade,M1,1,0
1,-3.4,GO:0010876,lipid localization,M1,1,0
1,-5.7,GO:0032409,regulation of transporter activity,M1,1,0
1,-2.9,GO:0060401,cytosolic calcium ion transport,M1,1,0
1,-4.6,GO:0051048,negative regulation of secretion,M1,1,0
1,-2.6,GO:0010713,negative regulation of collagen metabolic process,M1,1,0
1,-4.5,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-3.9,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-3.4,GO:0007568,aging,M1,1,0
1,-2.3,GO:1903793,positive regulation of anion transport,M1,1,0
1,-2.1,WP244,Alpha 6 beta 4 signaling pathway,M1,1,0
1,-2.3,GO:0044706,multi-multicellular organism process,M1,1,0
1,-2.8,GO:2000146,negative regulation of cell motility,M1,1,0
1,-4.2,GO:0006520,cellular amino acid metabolic process,M1,1,0
1,-4.4,GO:0061045,negative regulation of wound healing,M1,1,0
1,-5.6,GO:0043271,negative regulation of ion transport,M1,1,0
1,-2.3,GO:0045780,positive regulation of bone resorption,M1,1,0
1,-3.4,hsa00561,Glycerolipid metabolism,M1,1,0
1,-3.3,GO:0071241,cellular response to inorganic substance,M1,1,0
1,-3.2,GO:0010976,positive regulation of neuron projection development,M1,1,0
1,-4.9,GO:0048589,developmental growth,M1,1,0
1,-3.2,GO:0003012,muscle system process,M1,1,0
1,-6.8,GO:0048729,tissue morphogenesis,M1,1,0
1,-3.3,GO:0045137,development of primary sexual characteristics,M1,1,0
1,-3.8,GO:0043547,positive regulation of GTPase activity,M1,1,0
1,-2.3,GO:1902624,positive regulation of neutrophil migration,M1,1,0
1,-4.1,GO:0072009,nephron epithelium development,M1,1,0
1,-2.2,R-HSA-418990,Adherens junctions interactions,M1,1,0
1,-4.4,GO:0007596,blood coagulation,M1,1,0
1,-2,GO:0055001,muscle cell development,M1,1,0
1,-3.4,GO:0032535,regulation of cellular component size,M1,1,0
1,-7.7,GO:1901137,carbohydrate derivative biosynthetic process,M1,1,0
1,-11,GO:0040017,positive regulation of locomotion,M1,1,0
1,-2.1,hsa04150,mTOR signaling pathway,M1,1,0
1,-2.6,GO:0045833,negative regulation of lipid metabolic process,M1,1,0
1,-12,GO:0030855,epithelial cell differentiation,M1,1,0
1,-5.2,GO:0030195,negative regulation of blood coagulation,M1,1,0
1,-2.9,R-HSA-2562578,TRIF-mediated programmed cell death,M1,1,0
1,-2.7,GO:0042471,ear morphogenesis,M1,1,0
1,-7.6,GO:0072337,modified amino acid transport,M1,1,0
1,-2.2,GO:0031669,cellular response to nutrient levels,M1,1,0
1,-2.8,GO:1901264,carbohydrate derivative transport,M1,1,0
1,-3.5,GO:0046903,secretion,M1,1,0
1,-2.3,hsa04310,Wnt signaling pathway,M1,1,0
1,-2.7,GO:0033574,response to testosterone,M1,1,0
1,-3.9,GO:0010952,positive regulation of peptidase activity,M1,1,0
1,-3.1,GO:0002366,leukocyte activation involved in immune response,M1,1,0
1,-4.3,GO:0003093,regulation of glomerular filtration,M1,1,0
1,-7.4,GO:0008015,blood circulation,M1,1,0
1,-2,WP185,Integrin-mediated cell adhesion,M1,1,0
1,-2.8,GO:0090527,actin filament reorganization,M1,1,0
1,-5.1,GO:0050803,regulation of synapse structure or activity,M1,1,0
1,-3.1,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.4,hsa04670,Leukocyte transendothelial migration,M1,1,0
1,-3.2,GO:0046320,regulation of fatty acid oxidation,M1,1,0
1,-2.9,GO:0051896,regulation of protein kinase B signaling,M1,1,0
1,-2.1,GO:0002093,auditory receptor cell morphogenesis,M1,1,0
1,-2.6,GO:0072506,trivalent inorganic anion homeostasis,M1,1,0
1,-2.9,GO:0046330,positive regulation of JNK cascade,M1,1,0
1,-3.4,GO:0035150,regulation of tube size,M1,1,0
1,-3.2,GO:0051482,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,M1,1,0
1,-5.7,GO:0099177,regulation of trans-synaptic signaling,M1,1,0
1,-2.2,R-HSA-5619115,Disorders of transmembrane transporters,M1,1,0
1,-13,GO:0044057,regulation of system process,M1,1,0
1,-3.6,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,M1,1,0
1,-11,GO:0050878,regulation of body fluid levels,M1,1,0
1,-6.1,GO:0032414,positive regulation of ion transmembrane transporter activity,M1,1,0
1,-7,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-2.2,GO:0001890,placenta development,M1,1,0
1,-3.9,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-4.4,GO:0008366,axon ensheathment,M1,1,0
1,-3.5,hsa05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-6.5,GO:0022898,regulation of transmembrane transporter activity,M1,1,0
1,-2.8,GO:0090175,regulation of establishment of planar polarity,M1,1,0
1,-8.2,GO:0050818,regulation of coagulation,M1,1,0
1,-3.5,GO:0001775,cell activation,M1,1,0
1,-8.9,GO:0072507,divalent inorganic cation homeostasis,M1,1,0
1,-2.7,GO:0010591,regulation of lamellipodium assembly,M1,1,0
1,-3.1,R-HSA-352230,Amino acid transport across the plasma membrane,M1,1,0
1,-2.2,GO:2000369,regulation of clathrin-dependent endocytosis,M1,1,0
1,-2.2,R-HSA-4085001,Sialic acid metabolism,M1,1,0
1,-2.8,R-HSA-446107,Type I hemidesmosome assembly,M1,1,0
1,-2.7,GO:0032271,regulation of protein polymerization,M1,1,0
1,-2.7,GO:0000041,transition metal ion transport,M1,1,0
1,-2.8,GO:0035967,cellular response to topologically incorrect protein,M1,1,0
1,-3.1,GO:1901216,positive regulation of neuron death,M1,1,0
1,-3.3,WP2884,NRF2 pathway,M1,1,0
1,-5.7,R-HSA-416476,G alpha (q) signalling events,M1,1,0
1,-2.3,GO:0009798,axis specification,M1,1,0
1,-3,GO:0009267,cellular response to starvation,M1,1,0
1,-2.2,GO:0030168,platelet activation,M1,1,0
1,-2.5,GO:1903018,regulation of glycoprotein metabolic process,M1,1,0
1,-5.8,GO:0006937,regulation of muscle contraction,M1,1,0
1,-2.8,GO:0030194,positive regulation of blood coagulation,M1,1,0
1,-3.3,GO:0051146,striated muscle cell differentiation,M1,1,0
1,-2.1,GO:0006631,fatty acid metabolic process,M1,1,0
1,-2.3,GO:0051283,negative regulation of sequestering of calcium ion,M1,1,0
1,-2.3,hsa04140,Autophagy - animal,M1,1,0
1,-3.9,GO:0010762,regulation of fibroblast migration,M1,1,0
1,-4,GO:0051592,response to calcium ion,M1,1,0
1,-3.2,GO:0032970,regulation of actin filament-based process,M1,1,0
1,-5.5,GO:0006664,glycolipid metabolic process,M1,1,0
1,-2.9,GO:0045661,regulation of myoblast differentiation,M1,1,0
1,-3,GO:0043268,positive regulation of potassium ion transport,M1,1,0
1,-4.4,GO:0060491,regulation of cell projection assembly,M1,1,0
1,-2.6,GO:0030336,negative regulation of cell migration,M1,1,0
1,-2.1,GO:0071318,cellular response to ATP,M1,1,0
1,-2.1,GO:0086013,membrane repolarization during cardiac muscle cell action potential,M1,1,0
1,-3.3,GO:0007176,regulation of epidermal growth factor-activated receptor activity,M1,1,0
1,-2.1,GO:0110149,regulation of biomineralization,M1,1,0
1,-4.4,GO:0030890,positive regulation of B cell proliferation,M1,1,0
1,-2.2,GO:0048562,embryonic organ morphogenesis,M1,1,0
1,-5.9,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-3.4,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,M1,1,0
1,-3.4,GO:0030002,cellular anion homeostasis,M1,1,0
1,-3.4,hsa04978,Mineral absorption,M1,1,0
1,-4.9,GO:0040007,growth,M1,1,0
1,-2.7,GO:0009065,glutamine family amino acid catabolic process,M1,1,0
1,-2.7,hsa04514,Cell adhesion molecules,M1,1,0
1,-8.4,GO:0098662,inorganic cation transmembrane transport,M1,1,0
1,-2,GO:0001501,skeletal system development,M1,1,0
1,-8.3,GO:0010810,regulation of cell-substrate adhesion,M1,1,0
1,-2.8,WP5083,Neuroinflammation and glutamatergic signaling,M1,1,0
1,-3.5,GO:0055067,monovalent inorganic cation homeostasis,M1,1,0
1,-4.2,GO:0045987,positive regulation of smooth muscle contraction,M1,1,0
1,-5.7,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-2.2,GO:0033865,nucleoside bisphosphate metabolic process,M1,1,0
1,-7,GO:1902532,negative regulation of intracellular signal transduction,M1,1,0
1,-2.3,GO:0060078,regulation of postsynaptic membrane potential,M1,1,0
1,-2,GO:0071456,cellular response to hypoxia,M1,1,0
1,-2.9,GO:0046503,glycerolipid catabolic process,M1,1,0
1,-2.4,GO:0040018,positive regulation of multicellular organism growth,M1,1,0
1,-3.3,GO:0032677,regulation of interleukin-8 production,M1,1,0
1,-3.5,GO:0071900,regulation of protein serine/threonine kinase activity,M1,1,0
1,-4.6,GO:1903522,regulation of blood circulation,M1,1,0
1,-2.1,GO:0060402,calcium ion transport into cytosol,M1,1,0
1,-2.3,GO:0006654,phosphatidic acid biosynthetic process,M1,1,0
1,-2.7,GO:0002792,negative regulation of peptide secretion,M1,1,0
1,-12,GO:0009611,response to wounding,M1,1,0
1,-2.1,GO:0070293,renal absorption,M1,1,0
1,-4.4,GO:0046395,carboxylic acid catabolic process,M1,1,0
1,-2.3,GO:0006576,cellular biogenic amine metabolic process,M1,1,0
1,-6.8,GO:0098739,import across plasma membrane,M1,1,0
1,-2.4,GO:1902305,regulation of sodium ion transmembrane transport,M1,1,0
1,-2.2,GO:0050773,regulation of dendrite development,M1,1,0
1,-2.1,GO:0008360,regulation of cell shape,M1,1,0
1,-2.3,GO:1901185,negative regulation of ERBB signaling pathway,M1,1,0
1,-2,GO:0008064,regulation of actin polymerization or depolymerization,M1,1,0
1,-2.5,GO:0060538,skeletal muscle organ development,M1,1,0
1,-11,GO:1903034,regulation of response to wounding,M1,1,0
1,-5.6,GO:0090066,regulation of anatomical structure size,M1,1,0
1,-4.1,GO:0060627,regulation of vesicle-mediated transport,M1,1,0
1,-4.9,hsa05231,Choline metabolism in cancer,M1,1,0
1,-2.3,GO:0006506,GPI anchor biosynthetic process,M1,1,0
1,-5.4,GO:0050920,regulation of chemotaxis,M1,1,0
1,-2.6,GO:0006661,phosphatidylinositol biosynthetic process,M1,1,0
1,-2.1,hsa00512,Mucin type O-glycan biosynthesis,M1,1,0
1,-4.6,GO:0044242,cellular lipid catabolic process,M1,1,0
1,-5.2,R-HSA-196854,Metabolism of vitamins and cofactors,M1,1,0
1,-2.1,GO:0080135,regulation of cellular response to stress,M1,1,0
1,-2.2,hsa05010,Alzheimer disease,M1,1,0
1,-3.5,R-HSA-9013149,RAC1 GTPase cycle,M1,1,0
1,-4.7,GO:0035725,sodium ion transmembrane transport,M1,1,0
1,-2.8,R-HSA-196780,Biotin transport and metabolism,M1,1,0
1,-2.2,GO:0051402,neuron apoptotic process,M1,1,0
1,-8,GO:0010038,response to metal ion,M1,1,0
1,-2.2,GO:0008652,cellular amino acid biosynthetic process,M1,1,0
1,-7.7,GO:0055074,calcium ion homeostasis,M1,1,0
1,-2.2,GO:0002285,lymphocyte activation involved in immune response,M1,1,0
1,-2.1,GO:0030262,apoptotic nuclear changes,M1,1,0
1,-2.1,GO:0048017,inositol lipid-mediated signaling,M1,1,0
1,-2.3,GO:0035304,regulation of protein dephosphorylation,M1,1,0
