_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-15.336418759712938,GO:0050801,M1,1,0,GO Biological Processes,19,ion homeostasis,19_GO:0065007 biological regulation,-15.336418759712938,3.4175339366515836,10.201281620883755,30211,754,680,58,8.529411764705882,1.0711389700980785,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2744|2852|2890|2896|3736|3827|4490|4828|5027|5167|5291|5314|5732|5774|6340|6647|6781|7184|7504|8671|9170|9213|9633|9914|10008|10568|23171|23312|27347|28982|51458|53373|55283|55503|55630|57181|57402|60675|65125|65268|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GLS|GPER1|GRIA1|GRN|KCNA1|KNG1|MT1B|NMB|P2RX7|ENPP1|PIK3CB|PKHD1|PTGER2|PTPN3|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|SLC34A2|GPD1L|DMXL2|STK39|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|WNK1|WNK2|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-10.989733344685364,0,1,1,1,-15.336418759712938,3.7023284313725493,
1,-13.664645189802405,GO:0006873,M1,1,0,GO Biological Processes,19,cellular ion homeostasis,19_GO:0065007 biological regulation,-13.664645189802405,3.4982630847614633,9.654861691513622,30211,635,680,50,7.352941176470588,1.0009028084261362,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3827|4490|4828|5027|5167|5291|5314|5732|6340|6647|6781|7184|7504|8671|9170|9213|9633|9914|10008|10568|23312|28982|51458|53373|55283|55503|55630|57181|60675|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KNG1|MT1B|NMB|P2RX7|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|SLC34A2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-9.618989770438812,0,1,0,0,-15.336418759712938,3.7023284313725493,
1,-13.221856297893458,GO:0055082,M1,1,0,GO Biological Processes,19,cellular chemical homeostasis,19_GO:0065007 biological regulation,-13.221856297893458,3.2159635704147607,9.29971308057087,30211,746,680,54,7.9411764705882355,1.0368613295179374,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3099|3827|4490|4828|5027|5076|5167|5291|5314|5732|6340|6647|6781|6833|7184|7504|8671|9170|9213|9633|9914|10008|10568|23312|28982|51458|53373|55283|55503|55630|57181|60675|80201|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|HK2|KNG1|MT1B|NMB|P2RX7|PAX2|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|ABCC8|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|SLC34A2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|HKDC1|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-9.394063277569494,0,1,0,0,-15.336418759712938,3.7023284313725493,
1,-13.138688701269105,GO:0098771,M1,1,0,GO Biological Processes,19,inorganic ion homeostasis,19_GO:0065007 biological regulation,-13.138688701269105,3.290958605664488,9.319643380486896,30211,702,680,52,7.647058823529412,1.0191031045962327,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3736|3827|4490|4828|5027|5167|5291|5314|5732|6340|6647|6781|7184|7504|8671|9170|9213|9633|9914|10008|10568|23312|28982|51458|53373|55283|55503|55630|57181|57402|60675|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KCNA1|KNG1|MT1B|NMB|P2RX7|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|SLC34A2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-9.394063277569494,0,1,0,0,-15.336418759712938,3.7023284313725493,
1,-11.689349330516034,GO:0055080,M1,1,0,GO Biological Processes,19,cation homeostasis,19_GO:0065007 biological regulation,-11.689349330516034,3.1459091295477735,8.665712896322264,30211,692,680,49,7.205882352941177,0.9916293001105692,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3736|3827|4490|4828|5027|5291|5314|5732|6340|6647|6781|7184|7504|8671|9170|9633|9914|23312|28982|51458|53373|55283|55503|55630|57181|57402|60675|65125|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KCNA1|KNG1|MT1B|NMB|P2RX7|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|TESMIN|ATP2C2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|WNK1|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-8.296906424927785,0,1,0,0,-15.336418759712938,3.7023284313725493,
1,-11.134538932639272,GO:0030003,M1,1,0,GO Biological Processes,19,cellular cation homeostasis,19_GO:0065007 biological regulation,-11.134538932639272,3.224608633776091,8.492985533748175,30211,620,680,45,6.617647058823529,0.9533003456160921,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3827|4490|4828|5027|5291|5314|5732|6340|6647|6781|7184|7504|8671|9170|9633|9914|23312|28982|53373|55283|55503|55630|57181|60675|84239|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KNG1|MT1B|NMB|P2RX7|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|SLC4A4|LPAR2|TESMIN|ATP2C2|DMXL2|FLVCR1|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|ATP13A4|SLC9A7|TMTC4|TMEM9|MICU3,-7.901796869918535,0,1,0,0,-15.336418759712938,3.7023284313725493,
1,-9.429631042807598,GO:0006875,M1,1,0,GO Biological Processes,19,cellular metal ion homeostasis,19_GO:0065007 biological regulation,-9.429631042807598,3.150344919786096,7.723022849169627,30211,550,680,39,5.735294117647059,0.8916572583651623,134|475|476|489|540|664|1813|1906|1910|2149|2150|2151|2852|2890|3827|4490|4828|5027|5291|5314|5732|6340|6647|6781|7184|7504|9170|9633|9914|28982|53373|55283|55503|55630|57181|60675|84239|84899|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|KNG1|MT1B|NMB|P2RX7|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|LPAR2|TESMIN|ATP2C2|FLVCR1|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|ATP13A4|TMTC4|MICU3,-6.614424544822279,0,1,0,0,-15.336418759712938,3.7023284313725493,
1,-9.02178974185707,GO:0055065,M1,1,0,GO Biological Processes,19,metal ion homeostasis,19_GO:0065007 biological regulation,-9.02178974185707,2.947484770607272,7.422745200139757,30211,618,680,41,6.029411764705882,0.9128070557047822,134|475|476|489|540|664|1813|1906|1910|2149|2150|2151|2852|2890|3736|3827|4490|4828|5027|5291|5314|5732|6340|6647|6781|7184|7504|9170|9633|9914|28982|53373|55283|55503|55630|57181|57402|60675|84239|84899|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|KCNA1|KNG1|MT1B|NMB|P2RX7|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|STC1|HSP90B1|XK|LPAR2|TESMIN|ATP2C2|FLVCR1|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|ATP13A4|TMTC4|MICU3,-6.231406827596784,0,1,0,0,-15.336418759712938,3.7023284313725493,
1,-8.885753527590854,GO:0072507,M1,1,0,GO Biological Processes,19,divalent inorganic cation homeostasis,19_GO:0065007 biological regulation,-8.885753527590854,3.253091927147428,7.534670008994472,30211,478,680,35,5.147058823529412,0.8473259562919009,134|489|540|664|1813|1906|1910|2149|2150|2151|2852|2890|3736|3827|4490|4828|5027|5291|5314|5732|6781|7184|7504|9170|9914|53373|55283|55503|55630|57181|57402|60675|84239|84899|286097,ADORA1|ATP2A3|ATP7B|BNIP3|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|KCNA1|KNG1|MT1B|NMB|P2RX7|PIK3CB|PKHD1|PTGER2|STC1|HSP90B1|XK|LPAR2|ATP2C2|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|ATP13A4|TMTC4|MICU3,-6.11885170918009,0,1,0,0,-15.336418759712938,3.7023284313725493,
1,-8.287070830273729,GO:0072503,M1,1,0,GO Biological Processes,19,cellular divalent inorganic cation homeostasis,19_GO:0065007 biological regulation,-8.287070830273729,3.215179953560371,7.232729096309659,30211,456,680,33,4.852941176470588,0.824035157360319,134|489|540|664|1813|1906|1910|2149|2150|2151|2852|2890|3827|4490|4828|5027|5291|5314|5732|6781|7184|7504|9170|9914|53373|55283|55503|55630|57181|60675|84239|84899|286097,ADORA1|ATP2A3|ATP7B|BNIP3|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|KNG1|MT1B|NMB|P2RX7|PIK3CB|PKHD1|PTGER2|STC1|HSP90B1|XK|LPAR2|ATP2C2|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|ATP13A4|TMTC4|MICU3,-5.656388758880954,0,1,0,0,-15.336418759712938,3.7023284313725493,
