Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0050801,ion homeostasis,19_GO:0065007 biological regulation,-16,3.9,11,30211,754,549,53,9.7,1.3,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2744|2852|2890|2896|3736|3827|4828|5167|5291|5314|5732|5774|6340|6647|7184|7504|8671|9170|9213|9633|9914|10008|23171|23312|27347|28982|51458|53373|55283|55503|55630|57181|57402|60675|65125|65268|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GLS|GPER1|GRIA1|GRN|KCNA1|KNG1|NMB|ENPP1|PIK3CB|PKHD1|PTGER2|PTPN3|SCNN1G|SOD1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|GPD1L|DMXL2|STK39|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|WNK1|WNK2|SLC9A7|TMTC4|TMEM9|MICU3,-12
MyList,GO Biological Processes,19,GO:0009611,response to wounding,19_GO:0050896 response to stimulus,-14,4.7,11,30211,430,549,37,6.7,1.1,664|928|1606|1608|1813|1839|2149|2150|2151|3053|3625|3691|3694|3827|4217|4321|5055|5154|5265|5270|5291|5467|5493|6382|6385|6647|7035|7039|7099|7476|8837|9076|10451|23671|79625|81029|146760,BNIP3|CD9|DGKA|DGKG|DRD2|HBEGF|F2R|F2RL1|F2RL2|SERPIND1|INHBB|ITGB4|ITGB6|KNG1|MAP3K5|MMP12|SERPINB2|PDGFA|SERPINA1|SERPINE2|PIK3CB|PPARD|PPL|SDC1|SDC4|SOD1|TFPI|TGFA|TLR4|WNT7A|CFLAR|CLDN1|VAV3|TMEFF2|NDNF|WNT5B|RTN4RL1,-10
MyList,GO Biological Processes,19,GO:0006873,cellular ion homeostasis,19_GO:0065007 biological regulation,-14,3.9,10,30211,635,549,45,8.2,1.2,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3827|4828|5167|5291|5314|5732|6340|6647|7184|7504|8671|9170|9213|9633|9914|10008|23312|28982|51458|53373|55283|55503|55630|57181|60675|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KNG1|NMB|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|SLC9A7|TMTC4|TMEM9|MICU3,-10
MyList,GO Biological Processes,19,GO:0055082,cellular chemical homeostasis,19_GO:0065007 biological regulation,-14,3.6,9.8,30211,746,549,49,8.9,1.2,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3099|3827|4828|5076|5167|5291|5314|5732|6340|6647|6833|7184|7504|8671|9170|9213|9633|9914|10008|23312|28982|51458|53373|55283|55503|55630|57181|60675|80201|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|HK2|KNG1|NMB|PAX2|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|ABCC8|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|HKDC1|SLC9A7|TMTC4|TMEM9|MICU3,-10
MyList,GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-14,4.4,10,30211,492,549,39,7.1,1.1,18|40|134|476|489|1813|1906|1910|2149|2150|2852|3827|4036|5144|5467|5800|6509|6513|6533|6536|6565|6584|6647|6833|6870|7136|8671|8884|10008|11138|23171|27131|27347|54407|54567|65125|80005|170690|100506658,ABAT|ASIC2|ADORA1|ATP1A1|ATP2A3|DRD2|EDN1|EDNRB|F2R|F2RL1|GPER1|KNG1|LRP2|PDE4D|PPARD|PTPRO|SLC1A4|SLC2A1|SLC6A6|SLC6A9|SLC15A2|SLC22A5|SOD1|ABCC8|TACR3|TNNI2|SLC4A4|SLC5A6|KCNE3|TBC1D8|GPD1L|SNX5|STK39|SLC38A2|DLL4|WNK1|DOCK5|ADAMTS16|OCLN,-10
MyList,GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0065007 biological regulation,-14,3.7,9.8,30211,702,549,47,8.6,1.2,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3736|3827|4828|5167|5291|5314|5732|6340|6647|7184|7504|8671|9170|9213|9633|9914|10008|23312|28982|51458|53373|55283|55503|55630|57181|57402|60675|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KCNA1|KNG1|NMB|ENPP1|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|HSP90B1|XK|SLC4A4|LPAR2|XPR1|TESMIN|ATP2C2|KCNE3|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|SLC9A7|TMTC4|TMEM9|MICU3,-10
MyList,GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-14,4,10,30211,573,549,42,7.7,1.1,18|40|55|134|476|489|1136|1813|1824|1839|1906|1910|2149|2150|2539|2660|2744|2852|3625|3736|4824|5144|5578|5800|6584|6647|6833|6870|7136|7476|9456|9699|10008|22999|23171|23493|27131|27347|54206|60675|65125|80005,ABAT|ASIC2|ACP3|ADORA1|ATP1A1|ATP2A3|CHRNA3|DRD2|DSC2|HBEGF|EDN1|EDNRB|F2R|F2RL1|G6PD|MSTN|GLS|GPER1|INHBB|KCNA1|NKX3-1|PDE4D|PRKCA|PTPRO|SLC22A5|SOD1|ABCC8|TACR3|TNNI2|WNT7A|HOMER1|RIMS2|KCNE3|RIMS1|GPD1L|HEY2|SNX5|STK39|ERRFI1|PROK2|WNK1|DOCK5,-10
MyList,GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-13,5.2,10,30211,326,549,31,5.6,0.99,928|1606|1608|1839|2149|2150|2151|3053|3694|3827|4217|4321|5055|5154|5265|5270|5291|5467|5493|6382|6385|7035|7039|7099|7476|8837|9076|10451|23671|79625|81029,CD9|DGKA|DGKG|HBEGF|F2R|F2RL1|F2RL2|SERPIND1|ITGB6|KNG1|MAP3K5|MMP12|SERPINB2|PDGFA|SERPINA1|SERPINE2|PIK3CB|PPARD|PPL|SDC1|SDC4|TFPI|TGFA|TLR4|WNT7A|CFLAR|CLDN1|VAV3|TMEFF2|NDNF|WNT5B,-9.7
MyList,GO Biological Processes,19,GO:0055080,cation homeostasis,19_GO:0065007 biological regulation,-13,3.6,9.3,30211,692,549,45,8.2,1.2,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3736|3827|4828|5291|5314|5732|6340|6647|7184|7504|8671|9170|9633|9914|23312|28982|51458|53373|55283|55503|55630|57181|57402|60675|65125|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KCNA1|KNG1|NMB|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|HSP90B1|XK|SLC4A4|LPAR2|TESMIN|ATP2C2|DMXL2|FLVCR1|RHCG|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|S100A14|PROK2|WNK1|SLC9A7|TMTC4|TMEM9|MICU3,-9.3
MyList,GO Biological Processes,19,GO:0050878,regulation of body fluid levels,19_GO:0065007 biological regulation,-13,4.8,10,30211,366,549,32,5.8,1,18|134|231|540|928|1080|1606|1608|1813|1906|1910|2149|2150|2151|3053|3099|3827|3925|5055|5154|5265|5270|5291|5800|6340|7035|7057|9076|10451|27347|29841|65125,ABAT|ADORA1|AKR1B1|ATP7B|CD9|CFTR|DGKA|DGKG|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|SERPIND1|HK2|KNG1|STMN1|SERPINB2|PDGFA|SERPINA1|SERPINE2|PIK3CB|PTPRO|SCNN1G|TFPI|THBS1|CLDN1|VAV3|STK39|GRHL1|WNK1,-9.2
MyList,GO Biological Processes,19,GO:0030003,cellular cation homeostasis,19_GO:0065007 biological regulation,-12,3.6,9,30211,620,549,41,7.5,1.1,134|475|476|489|540|664|1080|1813|1906|1910|2149|2150|2151|2852|2890|2896|3827|4828|5291|5314|5732|6340|6647|7184|7504|8671|9170|9633|9914|23312|28982|53373|55283|55503|55630|57181|60675|84679|84899|252839|286097,ADORA1|ATOX1|ATP1A1|ATP2A3|ATP7B|BNIP3|CFTR|DRD2|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GRIA1|GRN|KNG1|NMB|PIK3CB|PKHD1|PTGER2|SCNN1G|SOD1|HSP90B1|XK|SLC4A4|LPAR2|TESMIN|ATP2C2|DMXL2|FLVCR1|TPCN1|MCOLN3|TRPV6|SLC39A4|SLC39A10|PROK2|SLC9A7|TMTC4|TMEM9|MICU3,-8.5
MyList,GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-12,3.3,8.8,30211,742,549,45,8.2,1.2,306|445|476|1514|1906|1910|2650|2660|2852|2888|3484|3625|3880|4036|4129|4824|5167|5467|5732|6272|6382|6430|6513|6751|6833|7035|7057|7476|8549|8837|9076|9663|10267|10768|23054|23191|23236|54206|55198|55366|85004|85315|130399|133522|375611,ANXA3|ASS1|ATP1A1|CTSL|EDN1|EDNRB|GCNT1|MSTN|GPER1|GRB14|IGFBP1|INHBB|KRT19|LRP2|MAOB|NKX3-1|ENPP1|PPARD|PTGER2|SORT1|SDC1|SRSF5|SLC2A1|SSTR1|ABCC8|TFPI|THBS1|WNT7A|LGR5|CFLAR|CLDN1|LPIN2|RAMP1|AHCYL1|NCOA6|CYFIP1|PLCB1|ERRFI1|APPL2|LGR4|RERG|PAQR8|ACVR1C|PPARGC1B|SLC26A5,-8.4
MyList,GO Biological Processes,19,GO:0051272,positive regulation of cellular component movement,19_GO:0051179 localization,-11,3.6,8.7,30211,596,549,39,7.1,1.1,306|972|1012|1435|1839|1906|2149|2150|2321|2651|2660|2852|2896|3925|3929|4739|5063|5154|5291|5578|6870|7057|7099|7429|7476|9076|9693|9750|23224|27347|55612|57402|65125|79846|80005|80310|81029|284403|375611,ANXA3|CD74|CDH13|CSF1|HBEGF|EDN1|F2R|F2RL1|FLT1|GCNT2|MSTN|GPER1|GRN|STMN1|LBP|NEDD9|PAK3|PDGFA|PIK3CB|PRKCA|TACR3|THBS1|TLR4|VIL1|WNT7A|CLDN1|RAPGEF2|RIPOR2|SYNE2|STK39|FERMT1|S100A14|WNK1|CFAP69|DOCK5|PDGFD|WNT5B|WDR62|SLC26A5,-7.9
MyList,GO Biological Processes,19,GO:0030855,epithelial cell differentiation,19_GO:0032502 developmental process,-11,3.7,8.7,30211,549,549,37,6.7,1.1,182|231|1910|1999|2150|2317|3880|5076|5144|5314|5357|5493|5800|6299|6382|6647|7051|7263|7348|7429|7476|9076|9693|9863|23022|23086|23493|25803|51458|54507|55283|57662|79983|81029|153562|169044|284217,JAG1|AKR1B1|EDNRB|ELF3|F2RL1|FLNB|KRT19|PAX2|PDE4D|PKHD1|PLS1|PPL|PTPRO|SALL1|SDC1|SOD1|TGM1|TST|UPK1B|VIL1|WNT7A|CLDN1|RAPGEF2|MAGI2|PALLD|EXPH5|HEY2|SPDEF|RHCG|ADAMTSL4|MCOLN3|CAMSAP3|POF1B|WNT5B|MARVELD2|COL22A1|LAMA1,-7.8
MyList,GO Biological Processes,19,GO:0051345,positive regulation of hydrolase activity,19_GO:0065007 biological regulation,-11,3.6,8.7,30211,577,549,38,6.9,1.1,489|1663|1942|2149|2150|2321|2852|2896|4217|4739|4824|6251|6423|7294|8837|8915|9170|9693|9771|9863|10316|11138|23108|23158|23348|26037|51291|57181|64065|84253|112399|125058|130399|133522|139818|153020|201176|340485,ATP2A3|DDX11|EFNA1|F2R|F2RL1|FLT1|GPER1|GRN|MAP3K5|NEDD9|NKX3-1|RSU1|SFRP2|TXK|CFLAR|BCL10|LPAR2|RAPGEF2|RAPGEF5|MAGI2|NMUR1|TBC1D8|RAP1GAP2|TBC1D9|DOCK9|SIPA1L1|GMIP|SLC39A10|PERP|GARNL3|EGLN3|TBC1D16|ACVR1C|PPARGC1B|DOCK11|RASGEF1B|ARHGAP27|ACER2,-7.8
