_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-14,COVID047,M1,1,0,COVID,200,RNA_Wyler_Calu-3_12h_Down,,-14,6.4,11,30211,188,680,27,4,0.75,445|1004|1080|2149|2150|3484|4248|4490|5268|6781|6947|7433|7476|8537|10158|10267|10608|23612|25803|55198|55890|57181|79679|80310|80736|85004|401097,ASS1|CDH6|CFTR|F2R|F2RL1|IGFBP1|MGAT3|MT1B|SERPINB5|STC1|TCN1|VIPR1|WNT7A|BCAS1|PDZK1IP1|RAMP1|MXD4|PHLDA3|SPDEF|APPL2|GPRC5C|SLC39A10|VTCN1|PDGFD|SLC44A4|RERG|C3orf80,-10,0
1,-11,COVID049,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Down,,-11,4.4,9.1,30211,300,680,30,4.4,0.79,214|1080|2705|3694|3925|4129|4311|4703|6272|6382|7100|7348|8537|9133|10451|10608|10788|23158|55198|57181|64065|64943|65268|79679|80310|80736|85004|129642|130814|150696,ALCAM|CFTR|GJB1|ITGB6|STMN1|MAOB|MME|NEB|SORT1|SDC1|TLR5|UPK1B|BCAS1|CCNB2|VAV3|MXD4|IQGAP2|TBC1D9|APPL2|SLC39A10|PERP|NT5DC2|WNK2|VTCN1|PDGFD|SLC44A4|RERG|MBOAT2|SLC66A3|PROM2,-7.7,0
1,-9.6,COVID008,M1,1,0,COVID,200,RNA_Blanco-Melo_A549_Up,,-9.6,4.1,8.3,30211,300,680,28,4.1,0.76,306|445|467|489|1831|2149|2150|2317|3096|3914|4824|5154|5270|6385|6447|6509|7035|7039|9021|9076|10158|11010|22822|23108|51458|54532|57537|100506658,ANXA3|ASS1|ATF3|ATP2A3|TSC22D3|F2R|F2RL1|FLNB|HIVEP1|LAMB3|NKX3-1|PDGFA|SERPINE2|SDC4|SCG5|SLC1A4|TFPI|TGFA|SOCS3|CLDN1|PDZK1IP1|GLIPR1|PHLDA1|RAP1GAP2|RHCG|USP53|SORCS2|OCLN,-6.5,0
1,-8.9,COVID032,M1,1,0,COVID,200,RNA_Liao_BALF-severe_Up,,-8.9,4,7.9,30211,300,680,27,4,0.75,445|1906|1999|2317|3880|3914|4008|5055|5144|5154|5493|5732|7348|9052|10406|10568|22822|22943|23224|57402|64065|65987|80055|114569|259173|266977|284340,ASS1|EDN1|ELF3|FLNB|KRT19|LAMB3|LMO7|SERPINB2|PDE4D|PDGFA|PPL|PTGER2|UPK1B|GPRC5A|WFDC2|SLC34A2|PHLDA1|DKK1|SYNE2|S100A14|PERP|KCTD14|PGAP1|MAL2|ALS2CL|ADGRF1|CXCL17,-6,0
1,-8.7,COVID202,M1,1,0,COVID,200,RNA_Vanderheiden_pHAE_48h_Down,,-8.7,4.9,8.2,30211,189,680,21,3.1,0.66,134|231|929|4613|6533|7038|10267|10451|23224|54857|57464|79949|80310|81578|84532|85004|92558|127707|157506|284340|387914,ADORA1|AKR1B1|CD14|MYCN|SLC6A6|TG|RAMP1|VAV3|SYNE2|GDPD2|STRIP2|PLEKHS1|PDGFD|COL21A1|ACSS1|RERG|BICDL1|KLHDC7A|RDH10|CXCL17|SHISA2,-5.8,0
1,-8.2,COVID052,M1,1,0,COVID,200,RNA_Xiong_BALF_Up,,-8.2,3.9,7.5,30211,300,680,26,3.8,0.74,445|475|1999|3880|4008|4519|4540|4814|4824|5493|7348|8671|10406|22999|23086|26298|57221|57402|57535|64065|79679|114569|144568|166824|205717|284340,ASS1|ATOX1|ELF3|KRT19|LMO7|CYTB|ND5|NINJ1|NKX3-1|PPL|UPK1B|SLC4A4|WFDC2|RIMS1|EXPH5|EHF|ARFGEF3|S100A14|ELAPOR1|PERP|VTCN1|MAL2|A2ML1|RASSF6|USF3|CXCL17,-5.4,0
1,-7.6,COVID036,M1,1,0,COVID,200,RNA_Sun_Calu-3_0h_Up,,-7.6,3.7,7.1,30211,300,680,25,3.7,0.72,182|467|598|1435|1839|3096|3694|3914|4739|4814|4824|5265|5638|6385|6781|6793|8837|9388|22822|25819|53373|57718|133522|153830|157506,JAG1|ATF3|BCL2L1|CSF1|HBEGF|HIVEP1|ITGB6|LAMB3|NEDD9|NINJ1|NKX3-1|SERPINA1|PRRG1|SDC4|STC1|STK10|CFLAR|LIPG|PHLDA1|NOCT|TPCN1|PPP4R4|PPARGC1B|RNF145|RDH10,-4.8,0
1,-7,COVID375,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP4,,-7,3.6,6.7,30211,300,680,24,3.5,0.71,214|267|392|1825|5099|6252|6509|6533|6867|8884|9456|23224|23236|28982|54956|80055|90957|157506|203859|205428|252839|253558|390916|100506658,ALCAM|AMFR|ARHGAP1|DSC3|PCDH7|RTN1|SLC1A4|SLC6A6|TACC1|SLC5A6|HOMER1|SYNE2|PLCB1|FLVCR1|PARP16|PGAP1|DHX57|RDH10|ANO5|DIPK2A|TMEM9|LCLAT1|NUDT19|OCLN,-4.3,0
1,-7,COVID386,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_ORF7B,,-7,3.6,6.7,30211,300,680,24,3.5,0.71,214|267|392|1825|5099|6252|6509|6533|6867|8884|23007|23224|23236|27131|28982|54956|57222|57622|90957|205428|252839|253558|390916|100506658,ALCAM|AMFR|ARHGAP1|DSC3|PCDH7|RTN1|SLC1A4|SLC6A6|TACC1|SLC5A6|PLCH1|SYNE2|PLCB1|SNX5|FLVCR1|PARP16|ERGIC1|LRFN1|DHX57|DIPK2A|TMEM9|LCLAT1|NUDT19|OCLN,-4.3,0
1,-6.4,COVID035,M1,1,0,COVID,200,RNA_Sun_Calu-3_0h_Down,,-6.4,4.4,6.8,30211,171,680,17,2.5,0.6,2330|6328|7433|10008|10149|10451|10677|22807|23086|55691|56171|84239|90427|114792|127707|130399|440279,FMO5|SCN3A|VIPR1|KCNE3|ADGRG2|VAV3|AVIL|IKZF2|EXPH5|FRMD4A|DNAH7|ATP13A4|BMF|KLHL32|KLHDC7A|ACVR1C|UNC13C,-3.9,0
