_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-11,C0856169,M1,1,0,DisGeNET,35,Endothelial dysfunction,,-11,3,8.1,30211,716,680,48,7.1,0.98,55|134|182|231|467|476|790|929|1491|1773|1822|1906|1910|2150|2151|2321|2539|2660|2896|3099|3827|4129|4217|4814|5027|5055|5167|5291|5467|5578|6382|6385|6513|6533|6647|7035|7057|7099|7504|9123|9170|9771|10105|10220|23564|25825|65125|166929,ACP3|ADORA1|JAG1|AKR1B1|ATF3|ATP1A1|CAD|CD14|CTH|DNASE1|ATN1|EDN1|EDNRB|F2RL1|F2RL2|FLT1|G6PD|MSTN|GRN|HK2|KNG1|MAOB|MAP3K5|NINJ1|P2RX7|SERPINB2|ENPP1|PIK3CB|PPARD|PRKCA|SDC1|SDC4|SLC2A1|SLC6A6|SOD1|TFPI|THBS1|TLR4|XK|SLC16A3|LPAR2|RAPGEF5|PPIF|GDF11|DDAH2|BACE2|WNK1|SGMS2,-7.4,0
1,-10,C0269102,M1,1,0,DisGeNET,35,Endometrioma,,-10,4.5,8.8,30211,279,680,28,4.1,0.76,216|231|1592|1839|1906|2150|2289|2660|2852|3484|4129|4814|5076|5167|5549|5732|6751|9076|9120|9170|10267|11067|22943|23054|54206|65125|79625|79822,ALDH1A1|AKR1B1|CYP26A1|HBEGF|EDN1|F2RL1|FKBP5|MSTN|GPER1|IGFBP1|MAOB|NINJ1|PAX2|ENPP1|PRELP|PTGER2|SSTR1|CLDN1|SLC16A6|LPAR2|RAMP1|DEPP1|DKK1|NCOA6|ERRFI1|WNK1|NDNF|ARHGAP28,-7.2,0
1,-9.5,C0153690,M1,1,0,DisGeNET,35,Secondary malignant neoplasm of bone,,-9.5,3,7.6,30211,647,680,43,6.3,0.93,55|182|214|216|392|467|1272|1435|1514|1822|1906|1942|2149|2150|2321|2346|2896|3914|4129|4613|5027|5099|5167|5268|5291|6382|7038|7039|7099|7156|7368|8837|8842|9052|9123|9170|10267|10451|22943|25803|55226|80310|100506658,ACP3|JAG1|ALCAM|ALDH1A1|ARHGAP1|ATF3|CNTN1|CSF1|CTSL|ATN1|EDN1|EFNA1|F2R|F2RL1|FLT1|FOLH1|GRN|LAMB3|MAOB|MYCN|P2RX7|PCDH7|ENPP1|SERPINB5|PIK3CB|SDC1|TG|TGFA|TLR4|TOP3A|UGT8|CFLAR|PROM1|GPRC5A|SLC16A3|LPAR2|RAMP1|VAV3|DKK1|SPDEF|NAT10|PDGFD|OCLN,-6.4,0
1,-9.2,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-9.2,2.8,7.4,30211,735,680,46,6.8,0.96,182|216|231|306|929|1012|1514|1822|1910|2149|2317|2346|3691|3694|3852|3880|3925|4613|5291|5774|6611|6781|7035|7038|7057|7099|7100|7184|8538|8842|9076|9170|10568|11010|11174|22943|23612|23705|51573|55612|57167|65125|65268|79679|139818|166824,JAG1|ALDH1A1|AKR1B1|ANXA3|CD14|CDH13|CTSL|ATN1|EDNRB|F2R|FLNB|FOLH1|ITGB4|ITGB6|KRT5|KRT19|STMN1|MYCN|PIK3CB|PTPN3|SMS|STC1|TFPI|TG|THBS1|TLR4|TLR5|HSP90B1|BARX2|PROM1|CLDN1|LPAR2|SLC34A2|GLIPR1|ADAMTS6|DKK1|PHLDA3|CADM1|GDE1|FERMT1|SALL4|WNK1|WNK2|VTCN1|DOCK11|RASSF6,-6.2,0
1,-8.9,C0008497,M1,1,0,DisGeNET,35,Choriocarcinoma,,-8.9,3.4,7.6,30211,431,680,33,4.9,0.82,182|928|1080|1435|1773|1906|1910|2149|2321|2660|2852|3880|4248|4261|5055|5154|5178|5291|5654|6382|6423|6520|6584|7039|8837|8884|8915|9123|22943|23158|55226|57167|65125,JAG1|CD9|CFTR|CSF1|DNASE1|EDN1|EDNRB|F2R|FLT1|MSTN|GPER1|KRT19|MGAT3|CIITA|SERPINB2|PDGFA|PEG3|PIK3CB|HTRA1|SDC1|SFRP2|SLC3A2|SLC22A5|TGFA|CFLAR|SLC5A6|BCL10|SLC16A3|DKK1|TBC1D9|NAT10|SALL4|WNK1,-6,0
1,-8.7,C0007785,M1,1,0,DisGeNET,35,Cerebral Infarction,,-8.7,2.8,7.2,30211,687,680,43,6.3,0.93,134|790|929|1080|1839|1906|1910|1948|2149|2321|2539|2660|2852|2896|3929|4217|4321|4613|5055|5144|5187|5269|5270|5291|5321|5654|5732|6513|6647|6781|6833|7039|7099|7100|7184|9514|9776|10220|10267|22943|339479|340348|100506658,ADORA1|CAD|CD14|CFTR|HBEGF|EDN1|EDNRB|EFNB2|F2R|FLT1|G6PD|MSTN|GPER1|GRN|LBP|MAP3K5|MMP12|MYCN|SERPINB2|PDE4D|PER1|SERPINB6|SERPINE2|PIK3CB|PLA2G4A|HTRA1|PTGER2|SLC2A1|SOD1|STC1|ABCC8|TGFA|TLR4|TLR5|HSP90B1|GAL3ST1|ATG13|GDF11|RAMP1|DKK1|BRINP3|TSPAN33|OCLN,-5.8,0
1,-8.6,C0027796,M1,1,0,DisGeNET,35,Neuralgia,,-8.6,2.7,7.1,30211,767,680,46,6.8,0.96,55|134|306|467|972|1435|1610|1813|1906|2150|2289|2539|2890|3796|3827|3852|4217|4321|5027|5076|5265|5291|5578|6272|6335|6536|6647|6833|7038|7099|7100|7504|9021|9170|9514|10677|22848|23643|51573|55612|55626|57628|60675|148327|169355|284340,ACP3|ADORA1|ANXA3|ATF3|CD74|CSF1|DAO|DRD2|EDN1|F2RL1|FKBP5|G6PD|GRIA1|KIF2A|KNG1|KRT5|MAP3K5|MMP12|P2RX7|PAX2|SERPINA1|PIK3CB|PRKCA|SORT1|SCN9A|SLC6A9|SOD1|ABCC8|TG|TLR4|TLR5|XK|SOCS3|LPAR2|GAL3ST1|AVIL|AAK1|LY96|GDE1|FERMT1|AMBRA1|DPP10|PROK2|CREB3L4|IDO2|CXCL17,-5.8,0
1,-8.5,C4704874,M1,1,0,DisGeNET,35,"Mammary Carcinoma, Human",,-8.5,3,7.2,30211,545,680,37,5.4,0.87,182|540|972|978|1435|1825|1910|1942|2118|2122|2321|2852|3852|3925|3993|4311|5055|5154|5174|5268|5321|6423|6513|7039|7057|7348|9076|9123|11067|22943|23493|23705|54567|127707|133522|134510|100506658,JAG1|ATP7B|CD74|CDA|CSF1|DSC3|EDNRB|EFNA1|ETV4|MECOM|FLT1|GPER1|KRT5|STMN1|LLGL2|MME|SERPINB2|PDGFA|PDZK1|SERPINB5|PLA2G4A|SFRP2|SLC2A1|TGFA|THBS1|UPK1B|CLDN1|SLC16A3|DEPP1|DKK1|HEY2|CADM1|DLL4|KLHDC7A|PPARGC1B|UBLCP1|OCLN,-5.6,0
1,-8.3,C1257931,M1,1,0,DisGeNET,35,"Mammary Neoplasms, Human",,-8.3,3,7.2,30211,527,680,36,5.3,0.86,182|540|972|978|1435|1825|1910|1942|2118|2122|2321|2852|3852|3925|3993|4311|5055|5154|5174|5268|5321|6423|6513|7057|7348|9076|9123|11067|22943|23493|23705|54567|127707|133522|134510|100506658,JAG1|ATP7B|CD74|CDA|CSF1|DSC3|EDNRB|EFNA1|ETV4|MECOM|FLT1|GPER1|KRT5|STMN1|LLGL2|MME|SERPINB2|PDGFA|PDZK1|SERPINB5|PLA2G4A|SFRP2|SLC2A1|THBS1|UPK1B|CLDN1|SLC16A3|DEPP1|DKK1|HEY2|CADM1|DLL4|KLHDC7A|PPARGC1B|UBLCP1|OCLN,-5.5,0
1,-7.8,C0030297,M1,1,0,DisGeNET,35,Pancreatic Neoplasm,,-7.8,2.6,6.6,30211,764,680,44,6.5,0.94,216|598|664|978|1435|1822|2118|2149|2150|2321|2744|2852|3099|4217|4311|5027|5154|5187|5268|5270|5291|5874|5899|6041|6382|6423|6513|6751|7039|7057|8837|8842|8915|9076|22822|23022|23158|51053|55630|65125|80310|81671|84141|169355,ALDH1A1|BCL2L1|BNIP3|CDA|CSF1|ATN1|ETV4|F2R|F2RL1|FLT1|GLS|GPER1|HK2|MAP3K5|MME|P2RX7|PDGFA|PER1|SERPINB5|SERPINE2|PIK3CB|RAB27B|RALB|RNASEL|SDC1|SFRP2|SLC2A1|SSTR1|TGFA|THBS1|CFLAR|PROM1|BCL10|CLDN1|PHLDA1|PALLD|TBC1D9|GMNN|SLC39A4|WNK1|PDGFD|VMP1|EVA1A|IDO2,-5,0
