_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-12,PGB:00081,M1,1,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-12,7.1,11,30211,137,680,22,3.2,0.68,40|182|306|928|1272|1824|1825|3691|3852|3914|5055|5268|5493|6382|6385|7039|9388|10103|22822|55612|57402|64065,ASIC2|JAG1|ANXA3|CD9|CNTN1|DSC2|DSC3|ITGB4|KRT5|LAMB3|SERPINB2|SERPINB5|PPL|SDC1|SDC4|TGFA|LIPG|TSPAN1|PHLDA1|FERMT1|S100A14|PERP,-8.9,0
1,-7.3,PGB:00002,M1,1,0,PaGenBase,36,Cell-specific: HEPG2,,-7.3,3.1,6.7,30211,425,680,30,4.4,0.79,18|717|1824|1825|1942|1999|2118|2330|2651|2705|3053|3484|3698|4148|4257|4752|5167|5174|5265|6299|6697|7136|7429|8549|8659|9557|11153|22822|27347|151556,ABAT|C2|DSC2|DSC3|EFNA1|ELF3|ETV4|FMO5|GCNT2|GJB1|SERPIND1|IGFBP1|ITIH2|MATN3|MGST1|NEK3|ENPP1|PDZK1|SERPINA1|SALL1|SPR|TNNI2|VIL1|LGR5|ALDH4A1|CHD1L|FICD|PHLDA1|STK39|GPR155,-4.6,0
1,-5.3,PGB:00046,M1,1,0,PaGenBase,36,Cell-specific: 721B lymphoblasts,,-5.3,5.6,6.5,30211,88,680,11,1.6,0.48,664|1491|2823|29015|54914|55214|58489|64087|114793|284217|440279,BNIP3|CTH|GPM6A|SLC43A3|FOCAD|P3H2|ABHD17C|MCCC2|FMNL2|LAMA1|UNC13C,-3,0
1,-4.8,PGB:00014,M1,1,0,PaGenBase,36,Cell-specific: DRG,,-4.8,2.5,5,30211,455,680,26,3.8,0.74,929|1006|1839|1880|1910|2199|2346|3625|3691|4013|4703|4828|5827|6252|6769|6781|7368|8537|8671|9514|9899|10149|10267|10406|10677|22848,CD14|CDH8|HBEGF|GPR183|EDNRB|FBLN2|FOLH1|INHBB|ITGB4|VWA5A|NEB|NMB|PXMP2|RTN1|STAC|STC1|UGT8|BCAS1|SLC4A4|GAL3ST1|SV2B|ADGRG2|RAMP1|WFDC2|AVIL|AAK1,-2.6,0
1,-3.5,PGB:00004,M1,1,0,PaGenBase,36,Tissue-specific: kidney,,-3.5,2.2,4.1,30211,483,680,24,3.5,0.71,267|1004|2150|4036|5076|5174|5314|6340|8671|10103|10158|10451|10655|11136|51458|55214|55244|79679|127707|150696|166824|266977|340348|389658,AMFR|CDH6|F2RL1|LRP2|PAX2|PDZK1|PKHD1|SCNN1G|SLC4A4|TSPAN1|PDZK1IP1|VAV3|DMRT2|SLC7A9|RHCG|P3H2|SLC47A1|VTCN1|KLHDC7A|PROM2|RASSF6|ADGRF1|TSPAN33|ALKAL1,-1.7,0
1,-3.1,PGB:00031,M1,1,0,PaGenBase,36,Cell-specific: HUVEC,,-3.1,2.3,3.7,30211,372,680,19,2.8,0.63,306|1012|1272|2149|2151|2321|2650|2888|4261|4321|4490|5055|6697|7057|7156|7368|8566|8706|22943,ANXA3|CDH13|CNTN1|F2R|F2RL2|FLT1|GCNT1|GRB14|CIITA|MMP12|MT1B|SERPINB2|SPR|THBS1|TOP3A|UGT8|PDXK|B3GALNT1|DKK1,-1.3,0
1,-3,PGB:00050,M1,1,0,PaGenBase,36,Tissue-specific: trachea,,-3,3.9,4.2,30211,91,680,8,1.2,0.41,5284|6565|6947|7348|10406|79949|133690|284340,PIGR|SLC15A2|TCN1|UPK1B|WFDC2|PLEKHS1|CAPSL|CXCL17,-1.3,0
1,-2.9,PGB:00157,M1,1,0,PaGenBase,36,Cell-specific: OVCAR4,,-2.9,13,5.9,30211,10,680,3,0.44,0.25,1906|7476|79679,EDN1|WNT7A|VTCN1,-1.2,0
1,-2.8,PGB:00045,M1,1,0,PaGenBase,36,Tissue-specific: placenta,,-2.8,2.3,3.6,30211,304,680,16,2.4,0.58,2321|3484|5055|5270|6382|6513|7005|8884|11174|22943|23086|54507|55503|81537|84879|169355,FLT1|IGFBP1|SERPINB2|SERPINE2|SDC1|SLC2A1|TEAD3|SLC5A6|ADAMTS6|DKK1|EXPH5|ADAMTSL4|TRPV6|SGPP1|MFSD2A|IDO2,-1.1,0
1,-2.8,PGB:00069,M1,1,0,PaGenBase,36,Cell-specific: A204,,-2.8,4.7,4.2,30211,57,680,6,0.88,0.36,1006|5178|6781|8515|80036|80055,CDH8|PEG3|STC1|ITGA10|TRPM3|PGAP1,-1.1,0
