_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.6,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-4.6,2.4,4.8,30211,523,680,28,4.1,0.76,231|489|929|1080|1272|1514|1839|1910|2149|2317|2863|3484|3852|3880|4129|4311|4321|4613|5268|5493|6520|6647|7039|8842|10164|10560|25825|284217,AKR1B1|ATP2A3|CD14|CFTR|CNTN1|CTSL|HBEGF|EDNRB|F2R|FLNB|GPR39|IGFBP1|KRT5|KRT19|MAOB|MME|MMP12|MYCN|SERPINB5|PPL|SLC3A2|SOD1|TGFA|PROM1|CHST4|SLC19A2|BACE2|LAMA1,-2.5,0
1,-3.9,TRR01259,M1,1,0,TRRUST,34,Regulated by: SP3,,-3.9,3.9,4.9,30211,126,680,11,1.6,0.48,929|1080|1514|1839|2149|2317|3484|4129|4613|9021|284217,CD14|CFTR|CTSL|HBEGF|F2R|FLNB|IGFBP1|MAOB|MYCN|SOCS3|LAMA1,-1.9,0
1,-3.8,TRR01529,M1,1,0,TRRUST,34,Regulated by: WT1,,-3.8,5.2,5.3,30211,68,680,8,1.2,0.41,231|929|1839|4613|5076|5154|7057|51523,AKR1B1|CD14|HBEGF|MYCN|PAX2|PDGFA|THBS1|CXXC5,-1.9,0
1,-3.7,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-3.7,2.5,4.3,30211,332,680,19,2.8,0.63,134|231|598|972|1080|1272|1435|1813|1839|1906|1999|4321|5284|5467|6382|8837|9021|27347|148327,ADORA1|AKR1B1|BCL2L1|CD74|CFTR|CNTN1|CSF1|DRD2|HBEGF|EDN1|ELF3|MMP12|PIGR|PPARD|SDC1|CFLAR|SOCS3|STK39|CREB3L4,-1.8,0
1,-3.6,TRR00875,M1,1,0,TRRUST,34,Regulated by: NFKB1,,-3.6,2.5,4.2,30211,338,680,19,2.8,0.63,134|231|467|598|972|1080|1272|1435|1813|1839|1906|1999|5284|6382|8837|9021|10673|27347|148327,ADORA1|AKR1B1|ATF3|BCL2L1|CD74|CFTR|CNTN1|CSF1|DRD2|HBEGF|EDN1|ELF3|PIGR|SDC1|CFLAR|SOCS3|TNFSF13B|STK39|CREB3L4,-1.7,0
1,-3.2,TRR00674,M1,1,0,TRRUST,34,Regulated by: KLF4,,-3.2,5.7,4.9,30211,47,680,6,0.88,0.36,467|929|3880|5214|6647|284217,ATF3|CD14|KRT19|PFKP|SOD1|LAMA1,-1.4,0
1,-2.9,TRR01275,M1,1,0,TRRUST,34,Regulated by: STAT1,,-2.9,3.7,4.1,30211,95,680,8,1.2,0.41,1080|1514|1906|2744|4261|9021|10673|23643,CFTR|CTSL|EDN1|GLS|CIITA|SOCS3|TNFSF13B|LY96,-1.2,0
1,-2.8,TRR00609,M1,1,0,TRRUST,34,Regulated by: IRF8,,-2.8,12,5.6,30211,11,680,3,0.44,0.25,4688|7099|8837,NCF2|TLR4|CFLAR,-1.1,0
1,-2.7,TRR00645,M1,1,0,TRRUST,34,Regulated by: JUN,,-2.7,2.9,3.7,30211,171,680,11,1.6,0.48,231|467|598|1272|1435|1514|1906|3925|3929|4321|5467,AKR1B1|ATF3|BCL2L1|CNTN1|CSF1|CTSL|EDN1|STMN1|LBP|MMP12|PPARD,-1.1,0
1,-2.7,TRR00484,M1,1,0,TRRUST,34,Regulated by: HIF1A,,-2.7,3.6,3.9,30211,99,680,8,1.2,0.41,231|445|664|1839|1906|1910|6513|112399,AKR1B1|ASS1|BNIP3|HBEGF|EDN1|EDNRB|SLC2A1|EGLN3,-1.1,0
1,-2.7,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-2.7,2.8,3.6,30211,175,680,11,1.6,0.48,467|598|2321|4824|6513|6533|7057|9133|22943|64065|84978,ATF3|BCL2L1|FLT1|NKX3-1|SLC2A1|SLC6A6|THBS1|CCNB2|DKK1|PERP|FRMD5,-1.1,0
1,-2.5,TRR00365,M1,1,0,TRRUST,34,Regulated by: FOXO1,,-2.5,6.3,4.3,30211,28,680,4,0.59,0.29,231|1906|3484|5154,AKR1B1|EDN1|IGFBP1|PDGFA,-0.93,0
1,-2.5,TRR01248,M1,1,0,TRRUST,34,Regulated by: SOX10,,-2.5,9.5,4.8,30211,14,680,3,0.44,0.25,1910|2705|5827,EDNRB|GJB1|PXMP2,-0.93,0
1,-2.5,TRR00780,M1,1,0,TRRUST,34,Regulated by: MYC,,-2.5,3.2,3.6,30211,110,680,8,1.2,0.41,445|467|790|4311|4321|8837|8842|22943,ASS1|ATF3|CAD|MME|MMP12|CFLAR|PROM1|DKK1,-0.92,0
1,-2.3,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-2.3,2.8,3.3,30211,142,680,9,1.3,0.44,231|2118|2321|4217|4613|5268|5800|7057|153020,AKR1B1|ETV4|FLT1|MAP3K5|MYCN|SERPINB5|PTPRO|THBS1|RASGEF1B,-0.82,0
1,-2.2,TRR01268,M1,1,0,TRRUST,34,Regulated by: SREBF1,,-2.2,5.2,3.7,30211,34,680,4,0.59,0.29,231|598|3099|3796,AKR1B1|BCL2L1|HK2|KIF2A,-0.73,0
1,-2.1,TRR01062,M1,1,0,TRRUST,34,Regulated by: PPARG,,-2.1,3.5,3.3,30211,77,680,6,0.88,0.36,182|598|1435|4261|7038|8837,JAG1|BCL2L1|CSF1|CIITA|TG|CFLAR,-0.69,0
