_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-8.9,M6885,M1,1,0,Transcription Factor Targets,16,AREB6 02,,-8.9,4.3,8.1,30211,259,680,25,3.7,0.72,598|1012|1608|1906|1942|2317|2705|3993|4034|4217|6252|6536|22807|22999|23564|26298|51057|54567|57402|90427|112399|222950|283209|340348|100506658,BCL2L1|CDH13|DGKG|EDN1|EFNA1|FLNB|GJB1|LLGL2|LRCH4|MAP3K5|RTN1|SLC6A9|IKZF2|RIMS1|DDAH2|EHF|WDPCP|DLL4|S100A14|BMF|EGLN3|NYAP1|PGM2L1|TSPAN33|OCLN,-6,0
1,-7.5,M6052,M1,1,0,Transcription Factor Targets,16,YCATTAA UNKNOWN,,-7.5,2.8,6.6,30211,567,680,36,5.3,0.86,1004|2122|2660|3484|3694|3993|5099|5144|5167|5218|5276|5800|6239|6252|6751|7145|10178|22807|23086|23348|26298|51804|64067|65125|79625|84102|84239|84812|84978|93663|115111|124637|139818|146760|166929|375611,CDH6|MECOM|MSTN|IGFBP1|ITGB6|LLGL2|PCDH7|PDE4D|ENPP1|CDK14|SERPINI2|PTPRO|RREB1|RTN1|SSTR1|TNS1|TENM1|IKZF2|EXPH5|DOCK9|EHF|SIX4|NPAS3|WNK1|NDNF|SLC41A2|ATP13A4|PLCD4|FRMD5|ARHGAP18|SLC26A7|CYB5D1|DOCK11|RTN4RL1|SGMS2|SLC26A5,-4.8,0
1,-7.3,M9645,M1,1,0,Transcription Factor Targets,16,GGGYGTGNY UNKNOWN,,-7.3,2.6,6.4,30211,686,680,40,5.9,0.9,182|476|540|1012|1822|2118|2317|2890|3691|3914|3925|4355|5063|5187|5268|5357|5638|6252|7105|7504|23348|23564|51062|51291|54407|54567|55603|57171|64065|64344|79446|79722|79983|84651|84886|91107|151246|200162|222950|266977,JAG1|ATP1A1|ATP7B|CDH13|ATN1|ETV4|FLNB|GRIA1|ITGB4|LAMB3|STMN1|MPP2|PAK3|PER1|SERPINB5|PLS1|PRRG1|RTN1|TSPAN6|XK|DOCK9|DDAH2|ATL1|GMIP|SLC38A2|DLL4|TENT5A|DOLPP1|PERP|HIF3A|WDR25|ANKRD55|POF1B|SPINK7|C1orf198|TRIM47|SGO2|SPAG17|NYAP1|ADGRF1,-4.6,0
1,-7.1,M11244,M1,1,0,Transcription Factor Targets,16,AREB6 01,,-7.1,3.7,6.9,30211,274,680,23,3.4,0.69,216|1012|2118|2317|3914|3993|4034|4217|5099|6252|6423|7105|9120|10788|25803|26298|51523|54567|56832|57402|90427|171019|266722,ALDH1A1|CDH13|ETV4|FLNB|LAMB3|LLGL2|LRCH4|MAP3K5|PCDH7|RTN1|SFRP2|TSPAN6|SLC16A6|IQGAP2|SPDEF|EHF|CXXC5|DLL4|IFNK|S100A14|BMF|ADAMTS19|HS6ST3,-4.4,0
1,-6.6,M572,M1,1,0,Transcription Factor Targets,16,TGCCAAR NF1 Q6,,-6.6,2.4,6,30211,727,680,40,5.9,0.9,489|1880|1906|2118|2122|2651|2660|3698|4774|5076|5099|5268|5549|6423|6565|6769|7105|7453|10625|22807|22848|23236|26298|51057|54857|55603|56832|60675|65125|79073|80055|84879|84978|114792|115111|119587|123283|201798|284340|404093,ATP2A3|GPR183|EDN1|ETV4|MECOM|GCNT2|MSTN|ITIH2|NFIA|PAX2|PCDH7|SERPINB5|PRELP|SFRP2|SLC15A2|STAC|TSPAN6|WARS1|IVNS1ABP|IKZF2|AAK1|PLCB1|EHF|WDPCP|GDPD2|TENT5A|IFNK|PROK2|WNK1|TMEM109|PGAP1|MFSD2A|FRMD5|KLHL32|SLC26A7|CPXM2|TARS3|TIGD4|CXCL17|CUEDC1,-4,0
1,-6.6,M1460,M1,1,0,Transcription Factor Targets,16,TGGNNNNNNKCCAR UNKNOWN,,-6.6,3,6.2,30211,436,680,29,4.3,0.77,306|445|1839|2744|4217|4355|4540|4613|4774|6252|6299|6382|6423|9213|9514|22807|23120|51057|54857|55630|55890|57167|64344|80230|81628|84812|146556|161253|404093,ANXA3|ASS1|HBEGF|GLS|MAP3K5|MPP2|ND5|MYCN|NFIA|RTN1|SALL1|SDC1|SFRP2|XPR1|GAL3ST1|IKZF2|ATP10B|WDPCP|GDPD2|SLC39A4|GPRC5C|SALL4|HIF3A|RUFY1|TSC22D4|PLCD4|C16orf89|REM2|CUEDC1,-4,0
1,-6.4,M2389,M1,1,0,Transcription Factor Targets,16,E47 02,,-6.4,3.7,6.5,30211,254,680,21,3.1,0.66,40|598|1606|2890|5218|5276|5549|9699|22807|22903|23154|23224|23564|55691|84679|84978|90427|92558|169044|340348|404093,ASIC2|BCL2L1|DGKA|GRIA1|CDK14|SERPINI2|PRELP|RIMS2|IKZF2|BTBD3|NCDN|SYNE2|DDAH2|FRMD4A|SLC9A7|FRMD5|BMF|BICDL1|COL22A1|TSPAN33|CUEDC1,-3.9,0
1,-6.2,M10921,M1,1,0,Transcription Factor Targets,16,AREB6 03,,-6.2,3.5,6.3,30211,263,680,21,3.1,0.66,182|1606|2317|3691|3993|4034|5154|5218|6340|7006|7184|9120|22807|54101|84679|84978|92558|161253|338917|340348|404093,JAG1|DGKA|FLNB|ITGB4|LLGL2|LRCH4|PDGFA|CDK14|SCNN1G|TEC|HSP90B1|SLC16A6|IKZF2|RIPK4|SLC9A7|FRMD5|BICDL1|REM2|VSX2|TSPAN33|CUEDC1,-3.7,0
1,-6,M4238,M1,1,0,Transcription Factor Targets,16,OCT C,,-6,3.5,6.2,30211,270,680,21,3.1,0.66,134|216|1608|1831|2009|2589|2651|2823|4034|4739|4774|5144|5218|6299|6423|7005|22807|23705|26298|115111|161253,ADORA1|ALDH1A1|DGKG|TSC22D3|EML1|GALNT1|GCNT2|GPM6A|LRCH4|NEDD9|NFIA|PDE4D|CDK14|SALL1|SFRP2|TEAD3|IKZF2|CADM1|EHF|SLC26A7|REM2,-3.5,0
1,-5.9,M7093,M1,1,0,Transcription Factor Targets,16,GATAAGR GATA C,,-5.9,3.3,6,30211,299,680,22,3.2,0.68,40|1831|1906|2039|2122|4774|5076|5218|6299|6513|6781|6867|10164|22999|23154|54462|80036|115111|124637|151556|162466|222663,ASIC2|TSC22D3|EDN1|DMTN|MECOM|NFIA|PAX2|CDK14|SALL1|SLC2A1|STC1|TACC1|CHST4|RIMS1|NCDN|CCSER2|TRPM3|SLC26A7|CYB5D1|GPR155|PHOSPHO1|SCUBE3,-3.4,0
1,-5.4,M4803,M1,1,0,Transcription Factor Targets,16,NF1 Q6,,-5.4,3.3,5.7,30211,270,680,20,2.9,0.65,134|2118|3914|4257|4355|4774|6299|6565|6781|9213|9771|22848|22903|51057|54857|56832|90019|115111|127707|161253,ADORA1|ETV4|LAMB3|MGST1|MPP2|NFIA|SALL1|SLC15A2|STC1|XPR1|RAPGEF5|AAK1|BTBD3|WDPCP|GDPD2|IFNK|SYT8|SLC26A7|KLHDC7A|REM2,-3.1,0
1,-5.3,M16396,M1,1,0,Transcription Factor Targets,16,AP2GAMMA 01,,-5.3,3.3,5.7,30211,252,680,19,2.8,0.63,445|1608|1813|2118|2122|2660|5063|5793|8556|10256|10608|51291|51523|51804|54567|55890|65268|222950|340348,ASS1|DGKG|DRD2|ETV4|MECOM|MSTN|PAK3|PTPRG|CDC14A|CNKSR1|MXD4|GMIP|CXXC5|SIX4|DLL4|GPRC5C|WNK2|NYAP1|TSPAN33,-3,0
1,-5.2,M3285,M1,1,0,Transcription Factor Targets,16,CTGRYYYNATT UNKNOWN,,-5.2,6,6.5,30211,74,680,10,1.5,0.46,40|460|2890|6239|22943|23154|54206|79073|79836|340348,ASIC2|ASTN1|GRIA1|RREB1|DKK1|NCDN|ERRFI1|TMEM109|LONRF3|TSPAN33,-2.9,0
1,-5.2,M10143,M1,1,0,Transcription Factor Targets,16,CREL 01,,-5.2,3.3,5.6,30211,257,680,19,2.8,0.63,972|2823|3096|6385|6867|8556|9120|9543|9699|10256|26298|51804|55227|91107|146050|148932|284217|404093|415117,CD74|GPM6A|HIVEP1|SDC4|TACC1|CDC14A|SLC16A6|IGDCC3|RIMS2|CNKSR1|EHF|SIX4|LRRC1|TRIM47|ZSCAN29|MOB3C|LAMA1|CUEDC1|STX19,-2.9,0
1,-5.1,M17000,M1,1,0,Transcription Factor Targets,16,CP2 01,,-5.1,3.2,5.5,30211,260,680,19,2.8,0.63,467|489|4034|4188|5549|6252|6272|6299|23154|23348|26298|54567|64084|64344|65244|81628|90427|153830|222663,ATF3|ATP2A3|LRCH4|MDFI|PRELP|RTN1|SORT1|SALL1|NCDN|DOCK9|EHF|DLL4|CLSTN2|HIF3A|SPATS2|TSC22D4|BMF|RNF145|SCUBE3,-2.8,0
1,-5.1,M4764,M1,1,0,Transcription Factor Targets,16,TGTTTGY HNF3 Q6,,-5.1,2.2,5,30211,748,680,37,5.4,0.87,182|1004|1272|1831|1942|2009|2823|3484|4257|4774|5144|5218|5265|5549|5732|5793|6239|6252|8537|10655|10788|22807|23154|23224|23348|23705|26298|29841|54206|54462|55691|55890|79836|84141|90427|146556|246176,JAG1|CDH6|CNTN1|TSC22D3|EFNA1|EML1|GPM6A|IGFBP1|MGST1|NFIA|PDE4D|CDK14|SERPINA1|PRELP|PTGER2|PTPRG|RREB1|RTN1|BCAS1|DMRT2|IQGAP2|IKZF2|NCDN|SYNE2|DOCK9|CADM1|EHF|GRHL1|ERRFI1|CCSER2|FRMD4A|GPRC5C|LONRF3|EVA1A|BMF|C16orf89|GAS2L2,-2.8,0
1,-5,M9426,M1,1,0,Transcription Factor Targets,16,PAX Q6,,-5,3.2,5.4,30211,264,680,19,2.8,0.63,40|182|467|972|1839|2705|2890|3691|5218|5467|6239|6509|9213|65244|80036|115111|133522|148932|286826,ASIC2|JAG1|ATF3|CD74|HBEGF|GJB1|GRIA1|ITGB4|CDK14|PPARD|RREB1|SLC1A4|XPR1|SPATS2|TRPM3|SLC26A7|PPARGC1B|MOB3C|LIN9,-2.8,0
1,-5,M8816,M1,1,0,Transcription Factor Targets,16,PAX4 02,,-5,3.3,5.5,30211,241,680,18,2.6,0.62,1831|2890|4774|5076|5276|5793|8671|11136|22807|22903|25825|51057|51523|54101|64344|79589|115111|139818,TSC22D3|GRIA1|NFIA|PAX2|SERPINI2|PTPRG|SLC4A4|SLC7A9|IKZF2|BTBD3|BACE2|WDPCP|CXXC5|RIPK4|HIF3A|RNF128|SLC26A7|DOCK11,-2.7,0
1,-5,M14960,M1,1,0,Transcription Factor Targets,16,POU3F2 02,,-5,3.2,5.4,30211,265,680,19,2.8,0.63,1012|1608|5154|6239|6423|7005|9388|23705|51523|54206|55691|56171|84239|84812|114569|115111|153020|222663|266722,CDH13|DGKG|PDGFA|RREB1|SFRP2|TEAD3|LIPG|CADM1|CXXC5|ERRFI1|FRMD4A|DNAH7|ATP13A4|PLCD4|MAL2|SLC26A7|RASGEF1B|SCUBE3|HS6ST3,-2.7,0
1,-4.9,M18169,M1,1,0,Transcription Factor Targets,16,YATGNWAAT OCT C,,-4.9,2.8,5.2,30211,367,680,23,3.4,0.69,134|216|1608|1831|2009|3925|3993|4034|4774|5218|6299|6423|7006|9388|10158|23705|25825|54567|56171|85369|161253|339479|377677,ADORA1|ALDH1A1|DGKG|TSC22D3|EML1|STMN1|LLGL2|LRCH4|NFIA|CDK14|SALL1|SFRP2|TEC|LIPG|PDZK1IP1|CADM1|BACE2|DLL4|DNAH7|STRIP1|REM2|BRINP3|CA13,-2.7,0
