Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
972,3.0,1,1,1
6584,3.0,1,1,1
306,3.0,1,1,1
51604,3.0,1,1,1
55503,3.0,1,1,1
54507,3.0,1,1,1
6565,3.0,1,1,1
8549,3.0,1,1,1
23086,3.0,1,1,1
1831,3.0,1,1,1
57379,3.0,1,1,1
1906,3.0,1,1,1
55626,3.0,1,1,1
5174,3.0,1,1,1
130399,3.0,1,1,1
81618,3.0,1,1,1
26037,3.0,1,1,1
1880,3.0,1,1,1
747,3.0,1,1,1
4188,3.0,1,1,1
4824,3.0,1,1,1
84812,3.0,1,1,1
2151,3.0,1,1,1
3925,3.0,1,1,1
28982,3.0,1,1,1
9899,3.0,1,1,1
392,3.0,1,1,1
55748,3.0,1,1,1
81029,3.0,1,1,1
1813,3.0,1,1,1
8706,3.0,1,1,1
169355,3.0,1,1,1
57494,3.0,1,1,1
6533,3.0,1,1,1
9699,3.0,1,1,1
10549,3.0,1,1,1
5187,3.0,1,1,1
475,3.0,1,1,1
7099,3.0,1,1,1
84532,3.0,1,1,1
489,3.0,1,1,1
476,3.0,1,1,1
10595,3.0,1,1,1
90427,3.0,1,1,1
3852,3.0,1,1,1
4860,3.0,1,1,1
23007,3.0,1,1,1
80310,3.0,1,1,1
146760,3.0,1,1,1
9456,3.0,1,1,1
2118,3.0,1,1,1
6340,3.0,1,1,1
23191,3.0,1,1,1
23171,3.0,1,1,1
79822,3.0,1,1,1
5076,3.0,1,1,1
51809,3.0,1,1,1
60675,3.0,1,1,1
6751,3.0,1,1,1
6520,3.0,1,1,1
5575,3.0,1,1,1
7035,3.0,1,1,1
55366,3.0,1,1,1
18,3.0,1,1,1
231,3.0,1,1,1
2346,3.0,1,1,1
3880,3.0,1,1,1
5732,3.0,1,1,1
9980,3.0,1,1,1
2650,3.0,1,1,1
5654,3.0,1,1,1
4739,3.0,1,1,1
8837,3.0,1,1,1
22999,3.0,1,1,1
6328,3.0,1,1,1
8915,3.0,1,1,1
8566,3.0,1,1,1
11283,3.0,1,1,1
23643,3.0,1,1,1
7038,3.0,1,1,1
10008,3.0,1,1,1
5167,3.0,1,1,1
53373,3.0,1,1,1
7476,3.0,1,1,1
3827,3.0,1,1,1
22943,3.0,1,1,1
2890,3.0,1,1,1
3993,3.0,1,1,1
6382,3.0,1,1,1
928,3.0,1,1,1
2823,3.0,1,1,1
53947,3.0,1,1,1
2896,3.0,1,1,1
10220,3.0,1,1,1
445,3.0,1,1,1
65268,3.0,1,1,1
51458,3.0,1,1,1
23224,3.0,1,1,1
64850,3.0,1,1,1
375611,3.0,1,1,1
9213,3.0,1,1,1
55808,3.0,1,1,1
8515,3.0,1,1,1
23312,3.0,1,1,1
55907,3.0,1,1,1
6536,3.0,1,1,1
5214,3.0,1,1,1
254531,3.0,1,1,1
9663,3.0,1,1,1
197257,3.0,1,1,1
114569,3.0,1,1,1
10673,3.0,1,1,1
6647,3.0,1,1,1
54206,3.0,1,1,1
6697,3.0,1,1,1
56922,3.0,1,1,1
286097,3.0,1,1,1
56165,3.0,1,1,1
51684,3.0,1,1,1
4828,3.0,1,1,1
6571,3.0,1,1,1
79139,3.0,1,1,1
23705,3.0,1,1,1
79589,3.0,1,1,1
9771,3.0,1,1,1
169044,3.0,1,1,1
5270,3.0,1,1,1
64283,3.0,1,1,1
157506,3.0,1,1,1
267,3.0,1,1,1
7100,3.0,1,1,1
3736,3.0,1,1,1
1040,3.0,1,1,1
80005,3.0,1,1,1
2150,3.0,1,1,1
57662,3.0,1,1,1
216,3.0,1,1,1
81537,3.0,1,1,1
10451,3.0,1,1,1
253558,3.0,1,1,1
2705,3.0,1,1,1
55283,3.0,1,1,1
255631,3.0,1,1,1
51573,3.0,1,1,1
29841,3.0,1,1,1
5467,3.0,1,1,1
2744,3.0,1,1,1
9693,3.0,1,1,1
54567,3.0,1,1,1
22941,3.0,1,1,1
6041,3.0,1,1,1
3053,3.0,1,1,1
4355,3.0,1,1,1
10404,3.0,1,1,1
790,3.0,1,1,1
10788,3.0,1,1,1
40,3.0,1,1,1
8395,3.0,1,1,1
598,3.0,1,1,1
1824,3.0,1,1,1
25819,3.0,1,1,1
5321,3.0,1,1,1
4311,3.0,1,1,1
2289,3.0,1,1,1
23612,3.0,1,1,1
259236,3.0,1,1,1
8671,3.0,1,1,1
7039,3.0,1,1,1
23671,3.0,1,1,1
1822,3.0,1,1,1
1435,3.0,1,1,1
6299,3.0,1,1,1
22881,3.0,1,1,1
2651,3.0,1,1,1
171019,3.0,1,1,1
112399,3.0,1,1,1
1610,3.0,1,1,1
80055,3.0,1,1,1
222950,3.0,1,1,1
115111,3.0,1,1,1
6009,3.0,1,1,1
8884,3.0,1,1,1
5268,3.0,1,1,1
80201,3.0,1,1,1
1004,3.0,1,1,1
9514,3.0,1,1,1
27252,3.0,1,1,1
219743,3.0,1,1,1
22822,3.0,1,1,1
7504,3.0,1,1,1
57171,3.0,1,1,1
3914,3.0,1,1,1
57718,3.0,1,1,1
84899,3.0,1,1,1
1608,3.0,1,1,1
170690,3.0,1,1,1
51293,3.0,1,1,1
9573,3.0,1,1,1
8702,3.0,1,1,1
83752,3.0,1,1,1
7429,3.0,1,1,1
3628,3.0,1,1,1
2581,3.0,1,1,1
133522,3.0,1,1,1
85369,3.0,1,1,1
134,3.0,1,1,1
1080,3.0,1,1,1
182,3.0,1,1,1
23236,3.0,1,1,1
390916,3.0,1,1,1
1514,3.0,1,1,1
2639,3.0,1,1,1
54407,3.0,1,1,1
2149,3.0,1,1,1
4036,3.0,1,1,1
5144,3.0,1,1,1
4688,3.0,1,1,1
54857,3.0,1,1,1
11174,3.0,1,1,1
8659,3.0,1,1,1
252839,3.0,1,1,1
55198,3.0,1,1,1
284111,3.0,1,1,1
9750,3.0,1,1,1
55630,3.0,1,1,1
79625,3.0,1,1,1
5063,3.0,1,1,1
3484,3.0,1,1,1
23493,3.0,1,1,1
114793,3.0,1,1,1
5314,3.0,1,1,1
5774,3.0,1,1,1
162466,3.0,1,1,1
2321,3.0,1,1,1
2317,3.0,1,1,1
10020,3.0,1,1,1
415117,3.0,1,1,1
1136,3.0,1,1,1
85461,3.0,1,1,1
148327,3.0,1,1,1
84679,3.0,1,1,1
5291,3.0,1,1,1
1948,3.0,1,1,1
5055,3.0,1,1,1
6509,3.0,1,1,1
2539,3.0,1,1,1
10105,3.0,1,1,1
55612,3.0,1,1,1
6513,3.0,1,1,1
467,3.0,1,1,1
9388,3.0,1,1,1
23229,3.0,1,1,1
129642,3.0,1,1,1
79983,3.0,1,1,1
11136,3.0,1,1,1
4321,3.0,1,1,1
7005,3.0,1,1,1
10267,3.0,1,1,1
54831,3.0,1,1,1
5283,3.0,1,1,1
51071,3.0,1,1,1
5154,3.0,1,1,1
25803,3.0,1,1,1
1012,3.0,1,1,1
23348,3.0,1,1,1
1606,3.0,1,1,1
64087,3.0,1,1,1
84620,3.0,1,1,1
1592,3.0,1,1,1
27131,3.0,1,1,1
3625,3.0,1,1,1
9052,3.0,1,1,1
1272,3.0,1,1,1
284217,3.0,1,1,1
1910,3.0,1,1,1
10677,3.0,1,1,1
26301,3.0,1,1,1
929,3.0,1,1,1
2888,3.0,1,1,1
3691,3.0,1,1,1
197258,3.0,1,1,1
664,3.0,1,1,1
6947,3.0,1,1,1
166929,3.0,1,1,1
340485,3.0,1,1,1
1839,3.0,1,1,1
55691,3.0,1,1,1
8309,3.0,1,1,1
5593,3.0,1,1,1
6385,3.0,1,1,1
2852,3.0,1,1,1
27347,3.0,1,1,1
10768,3.0,1,1,1
5578,3.0,1,1,1
3929,3.0,1,1,1
84766,3.0,1,1,1
3099,3.0,1,1,1
57488,3.0,1,1,1
3693,3.0,1,1,1
1491,3.0,1,1,1
57167,3.0,1,1,1
440279,3.0,1,1,1
65125,3.0,1,1,1
26471,3.0,1,1,1
81628,3.0,1,1,1
5800,3.0,1,1,1
55032,3.0,1,1,1
133121,3.0,1,1,1
4129,3.0,1,1,1
5269,3.0,1,1,1
90019,3.0,1,1,1
153562,3.0,1,1,1
7184,3.0,1,1,1
9076,3.0,1,1,1
7294,3.0,1,1,1
55214,3.0,1,1,1
81671,3.0,1,1,1
57402,3.0,1,1,1
139818,3.0,1,1,1
23022,3.0,1,1,1
6251,3.0,1,1,1
64065,3.0,1,1,1
6335,3.0,1,1,1
5265,3.0,1,1,1
25825,3.0,1,1,1
246176,3.0,1,1,1
540,3.0,1,1,1
9914,3.0,1,1,1
9863,3.0,1,1,1
54677,3.0,1,1,1
1942,3.0,1,1,1
1006,3.0,1,1,1
6833,3.0,1,1,1
644150,3.0,1,1,1
9021,3.0,1,1,1
2122,3.0,1,1,1
4257,3.0,1,1,1
10316,3.0,1,1,1
7453,3.0,1,1,1
2589,3.0,1,1,1
6423,3.0,1,1,1
7057,3.0,1,1,1
4814,3.0,1,1,1
51804,3.0,1,1,1
7368,3.0,1,1,1
84735,3.0,1,1,1
3694,3.0,1,1,1
140469,3.0,1,1,1
22848,3.0,1,1,1
6272,3.0,1,1,1
27330,3.0,1,1,1
7006,3.0,1,1,1
57181,3.0,1,1,1
978,3.0,1,1,1
81578,3.0,1,1,1
55,3.0,1,1,1
2660,3.0,1,1,1
5284,3.0,1,1,1
6870,3.0,1,1,1
55681,3.0,1,1,1
5357,3.0,1,1,1
100506658,3.0,1,1,1
4217,3.0,1,1,1
5218,2.0,1,0,1
768211,2.0,1,0,1
55958,2.0,1,0,1
63027,2.0,1,0,1
401145,2.0,1,0,1
7051,2.0,1,0,1
201176,2.0,1,0,1
9120,2.0,1,1,0
54914,2.0,1,0,1
51061,2.0,1,0,1
717,2.0,1,1,0
8459,2.0,1,0,1
10256,2.0,1,0,1
256158,2.0,1,0,1
10406,2.0,1,0,1
84968,2.0,1,0,1
162073,2.0,1,0,1
6793,2.0,1,0,1
340146,2.0,1,1,0
29015,2.0,1,0,1
57222,2.0,1,0,1
64943,2.0,1,0,1
266977,2.0,1,0,1
9543,2.0,1,0,1
84293,2.0,1,0,1
404093,2.0,1,0,1
65987,2.0,1,0,1
23335,2.0,1,0,1
51228,2.0,1,1,0
79679,2.0,1,0,1
200014,2.0,1,0,1
8727,2.0,1,0,1
6611,2.0,1,1,0
79446,2.0,1,0,1
255928,2.0,1,0,1
3614,2.0,1,0,1
286826,2.0,1,0,1
134510,2.0,1,0,1
11138,2.0,1,0,1
4261,2.0,1,1,0
151473,2.0,1,1,0
126868,2.0,1,0,1
84978,2.0,1,0,1
26298,2.0,1,1,0
80000,2.0,1,1,0
136306,2.0,1,0,1
4148,2.0,1,0,1
10149,2.0,1,0,1
93663,2.0,1,0,1
57648,2.0,1,0,1
3796,2.0,1,0,1
284403,2.0,1,0,1
10178,2.0,1,1,0
321,2.0,1,0,1
6430,2.0,1,0,1
22875,2.0,1,1,0
80736,2.0,1,1,0
64067,2.0,1,0,1
6867,2.0,1,0,1
202,2.0,1,0,1
55226,2.0,1,0,1
84141,2.0,1,0,1
9992,2.0,1,1,0
2039,2.0,1,1,0
57583,2.0,1,0,1
10568,2.0,1,1,0
10625,2.0,1,0,1
84253,2.0,1,0,1
6894,2.0,1,0,1
7136,2.0,1,0,1
152404,2.0,1,1,0
51057,2.0,1,1,0
4703,2.0,1,0,1
4248,2.0,1,1,0
4324,2.0,1,1,0
5635,2.0,1,0,1
57544,2.0,1,0,1
164781,2.0,1,0,1
7263,2.0,1,0,1
1825,2.0,1,0,1
23054,2.0,1,0,1
5827,2.0,1,0,1
56904,2.0,1,0,1
54972,2.0,1,0,1
340348,2.0,1,0,1
64344,2.0,1,0,1
7156,2.0,1,0,1
91947,2.0,1,0,1
65244,2.0,1,0,1
84102,2.0,1,1,0
266722,2.0,1,0,1
84632,2.0,1,1,0
124637,2.0,1,0,1
56992,2.0,1,0,1
29066,2.0,1,0,1
3096,2.0,1,0,1
8538,2.0,1,1,0
6545,2.0,1,1,0
4540,2.0,1,0,1
2330,2.0,1,1,0
83695,2.0,1,0,1
11067,2.0,1,0,1
92558,2.0,1,0,1
55603,2.0,1,0,1
8842,2.0,1,1,0
4519,2.0,1,0,1
1773,2.0,1,0,1
80157,2.0,1,1,0
57471,2.0,1,0,1
80230,2.0,1,0,1
23524,2.0,1,0,1
51397,2.0,1,0,1
148932,2.0,1,0,1
79846,2.0,1,0,1
1663,2.0,1,0,1
151790,2.0,1,0,1
6239,2.0,1,1,0
7105,2.0,1,0,1
146050,2.0,1,0,1
57221,2.0,1,0,1
23564,2.0,1,1,0
284340,2.0,1,1,0
55890,2.0,1,0,1
11010,2.0,1,0,1
2863,2.0,1,0,1
54532,2.0,1,0,1
54462,2.0,1,0,1
2070,2.0,1,0,1
6447,2.0,1,1,0
5274,2.0,1,1,0
7145,2.0,1,0,1
54101,2.0,1,0,1
5874,2.0,1,0,1
9170,2.0,1,0,1
6744,2.0,1,0,1
57464,2.0,1,0,1
55227,2.0,1,0,1
85315,2.0,1,0,1
79836,2.0,1,0,1
90957,2.0,1,0,1
9633,2.0,1,0,1
81832,2.0,1,1,0
5099,2.0,1,0,1
3108,2.0,1,0,1
84239,2.0,1,1,0
7433,2.0,1,0,1
171177,2.0,1,0,1
134218,2.0,1,0,1
22983,2.0,1,0,1
200150,2.0,1,0,1
23120,2.0,1,1,0
2009,2.0,1,1,0
84879,2.0,1,1,0
390243,2.0,1,0,1
5549,2.0,1,0,1
10158,2.0,1,0,1
170589,2.0,1,0,1
389941,2.0,1,0,1
23154,2.0,1,0,1
51062,2.0,1,0,1
4034,2.0,1,0,1
4008,2.0,1,0,1
57628,2.0,1,1,0
57622,2.0,1,0,1
9557,2.0,1,0,1
151246,2.0,1,0,1
4200,2.0,1,0,1
57537,2.0,1,1,0
161253,2.0,1,0,1
374393,2.0,1,0,1
23108,2.0,1,0,1
6252,2.0,1,0,1
84886,2.0,1,0,1
4490,2.0,1,1,0
9133,2.0,1,0,1
203859,2.0,1,0,1
85021,2.0,1,0,1
6769,2.0,1,1,0
116931,2.0,1,0,1
