Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-382551,Transport of small molecules,,-11,4,8.9,30211,729,367,35,9.5,1.5,2|368|477|479|523|1317|1356|2040|3933|5172|6338|6340|6446|6549|6559|6564|6583|6646|9123|9498|23428|27329|28965|57552|59345|65268|85413|85414|114134|117247|140803|204962|245973|286097|286410,A2M|ABCC6|ATP1A2|ATP12A|ATP6V1A|SLC31A1|CP|STOM|LCN1|SLC26A4|SCNN1B|SCNN1G|SGK1|SLC9A2|SLC12A3|SLC15A1|SLC22A4|SOAT1|SLC16A3|SLC4A8|SLC7A8|ANGPTL3|SLC27A6|NCEH1|GNB4|WNK2|SLC22A16|SLC45A3|SLC2A13|SLC16A10|TRPM6|SLC44A5|ATP6V1C2|MICU3|ATP11C,-6.9,MyList
Reactome Gene Sets,6,R-HSA-1483206,Glycerophospholipid biosynthesis,,-9.2,8.9,10,30211,129,367,14,3.8,1,1040|3030|3032|11343|55500|57110|81579|84803|84879|85465|129642|154141|200879|204962,CDS1|HADHA|HADHB|MGLL|ETNK1|PLAAT1|PLA2G12A|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5,-5.2,MyList
GO Biological Processes,19,GO:0030855,epithelial cell differentiation,19_GO:0032502 developmental process,-9,4,8,30211,549,367,27,7.4,1.4,231|652|1543|1910|1999|2355|2735|2810|2889|3572|3791|3880|4643|6098|7348|7422|7429|7430|7481|8643|9076|10591|10855|26298|54507|57110|284217,AKR1B1|BMP4|CYP1A1|EDNRB|ELF3|FOSL2|GLI1|SFN|RAPGEF1|IL6ST|KDR|KRT19|MYO1E|ROS1|UPK1B|VEGFA|VIL1|EZR|WNT11|PTCH2|CLDN1|DNPH1|HPSE|EHF|ADAMTSL4|PLAAT1|LAMA1,-5.2,MyList
GO Biological Processes,19,GO:0043009,chordate embryonic development,19_GO:0032502 developmental process,-9,3.8,7.9,30211,629,367,29,7.9,1.4,652|672|1999|2034|2707|3218|3705|3880|4036|4643|5340|5801|6385|6491|7004|7422|7481|9133|9508|9585|10159|22943|26227|51294|57142|57216|79682|113026|157506,BMP4|BRCA1|ELF3|EPAS1|GJB3|HOXB8|ITPK1|KRT19|LRP2|MYO1E|PLG|PTPRR|SDC4|STIL|TEAD4|VEGFA|WNT11|CCNB2|ADAMTS3|KIF20B|ATP6AP2|DKK1|PHGDH|PCDH12|RTN4|VANGL2|CENPU|PLCD3|RDH10,-5.2,MyList
GO Biological Processes,19,GO:0009792,embryo development ending in birth or egg hatching,19_GO:0032502 developmental process,-8.6,3.7,7.6,30211,650,367,29,7.9,1.4,652|672|1999|2034|2707|3218|3705|3880|4036|4643|5340|5801|6385|6491|7004|7422|7481|9133|9508|9585|10159|22943|26227|51294|57142|57216|79682|113026|157506,BMP4|BRCA1|ELF3|EPAS1|GJB3|HOXB8|ITPK1|KRT19|LRP2|MYO1E|PLG|PTPRR|SDC4|STIL|TEAD4|VEGFA|WNT11|CCNB2|ADAMTS3|KIF20B|ATP6AP2|DKK1|PHGDH|PCDH12|RTN4|VANGL2|CENPU|PLCD3|RDH10,-5.1,MyList
GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0008152 metabolic process,-8.6,3.9,7.7,30211,570,367,27,7.4,1.4,220|231|660|672|1040|1543|3707|5281|5743|8611|9514|11001|11343|51495|55500|60481|79071|84803|84879|85465|116255|129642|154141|157506|200879|204962|341392,ALDH1A3|AKR1B1|BMX|BRCA1|CDS1|CYP1A1|ITPKB|PIGF|PTGS2|PLPP1|GAL3ST1|SLC27A2|MGLL|HACD3|ETNK1|ELOVL5|ELOVL6|GPAT3|MFSD2A|SELENOI|MOGAT1|MBOAT2|MBOAT1|RDH10|LIPH|SLC44A5|ACSM4,-5.1,MyList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-8.5,3.6,7.5,30211,661,367,29,7.9,1.4,290|302|652|1950|2034|2321|2735|3606|3791|4036|4643|4854|4897|5743|6385|6491|7422|7481|9585|10855|11082|26249|27329|57216|80000|113026|157506|284217|284340,ANPEP|ANXA2|BMP4|EGF|EPAS1|FLT1|GLI1|IL18|KDR|LRP2|MYO1E|NOTCH3|NRCAM|PTGS2|SDC4|STIL|VEGFA|WNT11|KIF20B|HPSE|ESM1|KLHL3|ANGPTL3|VANGL2|GREB1L|PLCD3|RDH10|LAMA1|CXCL17,-5,MyList
GO Biological Processes,19,GO:0046394,carboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-8.4,5.7,8.4,30211,260,367,18,4.9,1.1,220|445|672|1543|2628|4942|5743|10955|11001|11343|26227|29968|51495|60481|79071|157506|200879|341392,ALDH1A3|ASS1|BRCA1|CYP1A1|GATM|OAT|PTGS2|SERINC3|SLC27A2|MGLL|PHGDH|PSAT1|HACD3|ELOVL5|ELOVL6|RDH10|LIPH|ACSM4,-5,MyList
GO Biological Processes,19,GO:0016053,organic acid biosynthetic process,19_GO:0008152 metabolic process,-8.4,5.7,8.4,30211,262,367,18,4.9,1.1,220|445|672|1543|2628|4942|5743|10955|11001|11343|26227|29968|51495|60481|79071|157506|200879|341392,ALDH1A3|ASS1|BRCA1|CYP1A1|GATM|OAT|PTGS2|SERINC3|SLC27A2|MGLL|PHGDH|PSAT1|HACD3|ELOVL5|ELOVL6|RDH10|LIPH|ACSM4,-5,MyList
Reactome Gene Sets,6,R-HSA-75205,Dissolution of Fibrin Clot,,-8.3,38,15,30211,13,367,6,1.6,0.66,302|5055|5269|5327|5329|5340,ANXA2|SERPINB2|SERPINB6|PLAT|PLAUR|PLG,-5,MyList
