_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-8.976064447174139,GO:0032502,developmental process,M1,1,GO:0030855 epithelial cell differentiation
1,-8.625704213087158,GO:0008152,metabolic process,M1,1,GO:0008610 lipid biosynthetic process
1,-7.24227023352508,GO:0022414,reproductive process,M1,1,GO:0048608 reproductive structure development
1,-7.0494605433703095,GO:0048519,negative regulation of biological process,M1,1,GO:0010951 negative regulation of endopeptidase activity
1,-6.7988208725797445,GO:0050896,response to stimulus,M1,1,GO:0009636 response to toxic substance
1,-6.172009141666771,GO:0065007,biological regulation,M1,1,GO:0050878 regulation of body fluid levels
1,-6.145543021605201,GO:0051179,localization,M1,1,GO:0006820 anion transport
1,-5.325263268371273,GO:0050789,regulation of biological process,M1,1,GO:0050678 regulation of epithelial cell proliferation
1,-5.24940865808053,GO:0098754,detoxification,M1,1,GO:1990748 cellular detoxification
1,-5.151894880048285,GO:0023052,signaling,M1,1,GO:0099191 trans-synaptic signaling by BDNF
1,-4.809271554369862,GO:0032501,multicellular organismal process,M1,1,GO:0030193 regulation of blood coagulation
1,-4.641869754797831,GO:0040007,growth,M1,1,GO:0040008 regulation of growth
1,-4.618880230769184,GO:0048518,positive regulation of biological process,M1,1,GO:0010575 positive regulation of vascular endothelial growth factor production
1,-4.595047783802083,GO:0009987,cellular process,M1,1,GO:0097435 supramolecular fiber organization
1,-3.778111663080955,GO:0022610,biological adhesion,M1,1,GO:0022407 regulation of cell-cell adhesion
1,-3.70657209350884,GO:0040011,locomotion,M1,1,GO:0030335 positive regulation of cell migration
1,-3.052898222049896,GO:0007610,behavior,M1,1,GO:0035641 locomotory exploration behavior
1,-2.7210182915076855,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0032496 response to lipopolysaccharide
1,-2.7158557214245875,GO:0002376,immune system process,M1,1,GO:0002520 immune system development
1,-2.4980227702245243,GO:0110148,biomineralization,M1,1,GO:0030282 bone mineralization
1,-2.2329119976132437,GO:0043473,pigmentation,M1,1,GO:0043473 pigmentation
