_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-11.207042811464166,R-HSA-382551,M1,1,0,Reactome Gene Sets,6,Transport of small molecules,,-11.207042811464166,3.9522058136449094,8.947708012483524,30211,729,367,35,9.536784741144414,1.533218206221701,2|368|477|479|523|1317|1356|2040|3933|5172|6338|6340|6446|6549|6559|6564|6583|6646|9123|9498|23428|27329|28965|57552|59345|65268|85413|85414|114134|117247|140803|204962|245973|286097|286410,A2M|ABCC6|ATP1A2|ATP12A|ATP6V1A|SLC31A1|CP|STOM|LCN1|SLC26A4|SCNN1B|SCNN1G|SGK1|SLC9A2|SLC12A3|SLC15A1|SLC22A4|SOAT1|SLC16A3|SLC4A8|SLC7A8|ANGPTL3|SLC27A6|NCEH1|GNB4|WNK2|SLC22A16|SLC45A3|SLC2A13|SLC16A10|TRPM6|SLC44A5|ATP6V1C2|MICU3|ATP11C,-6.8603573964365925,0,1,1,1,-11.207042811464166,5.597678474114441,
1,-7.865753003112644,R-HSA-425407,M1,1,0,Reactome Gene Sets,6,SLC-mediated transmembrane transport,,-7.865753003112644,5.597678474114441,8.094878376201706,30211,250,367,17,4.632152588555858,1.097133273720637,1317|1356|3933|5172|6549|6559|6564|6583|9123|9498|23428|28965|85413|85414|114134|117247|204962,SLC31A1|CP|LCN1|SLC26A4|SLC9A2|SLC12A3|SLC15A1|SLC22A4|SLC16A3|SLC4A8|SLC7A8|SLC27A6|SLC22A16|SLC45A3|SLC2A13|SLC16A10|SLC44A5,-4.613504617026134,0,1,0,0,-11.207042811464166,5.597678474114441,
1,-9.181764337269156,R-HSA-1483206,M1,1,0,Reactome Gene Sets,6,Glycerophospholipid biosynthesis,,-9.181764337269156,8.933823374099656,10.013915182115479,30211,129,367,14,3.8147138964577656,0.9998901132185083,1040|3030|3032|11343|55500|57110|81579|84803|84879|85465|129642|154141|200879|204962,CDS1|HADHA|HADHB|MGLL|ETNK1|PLAAT1|PLA2G12A|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5,-5.2142139374795455,0,2,1,1,-9.181764337269156,10.289850136239782,
1,-8.625704213087158,GO:0008610,M1,1,0,GO Biological Processes,19,lipid biosynthetic process,19_GO:0008152 metabolic process,-8.625704213087158,3.8993116305750757,7.749358969789569,30211,570,367,27,7.356948228882834,1.3627689951656512,220|231|660|672|1040|1543|3707|5281|5743|8611|9514|11001|11343|51495|55500|60481|79071|84803|84879|85465|116255|129642|154141|157506|200879|204962|341392,ALDH1A3|AKR1B1|BMX|BRCA1|CDS1|CYP1A1|ITPKB|PIGF|PTGS2|PLPP1|GAL3ST1|SLC27A2|MGLL|HACD3|ETNK1|ELOVL5|ELOVL6|GPAT3|MFSD2A|SELENOI|MOGAT1|MBOAT2|MBOAT1|RDH10|LIPH|SLC44A5|ACSM4,-5.057170048443227,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-7.939167232872805,R-HSA-556833,M1,1,0,Reactome Gene Sets,6,Metabolism of lipids,,-7.939167232872805,3.328253413339014,7.1208097173607205,30211,742,367,30,8.174386920980927,1.4301331758685485,231|622|660|1040|1543|1591|1800|3030|3032|4036|5743|8611|11001|11343|51495|55500|57110|60481|79071|81579|84803|84879|85465|116255|129642|154141|200879|204962|284486|390916,AKR1B1|BDH1|BMX|CDS1|CYP1A1|CYP24A1|DPEP1|HADHA|HADHB|LRP2|PTGS2|PLPP1|SLC27A2|MGLL|HACD3|ETNK1|PLAAT1|ELOVL5|ELOVL6|PLA2G12A|GPAT3|MFSD2A|SELENOI|MOGAT1|MBOAT2|MBOAT1|LIPH|SLC44A5|THEM5|NUDT19,-4.633874503003456,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-7.716161510941724,GO:0046486,M1,1,0,GO Biological Processes,19,glycerolipid metabolic process,19_GO:0008152 metabolic process,-7.716161510941724,4.611697540051443,7.61244374535858,30211,357,367,20,5.449591280653951,1.184897106259835,660|1040|3030|3707|5281|6583|9514|10955|11343|55500|57110|84803|84879|85465|116255|129642|154141|200879|204962|284486,BMX|CDS1|HADHA|ITPKB|PIGF|SLC22A4|GAL3ST1|SERINC3|MGLL|ETNK1|PLAAT1|GPAT3|MFSD2A|SELENOI|MOGAT1|MBOAT2|MBOAT1|LIPH|SLC44A5|THEM5,-4.545567354969831,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-7.237200713127452,R-HSA-1483257,M1,1,0,Reactome Gene Sets,6,Phospholipid metabolism,,-7.237200713127452,5.8244434733432735,7.817027554725741,30211,212,367,15,4.087193460490464,1.0335175718369922,660|1040|3030|3032|11343|55500|57110|81579|84803|84879|85465|129642|154141|200879|204962,BMX|CDS1|HADHA|HADHB|MGLL|ETNK1|PLAAT1|PLA2G12A|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5,-4.212734592833797,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-6.8792762164156676,GO:0006644,M1,1,0,GO Biological Processes,19,phospholipid metabolic process,19_GO:0008152 metabolic process,-6.8792762164156676,4.296860496451777,7.017473784661172,30211,364,367,19,5.177111716621253,1.156557757847126,660|1040|3030|3707|5281|8611|10955|27329|55500|57110|81579|84803|84879|85465|129642|154141|200879|204962|284486,BMX|CDS1|HADHA|ITPKB|PIGF|PLPP1|SERINC3|ANGPTL3|ETNK1|PLAAT1|PLA2G12A|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5|THEM5,-3.979748832730313,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-6.162973678222074,GO:0006650,M1,1,0,GO Biological Processes,19,glycerophospholipid metabolic process,19_GO:0008152 metabolic process,-6.162973678222074,4.51061923780374,6.684693455733191,30211,292,367,16,4.359673024523161,1.0658950692071487,660|1040|3030|3707|5281|10955|55500|57110|84803|84879|85465|129642|154141|200879|204962|284486,BMX|CDS1|HADHA|ITPKB|PIGF|SERINC3|ETNK1|PLAAT1|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5|THEM5,-3.4298119220629912,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-4.326029608461258,GO:0008654,M1,1,0,GO Biological Processes,19,phospholipid biosynthetic process,19_GO:0008152 metabolic process,-4.326029608461258,4.065125979749049,5.319887704665198,30211,243,367,12,3.2697547683923704,0.9283370920018276,660|1040|3707|5281|55500|84803|84879|85465|129642|154141|200879|204962,BMX|CDS1|ITPKB|PIGF|ETNK1|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5,-2.0797147385512478,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-3.991295821438459,GO:0045017,M1,1,0,GO Biological Processes,19,glycerolipid biosynthetic process,19_GO:0008152 metabolic process,-3.991295821438459,4.042441124951343,5.068267881321181,30211,224,367,11,2.997275204359673,0.8900660689209586,660|1040|3707|5281|55500|84803|84879|85465|116255|200879|204962,BMX|CDS1|ITPKB|PIGF|ETNK1|GPAT3|MFSD2A|SELENOI|MOGAT1|LIPH|SLC44A5,-1.834942104581177,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-3.9414318691561485,GO:0090407,M1,1,0,GO Biological Processes,19,organophosphate biosynthetic process,19_GO:0008152 metabolic process,-3.9414318691561485,2.867663152722562,4.612559909850206,30211,488,367,17,4.632152588555858,1.097133273720637,132|159|523|660|1040|3707|5281|55500|60481|79071|84803|84879|85465|129642|154141|200879|204962,ADK|ADSS2|ATP6V1A|BMX|CDS1|ITPKB|PIGF|ETNK1|ELOVL5|ELOVL6|GPAT3|MFSD2A|SELENOI|MBOAT2|MBOAT1|LIPH|SLC44A5,-1.7994488336028245,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-3.7826876158849263,GO:0046470,M1,1,0,GO Biological Processes,19,phosphatidylcholine metabolic process,19_GO:0008152 metabolic process,-3.7826876158849263,7.371832933425515,5.790035415736366,30211,67,367,6,1.6348773841961852,0.6619575345465517,1040|57110|84879|129642|154141|204962,CDS1|PLAAT1|MFSD2A|MBOAT2|MBOAT1|SLC44A5,-1.7147558018101816,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-3.6728980047002753,GO:0046474,M1,1,0,GO Biological Processes,19,glycerophospholipid biosynthetic process,19_GO:0008152 metabolic process,-3.6728980047002753,4.0352353475450125,4.823652851113801,30211,204,367,10,2.7247956403269753,0.84983577953801,660|1040|3707|5281|55500|84803|84879|85465|200879|204962,BMX|CDS1|ITPKB|PIGF|ETNK1|GPAT3|MFSD2A|SELENOI|LIPH|SLC44A5,-1.637966450728456,0,2,0,0,-9.181764337269156,10.289850136239782,
1,-2.526107976916496,GO:0006656,M1,1,0,GO Biological Processes,19,phosphatidylcholine biosynthetic process,19_GO:0008152 metabolic process,-2.526107976916496,10.289850136239782,5.048754236468054,30211,24,367,3,0.8174386920980926,0.4700155461353493,1040|84879|204962,CDS1|MFSD2A|SLC44A5,-0.8962602851884467,0,2,0,0,-9.181764337269156,10.289850136239782,
