Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0043009,chordate embryonic development,19_GO:0032502 developmental process,-11,4.8,9.3,30211,629,282,28,9.9,1.8,652|672|1999|2034|2707|3705|3880|4036|4643|5340|5801|6385|6491|7004|7422|7481|9133|9508|9585|10159|22943|26227|51294|57142|57216|79682|113026|157506,BMP4|BRCA1|ELF3|EPAS1|GJB3|ITPK1|KRT19|LRP2|MYO1E|PLG|PTPRR|SDC4|STIL|TEAD4|VEGFA|WNT11|CCNB2|ADAMTS3|KIF20B|ATP6AP2|DKK1|PHGDH|PCDH12|RTN4|VANGL2|CENPU|PLCD3|RDH10,-7.7
MyList,GO Biological Processes,19,GO:0009792,embryo development ending in birth or egg hatching,19_GO:0032502 developmental process,-11,4.6,9,30211,650,282,28,9.9,1.8,652|672|1999|2034|2707|3705|3880|4036|4643|5340|5801|6385|6491|7004|7422|7481|9133|9508|9585|10159|22943|26227|51294|57142|57216|79682|113026|157506,BMP4|BRCA1|ELF3|EPAS1|GJB3|ITPK1|KRT19|LRP2|MYO1E|PLG|PTPRR|SDC4|STIL|TEAD4|VEGFA|WNT11|CCNB2|ADAMTS3|KIF20B|ATP6AP2|DKK1|PHGDH|PCDH12|RTN4|VANGL2|CENPU|PLCD3|RDH10,-7.4
MyList,Reactome Gene Sets,6,R-HSA-75205,Dissolution of Fibrin Clot,,-9,49,17,30211,13,282,6,2.1,0.86,302|5055|5269|5327|5329|5340,ANXA2|SERPINB2|SERPINB6|PLAT|PLAUR|PLG,-5.9
MyList,Reactome Gene Sets,6,R-HSA-382551,Transport of small molecules,,-8.8,4,7.9,30211,729,282,27,9.6,1.8,2|368|477|479|523|1317|1356|2040|3933|5172|6338|6340|6446|6549|6559|6564|6583|6646|28965|57552|59345|65268|85413|114134|245973|286097|286410,A2M|ABCC6|ATP1A2|ATP12A|ATP6V1A|SLC31A1|CP|STOM|LCN1|SLC26A4|SCNN1B|SCNN1G|SGK1|SLC9A2|SLC12A3|SLC15A1|SLC22A4|SOAT1|SLC27A6|NCEH1|GNB4|WNK2|SLC22A16|SLC2A13|ATP6V1C2|MICU3|ATP11C,-5.8
MyList,GO Biological Processes,19,GO:0030855,epithelial cell differentiation,19_GO:0032502 developmental process,-8.6,4.5,8,30211,549,282,23,8.2,1.6,231|652|1543|1910|1999|2355|2735|2810|2889|3572|3791|3880|4643|6098|7422|7430|7481|8643|9076|10591|10855|54507|284217,AKR1B1|BMP4|CYP1A1|EDNRB|ELF3|FOSL2|GLI1|SFN|RAPGEF1|IL6ST|KDR|KRT19|MYO1E|ROS1|VEGFA|EZR|WNT11|PTCH2|CLDN1|DNPH1|HPSE|ADAMTSL4|LAMA1,-5.6
MyList,GO Biological Processes,19,GO:0046394,carboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-8.4,6.6,8.8,30211,260,282,16,5.7,1.4,220|445|672|1543|2628|4942|5743|10955|11001|11343|26227|29968|51495|60481|79071|157506,ALDH1A3|ASS1|BRCA1|CYP1A1|GATM|OAT|PTGS2|SERINC3|SLC27A2|MGLL|PHGDH|PSAT1|HACD3|ELOVL5|ELOVL6|RDH10,-5.5
MyList,GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-8.4,5.1,8.2,30211,423,282,20,7.1,1.5,132|220|231|445|467|672|1543|2628|3707|4942|5743|10955|11001|11343|26227|29968|51495|60481|79071|157506,ADK|ALDH1A3|AKR1B1|ASS1|ATF3|BRCA1|CYP1A1|GATM|ITPKB|OAT|PTGS2|SERINC3|SLC27A2|MGLL|PHGDH|PSAT1|HACD3|ELOVL5|ELOVL6|RDH10,-5.5
MyList,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-8.4,4.1,7.7,30211,661,282,25,8.9,1.7,290|302|652|1950|2034|2321|2735|3606|3791|4036|4643|4854|4897|5743|6385|6491|7422|7481|9585|10855|26249|57216|113026|157506|284217,ANPEP|ANXA2|BMP4|EGF|EPAS1|FLT1|GLI1|IL18|KDR|LRP2|MYO1E|NOTCH3|NRCAM|PTGS2|SDC4|STIL|VEGFA|WNT11|KIF20B|HPSE|KLHL3|VANGL2|PLCD3|RDH10|LAMA1,-5.5
MyList,GO Biological Processes,19,GO:0016053,organic acid biosynthetic process,19_GO:0008152 metabolic process,-8.4,6.5,8.7,30211,262,282,16,5.7,1.4,220|445|672|1543|2628|4942|5743|10955|11001|11343|26227|29968|51495|60481|79071|157506,ALDH1A3|ASS1|BRCA1|CYP1A1|GATM|OAT|PTGS2|SERINC3|SLC27A2|MGLL|PHGDH|PSAT1|HACD3|ELOVL5|ELOVL6|RDH10,-5.5
MyList,Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-8.4,6.1,8.5,30211,301,282,17,6,1.4,2|652|825|2006|2244|3694|3791|3910|4321|4322|5340|6385|7076|9508|10516|54829|284217,A2M|BMP4|CAPN3|ELN|FGB|ITGB6|KDR|LAMA4|MMP12|MMP13|PLG|SDC4|TIMP1|ADAMTS3|FBLN5|ASPN|LAMA1,-5.4
MyList,KEGG Pathway,24,hsa05418,Fluid shear stress and atherosclerosis,,-8.1,9.2,9.5,30211,139,282,12,4.3,1.2,445|652|1728|3791|4257|4688|5327|6385|7295|7422|8878|221357,ASS1|BMP4|NQO1|KDR|MGST1|NCF2|PLAT|SDC4|TXN|VEGFA|SQSTM1|GSTA5,-5.2
MyList,GO Biological Processes,19,GO:0048608,reproductive structure development,19_GO:0022414 reproductive process,-7.7,4.9,7.7,30211,419,282,19,6.7,1.5,2|652|899|2034|2175|2707|2735|3791|3880|4036|5268|5340|5743|7422|9985|51294|113026|157506|259266,A2M|BMP4|CCNF|EPAS1|FANCA|GJB3|GLI1|KDR|KRT19|LRP2|SERPINB5|PLG|PTGS2|VEGFA|REC8|PCDH12|PLCD3|RDH10|ASPM,-4.9
