Cluster,Score,Type,Gene,Symbol,Network
2,3.4545454545454546,Clustered,5179,PENK,MyList_SUB1
2,3.4545454545454546,Clustered,1356,CP,MyList_SUB1
2,3.4545454545454546,Clustered,2244,FGB,MyList_SUB1
2,3.4545454545454546,Clustered,5340,PLG,MyList_SUB1
2,3.4545454545454546,Clustered,3484,IGFBP1,MyList_SUB1
2,3.4545454545454546,Clustered,2,A2M,MyList_SUB1
2,3.4545454545454546,Clustered,1950,EGF,MyList_SUB1
2,3.4545454545454546,Clustered,5768,QSOX1,MyList_SUB1
2,3.4545454545454546,Clustered,7076,TIMP1,MyList_SUB1
2,3.4545454545454546,Clustered,652,BMP4,MyList_SUB1
2,3.4545454545454546,Seed,5627,PROS1,MyList_SUB1
3,2.0,Seed,10418,SPON1,MyList_SUB1
3,2.0,Clustered,54507,ADAMTSL4,MyList_SUB1
3,2.0,Clustered,92949,ADAMTSL1,MyList_SUB1
3,2.0,Clustered,9508,ADAMTS3,MyList_SUB1
3,2.0,Clustered,157869,SBSPON,MyList_SUB1
1,1.8333333333333333,Clustered,1803,DPP4,MyList_SUB1
1,1.8333333333333333,Clustered,1232,CCR3,MyList_SUB1
1,1.8333333333333333,Clustered,55388,MCM10,MyList_SUB1
1,1.8333333333333333,Clustered,11001,SLC27A2,MyList_SUB1
1,1.8333333333333333,Clustered,4175,MCM6,MyList_SUB1
1,1.8333333333333333,Clustered,5269,SERPINB6,MyList_SUB1
1,1.8333333333333333,Seed,1910,EDNRB,MyList_SUB1
1,1.8333333333333333,Clustered,84329,HVCN1,MyList_SUB1
1,1.8333333333333333,Clustered,65268,WNK2,MyList_SUB1
1,1.8333333333333333,Clustered,51053,GMNN,MyList_SUB1
1,1.8333333333333333,Clustered,523,ATP6V1A,MyList_SUB1
1,1.8333333333333333,Clustered,6446,SGK1,MyList_SUB1
1,1.8333333333333333,Clustered,3030,HADHA,MyList_SUB1
1,1.8333333333333333,Clustered,4942,OAT,MyList_SUB1
1,1.8333333333333333,Clustered,3791,KDR,MyList_SUB1
1,1.8333333333333333,Clustered,79682,CENPU,MyList_SUB1
1,1.8333333333333333,Clustered,6338,SCNN1B,MyList_SUB1
1,1.8333333333333333,Clustered,3832,KIF11,MyList_SUB1
1,1.8333333333333333,Clustered,7422,VEGFA,MyList_SUB1
1,1.8333333333333333,Clustered,54443,ANLN,MyList_SUB1
1,1.8333333333333333,Clustered,10382,TUBB4A,MyList_SUB1
1,1.8333333333333333,Clustered,9585,KIF20B,MyList_SUB1
1,1.8333333333333333,Clustered,59345,GNB4,MyList_SUB1
1,1.8333333333333333,Clustered,5327,PLAT,MyList_SUB1
1,1.8333333333333333,Clustered,2034,EPAS1,MyList_SUB1
1,1.8333333333333333,Clustered,51175,TUBE1,MyList_SUB1
1,1.8333333333333333,Clustered,8878,SQSTM1,MyList_SUB1
1,1.8333333333333333,Clustered,392,ARHGAP1,MyList_SUB1
1,1.8333333333333333,Clustered,5055,SERPINB2,MyList_SUB1
1,1.8333333333333333,Clustered,59272,ACE2,MyList_SUB1
1,1.8333333333333333,Clustered,3032,HADHB,MyList_SUB1
1,1.8333333333333333,Clustered,7430,EZR,MyList_SUB1
1,1.8333333333333333,Clustered,6340,SCNN1G,MyList_SUB1
1,1.8333333333333333,Clustered,245973,ATP6V1C2,MyList_SUB1
1,1.8333333333333333,Clustered,10316,NMUR1,MyList_SUB1
1,1.8333333333333333,Clustered,54821,ERCC6L,MyList_SUB1
1,1.8333333333333333,Clustered,338557,FFAR4,MyList_SUB1
1,1.8333333333333333,Clustered,220,ALDH1A3,MyList_SUB1
1,1.8333333333333333,Clustered,2745,GLRX,MyList_SUB1
1,1.8333333333333333,Clustered,2321,FLT1,MyList_SUB1
1,1.8333333333333333,Clustered,2040,STOM,MyList_SUB1
1,1.8333333333333333,Clustered,9133,CCNB2,MyList_SUB1
4,1.25,Clustered,5801,PTPRR,MyList_SUB1
4,1.25,Clustered,994,CDC25B,MyList_SUB1
4,1.25,Seed,6098,ROS1,MyList_SUB1
4,1.25,Clustered,84867,PTPN5,MyList_SUB1
5,1.0,Clustered,4171,MCM2,MyList_SUB1
5,1.0,Seed,5214,PFKP,MyList_SUB1
5,1.0,Clustered,672,BRCA1,MyList_SUB1
6,1.0,Seed,8659,ALDH4A1,MyList_SUB1
6,1.0,Clustered,2731,GLDC,MyList_SUB1
6,1.0,Clustered,2628,GATM,MyList_SUB1
