_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.1,COVID135,M1,1,0,COVID,200,Proteome_Stukalov_A549-ACE2_24h_Up,,-9.1,8.8,9.9,30211,131,367,14,3.8,1,231|302|306|392|645|767|1728|2040|2810|3606|4257|5214|8878|10626,AKR1B1|ANXA2|ANXA3|ARHGAP1|BLVRB|CA8|NQO1|STOM|SFN|IL18|MGST1|PFKP|SQSTM1|TRIM16,-6.3,0
1,-8.2,COVID039,M1,1,0,COVID,200,RNA_Sun_Calu-3_24h_Down,,-8.2,5.2,8.1,30211,300,367,19,5.2,1.2,220|302|1362|1510|1591|3910|4175|4257|5358|7295|7430|51495|54443|55388|55706|55796|57142|79589|114569,ALDH1A3|ANXA2|CPD|CTSE|CYP24A1|LAMA4|MCM6|MGST1|PLS3|TXN|EZR|HACD3|ANLN|MCM10|NDC1|MBNL3|RTN4|RNF128|MAL2,-5.6,0
1,-7.5,COVID049,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Down,,-7.5,4.9,7.6,30211,300,367,18,4.9,1.1,1591|3081|3694|4147|4854|6098|7348|9133|11343|23158|26999|54873|55796|65268|79679|113220|116255|129642,CYP24A1|HGD|ITGB6|MATN2|NOTCH3|ROS1|UPK1B|CCNB2|MGLL|TBC1D9|CYFIP2|PALMD|MBNL3|WNK2|VTCN1|KIF12|MOGAT1|MBOAT2,-4.9,0
1,-6.7,COVID034,M1,1,0,COVID,200,RNA_Liao_BALF-severe-vs-mild_Up,,-6.7,4.7,7.1,30211,300,367,17,4.6,1.1,220|1410|1910|2355|2810|5055|5358|7076|7348|7422|8277|8870|22943|51299|54443|90874|113026,ALDH1A3|CRYAB|EDNRB|FOSL2|SFN|SERPINB2|PLS3|TIMP1|UPK1B|VEGFA|TKTL1|IER3|DKK1|NRN1|ANLN|ZNF697|PLCD3,-4.4,0
1,-6.6,COVID009,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2_Down,,-6.6,5.6,7.3,30211,207,367,14,3.8,1,231|302|1803|2628|3880|4147|5214|7348|7429|7430|10382|23650|55351|200879,AKR1B1|ANXA2|DPP4|GATM|KRT19|MATN2|PFKP|UPK1B|VIL1|EZR|TUBB4A|TRIM29|STK32B|LIPH,-4.2,0
1,-6.4,COVID208,M1,1,0,COVID,200,Proteome_Li_Urine-recovery-vs-healthy_Up,,-6.4,6.5,7.5,30211,152,367,12,3.3,0.93,290|645|1356|2040|2745|3929|5329|5768|10159|10591|23705|51294,ANPEP|BLVRB|CP|STOM|GLRX|LBP|PLAUR|QSOX1|ATP6AP2|DNPH1|CADM1|PCDH12,-4.1,0
1,-6,COVID037,M1,1,0,COVID,200,RNA_Sun_Calu-3_12h_Down,,-6,4.4,6.5,30211,300,367,16,4.4,1.1,302|928|1510|1728|3032|4175|4257|5768|7076|7295|7430|10103|51495|55796|79589|84293,ANXA2|CD9|CTSE|NQO1|HADHB|MCM6|MGST1|QSOX1|TIMP1|TXN|EZR|TSPAN1|HACD3|MBNL3|RNF128|PRXL2A,-3.8,0
1,-6,COVID124,M1,1,0,COVID,200,Interactome_Stukalov_A549_72h_ORF3,,-6,4.4,6.5,30211,300,367,16,4.4,1.1,231|3572|4854|5797|9124|9514|9559|10626|11343|23767|29968|57552|57622|140809|161291|286410,AKR1B1|IL6ST|NOTCH3|PTPRM|PDLIM1|GAL3ST1|VPS26A|TRIM16|MGLL|FLRT3|PSAT1|NCEH1|LRFN1|SRXN1|TMEM30B|ATP11C,-3.8,0
1,-6,COVID028,M1,1,0,COVID,200,RNA_Lamers_intestinal-organoid_expansion_Up,,-6,5.9,7.1,30211,167,367,12,3.3,0.93,290|1510|5268|6446|22943|29968|51660|53405|55170|59272|84803|125050,ANPEP|CTSE|SERPINB5|SGK1|DKK1|PSAT1|MPC1|CLIC5|PRMT6|ACE2|GPAT3|RN7SK,-3.8,0
1,-5.3,COVID016,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Up,,-5.3,4.1,6,30211,300,367,15,4.1,1,220|467|1543|2355|5055|5292|5327|5329|5743|6286|6385|7422|8553|8870|29968,ALDH1A3|ATF3|CYP1A1|FOSL2|SERPINB2|PIM1|PLAT|PLAUR|PTGS2|S100P|SDC4|VEGFA|BHLHE40|IER3|PSAT1,-3.3,0
