_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-17,M40175,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-17,9.1,14,30211,243,367,27,7.4,1.4,306|445|467|479|928|1356|1999|2810|3880|4257|4610|5055|5317|6286|6385|7348|8870|9076|10103|23650|26298|55808|79679|114569|161291|200879|284340,ANXA3|ASS1|ATF3|ATP12A|CD9|CP|ELF3|SFN|KRT19|MGST1|MYCL|SERPINB2|PKP1|S100P|SDC4|UPK1B|IER3|CLDN1|TSPAN1|TRIM29|EHF|ST6GALNAC1|VTCN1|MAL2|TMEM30B|LIPH|CXCL17,-13,0
1,-16,M39303,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C6 EPICARDIAL CELL,,-16,9.7,14,30211,195,367,23,6.3,1.3,306|445|3572|3606|3791|3880|4036|4257|4942|5627|6446|6860|7076|7348|7430|9076|9985|23767|26227|114569|140738|157869|374462,ANXA3|ASS1|IL6ST|IL18|KDR|KRT19|LRP2|MGST1|OAT|PROS1|SGK1|SYT4|TIMP1|UPK1B|EZR|CLDN1|REC8|FLRT3|PHGDH|MAL2|TMEM37|SBSPON|PTPRQ,-11,0
1,-13,M41698,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,,-13,4.9,10,30211,572,367,34,9.3,1.5,2|231|290|302|467|523|645|822|928|1317|2745|3032|3606|4257|4688|5214|5329|6446|6646|7295|8848|8878|9123|9124|9168|10159|10591|11343|28984|57142|57552|59345|84293|93663,A2M|AKR1B1|ANPEP|ANXA2|ATF3|ATP6V1A|BLVRB|CAPG|CD9|SLC31A1|GLRX|HADHB|IL18|MGST1|NCF2|PFKP|PLAUR|SGK1|SOAT1|TXN|TSC22D1|SQSTM1|SLC16A3|PDLIM1|TMSB10|ATP6AP2|DNPH1|MGLL|RGCC|RTN4|NCEH1|GNB4|PRXL2A|ARHGAP18,-9.8,0
1,-12,M39114,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C10 MVECS 1,,-12,7,11,30211,269,367,23,6.3,1.3,2|302|928|1822|1910|2034|2040|2321|3572|3791|5269|5327|5797|6446|8553|8611|8848|9124|28984|51294|51299|54873|64129,A2M|ANXA2|CD9|ATN1|EDNRB|EPAS1|STOM|FLT1|IL6ST|KDR|SERPINB6|PLAT|PTPRM|SGK1|BHLHE40|PLPP1|TSC22D1|PDLIM1|RGCC|PCDH12|NRN1|PALMD|TINAGL1,-8.9,0
1,-12,M40220,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,,-12,6.6,11,30211,300,367,24,6.5,1.3,306|479|1591|1999|2707|3694|3880|5317|6286|6338|6340|6549|7348|10103|23650|26298|54097|79589|79679|114569|119587|157506|161291|284340,ANXA3|ATP12A|CYP24A1|ELF3|GJB3|ITGB6|KRT19|PKP1|S100P|SCNN1B|SCNN1G|SLC9A2|UPK1B|TSPAN1|TRIM29|EHF|FAM3B|RNF128|VTCN1|MAL2|CPXM2|RDH10|TMEM30B|CXCL17,-8.9,0
1,-11,M39018,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS BRAIN ENDOTHELIAL,,-11,5.6,9.9,30211,365,367,25,6.8,1.3,290|477|928|1362|1800|2034|2040|2321|2701|2908|3791|3910|4854|5269|5327|7076|8490|8553|11343|23428|28984|51294|84293|84879|93663,ANPEP|ATP1A2|CD9|CPD|DPEP1|EPAS1|STOM|FLT1|GJA4|NR3C1|KDR|LAMA4|NOTCH3|SERPINB6|PLAT|TIMP1|RGS5|BHLHE40|MGLL|SLC7A8|RGCC|PCDH12|PRXL2A|MFSD2A|ARHGAP18,-8,0
1,-10,M39039,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 1,,-10,4.9,9.1,30211,440,367,26,7.1,1.3,928|1317|1362|1728|1800|2006|2034|2321|3791|3910|4147|5358|5797|7076|8553|8848|10626|23428|28984|51294|53405|54873|55808|84293|84879|93663,CD9|SLC31A1|CPD|NQO1|DPEP1|ELN|EPAS1|FLT1|KDR|LAMA4|MATN2|PLS3|PTPRM|TIMP1|BHLHE40|TSC22D1|TRIM16|SLC7A8|RGCC|PCDH12|CLIC5|PALMD|ST6GALNAC1|PRXL2A|MFSD2A|ARHGAP18,-7.2,0
1,-10,M40010,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-10,4.7,8.8,30211,458,367,26,7.1,1.3,302|645|822|1040|1510|1728|1999|2810|3880|5268|6286|6385|7076|7295|7430|8553|8870|9124|9168|10103|11343|23428|55500|79071|114569|259266,ANXA2|BLVRB|CAPG|CDS1|CTSE|NQO1|ELF3|SFN|KRT19|SERPINB5|S100P|SDC4|TIMP1|TXN|EZR|BHLHE40|IER3|PDLIM1|TMSB10|TSPAN1|MGLL|SLC7A8|ETNK1|ELOVL6|MAL2|ASPM,-6.9,0
1,-9.9,M39096,M1,1,0,Cell Type Signatures,7,ZHONG PFC C1 OPC,,-9.9,6.6,9.6,30211,238,367,19,5.2,1.2,672|899|994|3832|9133|9585|9787|11004|51053|54443|55706|55872|63901|79682|81610|81624|119392|221150|259266,BRCA1|CCNF|CDC25B|KIF11|CCNB2|KIF20B|DLGAP5|KIF2C|GMNN|ANLN|NDC1|PBK|FAM111A|CENPU|FAM83D|DIAPH3|SFR1|SKA3|ASPM,-6.9,0
1,-9.9,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-9.9,3.7,8.2,30211,731,367,33,9,1.5,290|445|467|645|1543|1999|2120|2628|2745|3606|4257|5269|5358|6385|6446|7295|8553|8878|9076|9124|9168|10144|26227|29968|51053|51704|54097|93663|114569|123036|157506|200634|284340,ANPEP|ASS1|ATF3|BLVRB|CYP1A1|ELF3|ETV6|GATM|GLRX|IL18|MGST1|SERPINB6|PLS3|SDC4|SGK1|TXN|BHLHE40|SQSTM1|CLDN1|PDLIM1|TMSB10|FAM13A|PHGDH|PSAT1|GMNN|GPRC5B|FAM3B|ARHGAP18|MAL2|TC2N|RDH10|KRTCAP3|CXCL17,-6.9,0
