_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-17,C0153381,M1,1,0,DisGeNET,35,Malignant neoplasm of mouth,,-17,4.8,12,30211,756,367,44,12,1.7,231|302|652|1356|1410|1493|1543|1591|1803|1910|1950|2120|2321|2810|2952|3606|3791|3832|4171|4322|4610|4854|5179|5268|5292|5329|5340|5743|5801|6098|6641|7422|7430|7481|8878|9123|10855|11082|22943|23158|27329|51053|55872|57379,AKR1B1|ANXA2|BMP4|CP|CRYAB|CTLA4|CYP1A1|CYP24A1|DPP4|EDNRB|EGF|ETV6|FLT1|SFN|GSTT1|IL18|KDR|KIF11|MCM2|MMP13|MYCL|NOTCH3|PENK|SERPINB5|PIM1|PLAUR|PLG|PTGS2|PTPRR|ROS1|SNTB1|VEGFA|EZR|WNT11|SQSTM1|SLC16A3|HPSE|ESM1|DKK1|TBC1D9|ANGPTL3|GMNN|PBK|AICDA,-13,0
1,-15,C0220641,M1,1,0,DisGeNET,35,Lip and Oral Cavity Carcinoma,,-15,4.6,11,30211,734,367,41,11,1.6,231|652|1356|1410|1493|1543|1591|1803|1910|1950|2120|2321|2952|3606|3832|4171|4322|4610|4854|5179|5268|5292|5329|5340|5743|5801|6098|6641|7422|7430|7481|8878|9123|10855|11082|22943|23158|27329|51053|55872|57379,AKR1B1|BMP4|CP|CRYAB|CTLA4|CYP1A1|CYP24A1|DPP4|EDNRB|EGF|ETV6|FLT1|GSTT1|IL18|KIF11|MCM2|MMP13|MYCL|NOTCH3|PENK|SERPINB5|PIM1|PLAUR|PLG|PTGS2|PTPRR|ROS1|SNTB1|VEGFA|EZR|WNT11|SQSTM1|SLC16A3|HPSE|ESM1|DKK1|TBC1D9|ANGPTL3|GMNN|PBK|AICDA,-11,0
1,-14,C0025286,M1,1,0,DisGeNET,35,Meningioma,,-14,4.8,11,30211,634,367,37,10,1.6,220|290|652|672|928|1410|1493|1543|1803|1910|1950|2034|2120|2321|2735|2908|2952|3791|3832|4171|4175|5329|5340|5743|6098|6446|6646|7076|7295|7422|7430|7498|9076|23705|55706|65268|161291,ALDH1A3|ANPEP|BMP4|BRCA1|CD9|CRYAB|CTLA4|CYP1A1|DPP4|EDNRB|EGF|EPAS1|ETV6|FLT1|GLI1|NR3C1|GSTT1|KDR|KIF11|MCM2|MCM6|PLAUR|PLG|PTGS2|ROS1|SGK1|SOAT1|TIMP1|TXN|VEGFA|EZR|XDH|CLDN1|CADM1|NDC1|WNK2|TMEM30B,-11,0
1,-13,C0024115,M1,1,0,DisGeNET,35,Lung diseases,,-13,4.4,9.9,30211,700,367,37,10,1.6,2|479|652|928|1232|1543|1728|1803|1910|1950|2006|2321|2355|2745|2908|2952|3087|3606|4321|5172|5340|5627|5743|6098|6338|6340|6583|7076|7295|7422|7430|8840|10144|10516|26298|29968|59272,A2M|ATP12A|BMP4|CD9|CCR3|CYP1A1|NQO1|DPP4|EDNRB|EGF|ELN|FLT1|FOSL2|GLRX|NR3C1|GSTT1|HHEX|IL18|MMP12|SLC26A4|PLG|PROS1|PTGS2|ROS1|SCNN1B|SCNN1G|SLC22A4|TIMP1|TXN|VEGFA|EZR|CCN4|FAM13A|FBLN5|EHF|PSAT1|ACE2,-9.4,0
1,-13,C0085207,M1,1,0,DisGeNET,35,Gestational Diabetes,,-13,4.4,9.8,30211,649,367,35,9.5,1.5,132|290|302|1591|1803|1950|2244|2321|2825|2908|2952|3087|3484|3606|3791|5055|5340|5743|6098|6559|6646|7076|7295|7422|8840|9559|10159|11001|11082|11343|28965|54097|84879|140803|338557,ADK|ANPEP|ANXA2|CYP24A1|DPP4|EGF|FGB|FLT1|CMKLR2|NR3C1|GSTT1|HHEX|IGFBP1|IL18|KDR|SERPINB2|PLG|PTGS2|ROS1|SLC12A3|SOAT1|TIMP1|TXN|VEGFA|CCN4|VPS26A|ATP6AP2|SLC27A2|ESM1|MGLL|SLC27A6|FAM3B|MFSD2A|TRPM6|FFAR4,-9,0
1,-12,C0042373,M1,1,0,DisGeNET,35,Vascular Diseases,,-12,4.2,9.4,30211,688,367,35,9.5,1.5,231|302|368|652|672|1232|1493|1803|1950|1999|2006|2244|2355|2908|3572|3791|4322|4643|4854|5292|5340|5627|5743|6098|6446|6559|6646|7076|7295|7422|10516|10855|11082|23705|59272,AKR1B1|ANXA2|ABCC6|BMP4|BRCA1|CCR3|CTLA4|DPP4|EGF|ELF3|ELN|FGB|FOSL2|NR3C1|IL6ST|KDR|MMP13|MYO1E|NOTCH3|PIM1|PLG|PROS1|PTGS2|ROS1|SGK1|SLC12A3|SOAT1|TIMP1|TXN|VEGFA|FBLN5|HPSE|ESM1|CADM1|ACE2,-8.4,0
1,-12,C1704272,M1,1,0,DisGeNET,35,Benign Prostatic Hyperplasia,,-12,4,9.2,30211,770,367,37,10,1.6,2|302|467|479|672|1543|1728|1803|1910|1950|2006|2321|2735|2810|2952|3087|3606|3791|5268|5292|5627|5743|6446|7076|7295|7422|8878|9358|10103|10855|22943|23075|23158|29968|59272|79071|202151,A2M|ANXA2|ATF3|ATP12A|BRCA1|CYP1A1|NQO1|DPP4|EDNRB|EGF|ELN|FLT1|GLI1|SFN|GSTT1|HHEX|IL18|KDR|SERPINB5|PIM1|PROS1|PTGS2|SGK1|TIMP1|TXN|VEGFA|SQSTM1|ITGBL1|TSPAN1|HPSE|DKK1|SWAP70|TBC1D9|PSAT1|ACE2|ELOVL6|RANBP3L,-8.4,0
1,-12,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-12,4,9.2,30211,735,367,36,9.8,1.6,231|306|672|1493|1728|1803|1822|1910|1950|2034|2735|2810|3694|3791|3880|4171|4610|5358|5627|5743|6098|7076|7295|7422|7430|8277|8878|9076|10855|22943|23650|23705|29968|65268|79679|81610,AKR1B1|ANXA3|BRCA1|CTLA4|NQO1|DPP4|ATN1|EDNRB|EGF|EPAS1|GLI1|SFN|ITGB6|KDR|KRT19|MCM2|MYCL|PLS3|PROS1|PTGS2|ROS1|TIMP1|TXN|VEGFA|EZR|TKTL1|SQSTM1|CLDN1|HPSE|DKK1|TRIM29|CADM1|PSAT1|WNK2|VTCN1|FAM83D,-8.4,0
1,-11,C0153690,M1,1,0,DisGeNET,35,Secondary malignant neoplasm of bone,,-11,4.2,9.1,30211,647,367,33,9,1.5,2|392|467|672|1232|1800|1803|1822|1950|2006|2321|3572|3791|4322|4854|5179|5268|5340|5627|5743|6098|6446|7422|7430|7481|8840|8878|9123|9358|10855|11343|22943|29968,A2M|ARHGAP1|ATF3|BRCA1|CCR3|DPEP1|DPP4|ATN1|EGF|ELN|FLT1|IL6ST|KDR|MMP13|NOTCH3|PENK|SERPINB5|PLG|PROS1|PTGS2|ROS1|SGK1|VEGFA|EZR|WNT11|CCN4|SQSTM1|SLC16A3|ITGBL1|HPSE|MGLL|DKK1|PSAT1,-7.9,0
1,-11,C2316810,M1,1,0,DisGeNET,35,Chronic kidney disease stage 5,,-11,4.1,8.9,30211,666,367,33,9,1.5,445|479|652|822|1232|1362|1493|1543|1591|1803|1822|2244|2321|2908|2952|3484|3606|3929|4036|5067|5627|5743|6446|6559|7076|7422|7429|10159|10855|23005|23158|54443|59272,ASS1|ATP12A|BMP4|CAPG|CCR3|CPD|CTLA4|CYP1A1|CYP24A1|DPP4|ATN1|FGB|FLT1|NR3C1|GSTT1|IGFBP1|IL18|LBP|LRP2|CNTN3|PROS1|PTGS2|SGK1|SLC12A3|TIMP1|VEGFA|VIL1|ATP6AP2|HPSE|MAPKBP1|TBC1D9|ANLN|ACE2,-7.6,0
