_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-10,PGB:00004,M1,1,0,PaGenBase,36,Tissue-specific: kidney,,-10,4.6,8.8,30211,483,367,27,7.4,1.4,368|1591|1800|1803|1950|2244|2731|3218|4036|5172|6340|6559|8814|8870|10103|11001|11082|23428|26999|55195|55351|79679|83959|113220|165082|221357|245973,ABCC6|CYP24A1|DPEP1|DPP4|EGF|FGB|GLDC|HOXB8|LRP2|SLC26A4|SCNN1G|SLC12A3|CDKL1|IER3|TSPAN1|SLC27A2|ESM1|SLC7A8|CYFIP2|CCDC198|STK32B|VTCN1|SLC4A11|KIF12|ADGRF3|GSTA5|ATP6V1C2,-7,0
1,-9.8,PGB:00081,M1,1,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-9.8,9,10,30211,137,367,15,4.1,1,220|306|928|1362|2707|2810|3910|5055|5268|5358|5743|6385|10103|23650|23767,ALDH1A3|ANXA3|CD9|CPD|GJB3|SFN|LAMA4|SERPINB2|SERPINB5|PLS3|PTGS2|SDC4|TSPAN1|TRIM29|FLRT3,-6.9,0
1,-7.1,PGB:00002,M1,1,0,PaGenBase,36,Cell-specific: HEPG2,,-7.1,4.1,7.1,30211,425,367,21,5.7,1.2,368|763|899|1543|1591|1728|1800|1803|1999|2034|2244|2731|3081|3484|4257|4897|6286|6641|7429|8659|8999,ABCC6|CA5A|CCNF|CYP1A1|CYP24A1|NQO1|DPEP1|DPP4|ELF3|EPAS1|FGB|GLDC|HGD|IGFBP1|MGST1|NRCAM|S100P|SNTB1|VIL1|ALDH4A1|CDKL2,-4.7,0
1,-5.8,PGB:00001,M1,1,0,PaGenBase,36,Tissue-specific: liver,,-5.8,3,5.8,30211,691,367,25,6.8,1.3,368|622|763|1356|1610|2175|2244|2731|3081|3218|3484|3929|5340|6641|7076|7498|8659|9076|10020|11001|27329|64129|84879|164045|284904,ABCC6|BDH1|CA5A|CP|DAO|FANCA|FGB|GLDC|HGD|HOXB8|IGFBP1|LBP|PLG|SNTB1|TIMP1|XDH|ALDH4A1|CLDN1|GNE|SLC27A2|ANGPTL3|TINAGL1|MFSD2A|HFM1|SEC14L4,-3.7,0
1,-4.9,PGB:00018,M1,1,0,PaGenBase,36,Tissue-specific: lung,,-4.9,3.1,5.3,30211,499,367,19,5.2,1.2,1493|1510|1543|2006|2034|3694|4322|4688|5743|6098|6338|7481|10855|25774|28984|29094|51294|89778|284340,CTLA4|CTSE|CYP1A1|ELN|EPAS1|ITGB6|MMP13|NCF2|PTGS2|ROS1|SCNN1B|WNT11|HPSE|GSTT4|RGCC|LGALSL|PCDH12|SERPINB11|CXCL17,-2.9,0
1,-4.2,PGB:00031,M1,1,0,PaGenBase,36,Cell-specific: HUVEC,,-4.2,3.3,5,30211,372,367,15,4.1,1,302|306|368|660|2321|2650|4321|4897|5055|5329|5340|8490|11082|22943|284486,ANXA2|ANXA3|ABCC6|BMX|FLT1|GCNT1|MMP12|NRCAM|SERPINB2|PLAUR|PLG|RGS5|ESM1|DKK1|THEM5,-2.4,0
1,-3.8,PGB:00080,M1,1,0,PaGenBase,36,Cell-specific: huh-7,,-3.8,14,7.1,30211,23,367,4,1.1,0.54,1510|3268|27329|55796,CTSE|AGFG2|ANGPTL3|MBNL3,-2.1,0
1,-3.8,PGB:00014,M1,1,0,PaGenBase,36,Cell-specific: DRG,,-3.8,2.9,4.5,30211,455,367,16,4.4,1.1,220|477|1410|1910|2355|2701|4013|8611|9514|10382|22987|23261|23650|29094|53405|157869,ALDH1A3|ATP1A2|CRYAB|EDNRB|FOSL2|GJA4|VWA5A|PLPP1|GAL3ST1|TUBB4A|SV2C|CAMTA1|TRIM29|LGALSL|CLIC5|SBSPON,-2.1,0
1,-3.4,PGB:00049,M1,1,0,PaGenBase,36,Cell-specific: Adipocyte,,-3.4,4.5,4.7,30211,145,367,8,2.2,0.76,1410|2006|3910|4321|4642|9358|10516|84293,CRYAB|ELN|LAMA4|MMP12|MYO1D|ITGBL1|FBLN5|PRXL2A,-1.8,0
1,-3.1,PGB:00050,M1,1,0,PaGenBase,36,Tissue-specific: trachea,,-3.1,5.4,4.7,30211,91,367,6,1.6,0.66,479|1543|7348|29094|133690|284340,ATP12A|CYP1A1|UPK1B|LGALSL|CAPSL|CXCL17,-1.5,0
1,-2.4,PGB:00045,M1,1,0,PaGenBase,36,Tissue-specific: placenta,,-2.4,2.7,3.3,30211,304,367,10,2.7,0.85,2321|3484|5055|6286|7005|7430|22943|54507|55796|84879,FLT1|IGFBP1|SERPINB2|S100P|TEAD3|EZR|DKK1|ADAMTSL4|MBNL3|MFSD2A,-1,0
1,-2.4,PGB:00017,M1,1,0,PaGenBase,36,Tissue-specific: skin,,-2.4,3.1,3.4,30211,210,367,8,2.2,0.76,2707|2810|5268|5317|23650|29094|284486|284904,GJB3|SFN|SERPINB5|PKP1|TRIM29|LGALSL|THEM5|SEC14L4,-1,0
