_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.4,TRR00645,M1,1,0,TRRUST,34,Regulated by: JUN,,-9.4,7.7,9.7,30211,171,367,16,4.4,1.1,231|467|672|1390|1728|2006|3929|4321|4322|5179|5327|5329|5743|7295|7422|7430,AKR1B1|ATF3|BRCA1|CREM|NQO1|ELN|LBP|MMP12|MMP13|PENK|PLAT|PLAUR|PTGS2|TXN|VEGFA|EZR,-6.6,0
1,-8.8,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-8.8,4.1,7.9,30211,523,367,26,7.1,1.3,231|672|1317|1390|1910|1950|3484|3791|3880|4321|4942|5268|5327|5329|5743|6338|6549|6564|7076|7422|7430|8878|11004|26227|54829|284217,AKR1B1|BRCA1|SLC31A1|CREM|EDNRB|EGF|IGFBP1|KDR|KRT19|MMP12|OAT|SERPINB5|PLAT|PLAUR|PTGS2|SCNN1B|SLC9A2|SLC15A1|TIMP1|VEGFA|EZR|SQSTM1|KIF2C|PHGDH|ASPN|LAMA1,-6,0
1,-6.6,TRR00015,M1,1,0,TRRUST,34,Regulated by: ARNT,,-6.6,21,11,30211,23,367,6,1.6,0.66,672|1543|7076|7422|8553|84879,BRCA1|CYP1A1|TIMP1|VEGFA|BHLHE40|MFSD2A,-4.2,0
1,-5.9,TRR00275,M1,1,0,TRRUST,34,Regulated by: ESR1,,-5.9,8.5,7.8,30211,87,367,9,2.5,0.81,231|672|1543|1728|2321|3791|3880|4322|7422,AKR1B1|BRCA1|CYP1A1|NQO1|FLT1|KDR|KRT19|MMP13|VEGFA,-3.7,0
1,-5.8,TRR00674,M1,1,0,TRRUST,34,Regulated by: KLF4,,-5.8,12,8.6,30211,47,367,7,1.9,0.71,467|1543|3880|3910|5214|7422|284217,ATF3|CYP1A1|KRT19|LAMA4|PFKP|VEGFA|LAMA1,-3.7,0
1,-5.3,TRR00875,M1,1,0,TRRUST,34,Regulated by: NFKB1,,-5.3,3.9,5.9,30211,338,367,16,4.4,1.1,2|231|467|1232|1543|1999|3606|4322|5329|5743|6549|7076|7422|8870|8878|10855,A2M|AKR1B1|ATF3|CCR3|CYP1A1|ELF3|IL18|MMP13|PLAUR|PTGS2|SLC9A2|TIMP1|VEGFA|IER3|SQSTM1|HPSE,-3.3,0
1,-5,TRR00270,M1,1,0,TRRUST,34,Regulated by: EP300,,-5,9.3,7.2,30211,62,367,7,1.9,0.71,672|3910|5743|6549|7076|7422|9133,BRCA1|LAMA4|PTGS2|SLC9A2|TIMP1|VEGFA|CCNB2,-3,0
1,-4.8,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-4.8,3.7,5.5,30211,332,367,15,4.1,1,231|1232|1543|1999|2034|3606|4321|4322|5329|5743|6549|7076|7422|8870|10855,AKR1B1|CCR3|CYP1A1|ELF3|EPAS1|IL18|MMP12|MMP13|PLAUR|PTGS2|SLC9A2|TIMP1|VEGFA|IER3|HPSE,-2.9,0
1,-4.2,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-4.2,4.7,5.4,30211,175,367,10,2.7,0.85,467|672|1410|2321|2810|7422|8870|9133|22943|26999,ATF3|BRCA1|CRYAB|FLT1|SFN|VEGFA|IER3|CCNB2|DKK1|CYFIP2,-2.4,0
1,-4.2,TRR00025,M1,1,0,TRRUST,34,Regulated by: ATF4,,-4.2,12,7.1,30211,35,367,5,1.4,0.61,467|3484|5743|6286|7422,ATF3|IGFBP1|PTGS2|S100P|VEGFA,-2.4,0
1,-4.1,TRR00647,M1,1,0,TRRUST,34,Regulated by: JUND,,-4.1,11,6.8,30211,37,367,5,1.4,0.61,1728|5327|5329|5743|7076,NQO1|PLAT|PLAUR|PTGS2|TIMP1,-2.3,0
1,-4,TRR00362,M1,1,0,TRRUST,34,Regulated by: FOXM1,,-4,16,7.5,30211,21,367,4,1.1,0.54,231|994|2244|7422,AKR1B1|CDC25B|FGB|VEGFA,-2.2,0
1,-3.8,TRR01259,M1,1,0,TRRUST,34,Regulated by: SP3,,-3.8,5.2,5.3,30211,126,367,8,2.2,0.76,3484|3791|5327|5329|6549|7076|7422|284217,IGFBP1|KDR|PLAT|PLAUR|SLC9A2|TIMP1|VEGFA|LAMA1,-2.1,0
1,-3.8,TRR01277,M1,1,0,TRRUST,34,Regulated by: STAT3,,-3.8,4.6,5.1,30211,161,367,9,2.5,0.81,2|231|2034|2120|5292|5627|5743|7076|7422,A2M|AKR1B1|EPAS1|ETV6|PIM1|PROS1|PTGS2|TIMP1|VEGFA,-2.1,0
1,-3.7,TRR00253,M1,1,0,TRRUST,34,Regulated by: EGR1,,-3.7,5.8,5.3,30211,99,367,7,1.9,0.71,231|467|2321|5329|5743|7422|10855,AKR1B1|ATF3|FLT1|PLAUR|PTGS2|VEGFA|HPSE,-2,0
1,-3.7,TRR00484,M1,1,0,TRRUST,34,Regulated by: HIF1A,,-3.7,5.8,5.3,30211,99,367,7,1.9,0.71,231|445|1910|2908|7076|7422|59272,AKR1B1|ASS1|EDNRB|NR3C1|TIMP1|VEGFA|ACE2,-2,0
1,-3.4,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-3.4,4.6,4.8,30211,142,367,8,2.2,0.76,231|672|2175|2321|3791|5268|7422|11004,AKR1B1|BRCA1|FANCA|FLT1|KDR|SERPINB5|VEGFA|KIF2C,-1.8,0
1,-3.4,TRR01262,M1,1,0,TRRUST,34,Regulated by: SPDEF,,-3.4,21,7.5,30211,12,367,3,0.82,0.47,5268|5329|8878,SERPINB5|PLAUR|SQSTM1,-1.8,0
1,-3.4,TRR01400,M1,1,0,TRRUST,34,Regulated by: TFAP2A,,-3.4,6.3,5.2,30211,79,367,6,1.6,0.66,1410|2908|4942|5329|5743|7422,CRYAB|NR3C1|OAT|PLAUR|PTGS2|VEGFA,-1.8,0
1,-3.3,TRR00280,M1,1,0,TRRUST,34,Regulated by: ETS1,,-3.3,6,5,30211,83,367,6,1.6,0.66,290|652|2321|3484|4322|8878,ANPEP|BMP4|FLT1|IGFBP1|MMP13|SQSTM1,-1.7,0
1,-3.2,TRR00705,M1,1,0,TRRUST,34,Regulated by: LEF1,,-3.2,10,5.7,30211,33,367,4,1.1,0.54,231|1493|4286|4897,AKR1B1|CTLA4|MITF|NRCAM,-1.6,0
1,-3,TRR00345,M1,1,0,TRRUST,34,Regulated by: FOSL2,,-3,15,6.2,30211,17,367,3,0.82,0.47,672|5329|7076,BRCA1|PLAUR|TIMP1,-1.5,0
1,-3,TRR00342,M1,1,0,TRRUST,34,Regulated by: FOS,,-3,6.4,4.8,30211,64,367,5,1.4,0.61,1390|1728|5329|5743|7430,CREM|NQO1|PLAUR|PTGS2|EZR,-1.5,0
1,-2.9,TRR00474,M1,1,0,TRRUST,34,Regulated by: HDAC9,,-2.9,14,6,30211,18,367,3,0.82,0.47,3484|3606|4322,IGFBP1|IL18|MMP13,-1.4,0
1,-2.8,TRR00494,M1,1,0,TRRUST,34,Regulated by: HMGA1,,-2.8,12,5.6,30211,20,367,3,0.82,0.47,672|1410|5743,BRCA1|CRYAB|PTGS2,-1.3,0
1,-2.6,TRR00780,M1,1,0,TRRUST,34,Regulated by: MYC,,-2.6,4.5,4.1,30211,110,367,6,1.6,0.66,445|467|4321|7422|8870|22943,ASS1|ATF3|MMP12|VEGFA|IER3|DKK1,-1.2,0
1,-2.6,TRR01251,M1,1,0,TRRUST,34,Regulated by: SOX2,,-2.6,11,5.3,30211,22,367,3,0.82,0.47,368|652|22943,ABCC6|BMP4|DKK1,-1.2,0
1,-2.6,TRR01521,M1,1,0,TRRUST,34,Regulated by: VHL,,-2.6,11,5.2,30211,23,367,3,0.82,0.47,231|7422|8553,AKR1B1|VEGFA|BHLHE40,-1.2,0
1,-2.5,TRR01174,M1,1,0,TRRUST,34,Regulated by: RUNX2,,-2.5,10,5,30211,24,367,3,0.82,0.47,231|4322|7422,AKR1B1|MMP13|VEGFA,-1.1,0
1,-2.5,TRR00022,M1,1,0,TRRUST,34,Regulated by: ATF1,,-2.5,9.9,4.9,30211,25,367,3,0.82,0.47,2321|4286|5329,FLT1|MITF|PLAUR,-1.1,0
1,-2.5,TRR00138,M1,1,0,TRRUST,34,Regulated by: CTNNB1,,-2.5,9.9,4.9,30211,25,367,3,0.82,0.47,231|4897|5743,AKR1B1|NRCAM|PTGS2,-1.1,0
1,-2.5,TRR00233,M1,1,0,TRRUST,34,Regulated by: E2F4,,-2.5,9.9,4.9,30211,25,367,3,0.82,0.47,231|672|55388,AKR1B1|BRCA1|MCM10,-1.1,0
1,-2.5,TRR00471,M1,1,0,TRRUST,34,Regulated by: HDAC4,,-2.5,9.9,4.9,30211,25,367,3,0.82,0.47,4322|5743|7422,MMP13|PTGS2|VEGFA,-1.1,0
1,-2.4,TRR00004,M1,1,0,TRRUST,34,Regulated by: AHR,,-2.4,9.1,4.7,30211,27,367,3,0.82,0.47,672|1543|84879,BRCA1|CYP1A1|MFSD2A,-1,0
1,-2.3,TRR01029,M1,1,0,TRRUST,34,Regulated by: PGR,,-2.3,8.8,4.6,30211,28,367,3,0.82,0.47,3484|5743|7422,IGFBP1|PTGS2|VEGFA,-0.99,0
1,-2.2,TRR01275,M1,1,0,TRRUST,34,Regulated by: STAT1,,-2.2,4.3,3.6,30211,95,367,5,1.4,0.61,4322|5292|5743|6646|7076,MMP13|PIM1|PTGS2|SOAT1|TIMP1,-0.9,0
1,-2.1,TRR00125,M1,1,0,TRRUST,34,Regulated by: CREB1,,-2.1,4,3.4,30211,103,367,5,1.4,0.61,231|2321|4286|5327|5743,AKR1B1|FLT1|MITF|PLAT|PTGS2,-0.78,0
1,-2,TRR00023,M1,1,0,TRRUST,34,Regulated by: ATF2,,-2,6.9,3.9,30211,36,367,3,0.82,0.47,467|5327|5743,ATF3|PLAT|PTGS2,-0.75,0
1,-2,TRR00011,M1,1,0,TRRUST,34,Regulated by: AR,,-2,3.9,3.3,30211,106,367,5,1.4,0.61,220|5268|5743|7422|64129,ALDH1A3|SERPINB5|PTGS2|VEGFA|TINAGL1,-0.74,0
