Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
51495,3.0,1,1,1
9508,3.0,1,1,1
2707,3.0,1,1,1
80206,3.0,1,1,1
54507,3.0,1,1,1
2731,3.0,1,1,1
652,3.0,1,1,1
57379,3.0,1,1,1
10159,3.0,1,1,1
467,3.0,1,1,1
284217,3.0,1,1,1
2810,3.0,1,1,1
994,3.0,1,1,1
5627,3.0,1,1,1
154141,3.0,1,1,1
259266,3.0,1,1,1
113026,3.0,1,1,1
6559,3.0,1,1,1
392,3.0,1,1,1
3910,3.0,1,1,1
11164,3.0,1,1,1
5292,3.0,1,1,1
83999,3.0,1,1,1
7422,3.0,1,1,1
822,3.0,1,1,1
2650,3.0,1,1,1
4286,3.0,1,1,1
55388,3.0,1,1,1
1910,3.0,1,1,1
3606,3.0,1,1,1
2006,3.0,1,1,1
5801,3.0,1,1,1
9585,3.0,1,1,1
10316,3.0,1,1,1
28965,3.0,1,1,1
65268,3.0,1,1,1
1040,3.0,1,1,1
114134,3.0,1,1,1
22978,3.0,1,1,1
284486,3.0,1,1,1
83959,3.0,1,1,1
3572,3.0,1,1,1
6646,3.0,1,1,1
22943,3.0,1,1,1
928,3.0,1,1,1
79820,3.0,1,1,1
1543,3.0,1,1,1
23154,3.0,1,1,1
1493,3.0,1,1,1
2735,3.0,1,1,1
4257,3.0,1,1,1
8611,3.0,1,1,1
1232,3.0,1,1,1
79071,3.0,1,1,1
2034,3.0,1,1,1
3832,3.0,1,1,1
3705,3.0,1,1,1
660,3.0,1,1,1
10516,3.0,1,1,1
220,3.0,1,1,1
479,3.0,1,1,1
9133,3.0,1,1,1
11004,3.0,1,1,1
4642,3.0,1,1,1
54829,3.0,1,1,1
1410,3.0,1,1,1
151647,3.0,1,1,1
2745,3.0,1,1,1
79075,3.0,1,1,1
5797,3.0,1,1,1
10591,3.0,1,1,1
29968,3.0,1,1,1
1356,3.0,1,1,1
81579,3.0,1,1,1
85413,3.0,1,1,1
3791,3.0,1,1,1
51053,3.0,1,1,1
6340,3.0,1,1,1
84293,3.0,1,1,1
9787,3.0,1,1,1
11001,3.0,1,1,1
5743,3.0,1,1,1
8878,3.0,1,1,1
84803,3.0,1,1,1
5358,3.0,1,1,1
477,3.0,1,1,1
55796,3.0,1,1,1
7076,3.0,1,1,1
157506,3.0,1,1,1
114569,3.0,1,1,1
4854,3.0,1,1,1
5172,3.0,1,1,1
390916,3.0,1,1,1
1999,3.0,1,1,1
5214,3.0,1,1,1
221357,3.0,1,1,1
290,3.0,1,1,1
6583,3.0,1,1,1
1610,3.0,1,1,1
1803,3.0,1,1,1
5179,3.0,1,1,1
6098,3.0,1,1,1
5340,3.0,1,1,1
622,3.0,1,1,1
4643,3.0,1,1,1
825,3.0,1,1,1
445,3.0,1,1,1
2628,3.0,1,1,1
10418,3.0,1,1,1
7294,3.0,1,1,1
282991,3.0,1,1,1
4942,3.0,1,1,1
1317,3.0,1,1,1
