Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GENEID
ENSNVIG00000000480,4566469.009,0.074194736,0.158689939,0.467545304,0.640109787,0.926266187,Metazoa_SRP
ENSNVIG00000014720,660344.7185,-0.10666062,0.188073648,-0.567121557,0.570631598,0.904308044,7SK
ENSNVIG00000008067,537504.2465,-0.073175427,0.194361313,-0.37649173,0.706551363,0.946806073,7SK
ENSNVIG00000013631,330520.4726,-0.22698093,0.219511748,-1.034026343,0.301123848,0.759530317,U3
ENSNVIG00000024818,255805.5358,0.954936417,0.176169484,5.420555216,5.94E-08,6.56E-06,
ENSNVIG00000021427,234620.0816,-3.618499625,1.397570891,-2.589134939,0.009621738,0.123919263,LTF
ENSNVIG00000024134,213423.8688,0.223900292,0.169722614,1.319213073,0.187097889,0.641349088,COX1
ENSNVIG00000015271,183097.1977,-0.429329658,0.230147175,-1.865456993,0.062117375,0.378109384,RNaseP_nuc
ENSNVIG00000010604,121315.3341,1.215480412,0.30174415,4.0281822,5.62E-05,0.002262997,HSP90B1
ENSNVIG00000016529,96670.85185,-0.312976196,0.18367989,-1.703921953,0.088395669,0.451967056,RNase_MRP
ENSNVIG00000018656,74762.09169,0.353295645,0.405464253,0.87133611,0.383570659,0.818966166,MYH11
ENSNVIG00000001889,71824.07464,-0.193652414,0.246330828,-0.786147702,0.431780961,0.846356069,COL3A1
ENSNVIG00000023832,71248.60934,0.356462914,0.245578549,1.451523005,0.146634281,0.577760914,FLNA
ENSNVIG00000006796,70941.84853,-2.643640662,0.993658629,-2.660511957,0.007802196,0.107038503,CLU
ENSNVIG00000009846,67583.02329,0.436408027,0.256718805,1.699945695,0.089141141,0.453511097,AOX1
ENSNVIG00000023949,65885.78422,0.34822466,0.193617446,1.798519022,0.072094797,0.409275385,COX2
ENSNVIG00000018787,63624.96962,-3.650768796,1.451326465,-2.515470423,0.011887365,0.140912128,CHGB
ENSNVIG00000024367,62629.90464,0.248589667,0.426252306,0.583198411,0.559759741,0.90119812,ACTA2
ENSNVIG00000002211,56561.82089,-0.483719369,0.332919047,-1.452963935,0.146233768,0.577678743,PKHD1L1
ENSNVIG00000024218,55404.50603,0.115852769,0.362848452,0.319286931,0.749508942,0.957652063,U1
ENSNVIG00000023569,49350.27057,0.355912258,0.161294298,2.20660161,0.027341904,0.24252161,COX3
ENSNVIG00000024868,48410.32079,0.279188618,0.430588036,0.648389168,0.516733275,0.884031753,SPARCL1
ENSNVIG00000000842,45824.49677,-0.101546435,0.204891204,-0.495611492,0.620168543,0.919109292,TPT1
ENSNVIG00000024916,44506.69913,0.483503429,0.264848195,1.825587031,0.067912491,0.397433246,
ENSNVIG00000007264,40688.49982,-0.272237359,0.224508727,-1.212591433,0.225286066,0.689599062,EEF2
ENSNVIG00000018177,37372.94256,0.129730044,0.247847672,0.52342652,0.600677473,0.912991183,COL1A2
ENSNVIG00000022594,37307.48256,-0.19361118,0.194529038,-0.995281643,0.319599303,0.773116813,
ENSNVIG00000001020,36727.45299,-0.344814459,0.205697422,-1.676318819,0.093675761,0.465918448,
ENSNVIG00000007081,35410.29637,0.794849708,0.240016106,3.311651543,0.00092747,0.022368649,SYNE2
ENSNVIG00000018804,34861.29451,0.16625573,0.747166226,0.22251505,0.823912959,0.971101904,TPM1
ENSNVIG00000005167,32854.56142,7.20453683,0.928973898,7.755370573,8.81E-15,4.09E-12,LRP2
ENSNVIG00000024857,32781.78912,-0.216401347,0.313122607,-0.691107387,0.489498058,0.871863894,U2
ENSNVIG00000016412,31357.28818,-0.051543463,0.16625281,-0.310030629,0.756537664,0.959278133,RPL4
ENSNVIG00000001877,31103.54665,0.395509351,0.221856097,1.782729239,0.074630389,0.417374605,SPTBN1
ENSNVIG00000022960,30944.87345,-0.261910237,0.439736868,-0.595606727,0.551437982,0.897073624,CPE
ENSNVIG00000002890,30924.85927,-0.450827555,0.227881075,-1.978345749,0.047889715,0.330829253,U1
ENSNVIG00000024220,30924.85927,-0.450827555,0.227881075,-1.978345749,0.047889715,0.330829253,U1
ENSNVIG00000023917,29292.21381,-0.203943456,0.419693488,-0.485934287,0.627013758,0.922390335,DCN
ENSNVIG00000015580,28383.93299,-0.209295047,0.190291419,-1.099865923,0.271390544,0.735329204,
ENSNVIG00000021198,27825.294,0.106549208,0.199465,0.53417496,0.593220492,0.91053893,
ENSNVIG00000005620,26402.05431,0.226289465,0.243485568,0.929375269,0.35269464,0.795936896,ACTB
ENSNVIG00000010316,25432.35185,-0.464555907,0.203514257,-2.28267009,0.022449809,0.215223512,PSAP
ENSNVIG00000013662,24251.98167,-0.350830302,0.178804594,-1.96208774,0.04975227,0.339177809,RPL13A
ENSNVIG00000003158,23342.82805,-0.460165867,0.23395323,-1.966913928,0.049193135,0.336412613,
