stableID	namegene	nametrans	descript	transtype
ENSNVIG00000000002	RTKN	RTKN-201	rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]	protein_coding
ENSNVIG00000000002	RTKN	RTKN-202	rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]	protein_coding
ENSNVIG00000000003	U4	U4-201	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	snRNA
ENSNVIG00000000004	OSR2	OSR2-201	odd-skipped related transciption factor 2 [Source:HGNC Symbol;Acc:HGNC:15830]	protein_coding
ENSNVIG00000000005	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000006				protein_coding
ENSNVIG00000000007	ATP2B1	ATP2B1-201	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	protein_coding
ENSNVIG00000000007	ATP2B1	ATP2B1-202	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	protein_coding
ENSNVIG00000000008	RSBN1L	RSBN1L-201	round spermatid basic protein 1 like [Source:HGNC Symbol;Acc:HGNC:24765]	protein_coding
ENSNVIG00000000009	CDHR4	CDHR4-201	cadherin related family member 4 [Source:HGNC Symbol;Acc:HGNC:34527]	protein_coding
ENSNVIG00000000010	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000011				pseudogene
ENSNVIG00000000012				lncRNA
ENSNVIG00000000013				lncRNA
ENSNVIG00000000014	IRX2	IRX2-201	iroquois homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14359]	protein_coding
ENSNVIG00000000015				snoRNA
ENSNVIG00000000016				pseudogene
ENSNVIG00000000017	VPS13B	VPS13B-201	vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183]	protein_coding
ENSNVIG00000000017	VPS13B	VPS13B-202	vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183]	protein_coding
ENSNVIG00000000017	VPS13B	VPS13B-203	vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183]	protein_coding
ENSNVIG00000000018				pseudogene
ENSNVIG00000000019	U2	U2-201	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	snRNA
ENSNVIG00000000020				protein_coding
ENSNVIG00000000021	TMM60	TMM60-201		protein_coding
ENSNVIG00000000022	SNORD15	SNORD15-201	Small nucleolar RNA SNORD15 [Source:RFAM;Acc:RF00067]	snoRNA
ENSNVIG00000000023	SNORD15	SNORD15-201	Small nucleolar RNA SNORD15 [Source:RFAM;Acc:RF00067]	snoRNA
ENSNVIG00000000024	TMEM129	TMEM129-201	transmembrane protein 129 [Source:HGNC Symbol;Acc:HGNC:25137]	protein_coding
ENSNVIG00000000025	HSPH1	HSPH1-201	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]	protein_coding
ENSNVIG00000000025	HSPH1	HSPH1-202	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]	protein_coding
ENSNVIG00000000026				protein_coding
ENSNVIG00000000026				protein_coding
ENSNVIG00000000026				protein_coding
ENSNVIG00000000027	KLHL35	KLHL35-201	kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]	protein_coding
ENSNVIG00000000028	ILF3	ILF3-201	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	protein_coding
ENSNVIG00000000028	ILF3	ILF3-202	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	protein_coding
ENSNVIG00000000028	ILF3	ILF3-203	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	protein_coding
ENSNVIG00000000029	NRL	NRL-201	neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002]	protein_coding
ENSNVIG00000000030				protein_coding
ENSNVIG00000000031	U4	U4-201	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	snRNA
ENSNVIG00000000032	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000033	TRIM4	TRIM4-201	tripartite motif containing 4 [Source:HGNC Symbol;Acc:HGNC:16275]	protein_coding
ENSNVIG00000000034	INKA1	INKA1-201	inka box actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:32480]	protein_coding
ENSNVIG00000000035	TNNC1	TNNC1-201	"troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]"	protein_coding
ENSNVIG00000000036	CNTFR	CNTFR-201	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	protein_coding
ENSNVIG00000000037	WDR54	WDR54-201	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	protein_coding
ENSNVIG00000000037	WDR54	WDR54-202	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	protein_coding
ENSNVIG00000000038	UBA7	UBA7-201	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	protein_coding
ENSNVIG00000000039	SOAT2	SOAT2-201	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178]	protein_coding
ENSNVIG00000000040	SMLR1	SMLR1-201	small leucine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:44670]	protein_coding
ENSNVIG00000000041	CCNJ	CCNJ-201	cyclin J [Source:HGNC Symbol;Acc:HGNC:23434]	protein_coding
