TXNAME	GENEID
ENSNVIG00000000002	RTKN
ENSNVIG00000000002	RTKN
ENSNVIG00000000003	U4
ENSNVIG00000000004	OSR2
ENSNVIG00000000005	U6
ENSNVIG00000000006	
ENSNVIG00000000007	ATP2B1
ENSNVIG00000000007	ATP2B1
ENSNVIG00000000008	RSBN1L
ENSNVIG00000000009	CDHR4
ENSNVIG00000000010	U6
ENSNVIG00000000011	
ENSNVIG00000000012	
ENSNVIG00000000013	
ENSNVIG00000000014	IRX2
ENSNVIG00000000015	
ENSNVIG00000000016	
ENSNVIG00000000017	VPS13B
ENSNVIG00000000017	VPS13B
ENSNVIG00000000017	VPS13B
ENSNVIG00000000018	
ENSNVIG00000000019	U2
ENSNVIG00000000020	
ENSNVIG00000000021	TMM60
ENSNVIG00000000022	SNORD15
ENSNVIG00000000023	SNORD15
ENSNVIG00000000024	TMEM129
ENSNVIG00000000025	HSPH1
ENSNVIG00000000025	HSPH1
ENSNVIG00000000026	
ENSNVIG00000000026	
ENSNVIG00000000026	
ENSNVIG00000000027	KLHL35
ENSNVIG00000000028	ILF3
ENSNVIG00000000028	ILF3
ENSNVIG00000000028	ILF3
ENSNVIG00000000029	NRL
ENSNVIG00000000030	
ENSNVIG00000000031	U4
ENSNVIG00000000032	5S_rRNA
ENSNVIG00000000033	TRIM4
ENSNVIG00000000034	INKA1
ENSNVIG00000000035	TNNC1
ENSNVIG00000000036	CNTFR
ENSNVIG00000000037	WDR54
ENSNVIG00000000037	WDR54
ENSNVIG00000000038	UBA7
ENSNVIG00000000039	SOAT2
ENSNVIG00000000040	SMLR1
ENSNVIG00000000041	CCNJ
ENSNVIG00000000042	MTM1
ENSNVIG00000000043	OPN1SW
ENSNVIG00000000044	ATP4B
ENSNVIG00000000045	ACKR1
ENSNVIG00000000046	GJC3
ENSNVIG00000000047	AZGP1
ENSNVIG00000000048	SEMA3G
ENSNVIG00000000049	
ENSNVIG00000000050	CASQ2
ENSNVIG00000000051	TFDP1
ENSNVIG00000000052	STK11IP
ENSNVIG00000000053	ZKSCAN1
ENSNVIG00000000054	USP6NL
ENSNVIG00000000054	USP6NL
ENSNVIG00000000054	USP6NL
ENSNVIG00000000054	USP6NL
ENSNVIG00000000054	USP6NL
ENSNVIG00000000055	SETBP1
ENSNVIG00000000056	BOD1L1
ENSNVIG00000000057	SFI1
ENSNVIG00000000057	SFI1
ENSNVIG00000000057	SFI1
ENSNVIG00000000057	SFI1
ENSNVIG00000000057	SFI1
ENSNVIG00000000058	GDPD5
ENSNVIG00000000058	GDPD5
ENSNVIG00000000058	GDPD5
ENSNVIG00000000058	GDPD5
ENSNVIG00000000059	CALU
ENSNVIG00000000059	CALU
ENSNVIG00000000059	CALU
ENSNVIG00000000059	CALU
ENSNVIG00000000060	INPP1
ENSNVIG00000000061	CC2D2B
ENSNVIG00000000061	CC2D2B
ENSNVIG00000000061	CC2D2B
ENSNVIG00000000062	
ENSNVIG00000000063	IRX1
ENSNVIG00000000064	
ENSNVIG00000000065	ENHO
ENSNVIG00000000066	PHTF2
ENSNVIG00000000066	PHTF2
ENSNVIG00000000066	PHTF2
ENSNVIG00000000066	PHTF2
ENSNVIG00000000066	PHTF2
ENSNVIG00000000067	
ENSNVIG00000000068	CN028
ENSNVIG00000000068	CN028
