,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GENEID,hgnc_id
33,ENSNVIG00000000035,12.87203123,-1.507326223,0.691026233,-2.181286541,0.029162229,0.251598194,TNNC1,HGNC:11943
45,ENSNVIG00000000047,1409.041321,0.707851749,0.320321626,2.209815668,0.027117958,0.241124508,AZGP1,HGNC:910
46,ENSNVIG00000000048,1288.469261,-1.852594391,0.265179698,-6.986184865,2.82E-12,7.22E-10,SEMA3G,HGNC:30400
51,ENSNVIG00000000053,2399.142211,0.612159182,0.253374662,2.416023671,0.015691041,0.171184127,ZKSCAN1,HGNC:13101
53,ENSNVIG00000000055,717.9210871,0.452816888,0.224864011,2.013736597,0.044037196,0.318321395,SETBP1,HGNC:15573
58,ENSNVIG00000000060,297.0501059,0.817941705,0.20882111,3.916949314,8.97E-05,0.003282048,INPP1,HGNC:6071
77,ENSNVIG00000000079,320.3627979,1.233304805,0.262645303,4.695704786,2.66E-06,0.000179533,ABAT,HGNC:23
81,ENSNVIG00000000083,1171.787901,-0.47441945,0.230578228,-2.05752058,0.039636177,0.300478784,ATP11C,HGNC:13554
88,ENSNVIG00000000090,195.8236838,0.514035035,0.257646629,1.995116475,0.046030178,0.325822288,STX3,HGNC:11438
101,ENSNVIG00000000104,116.8932641,-2.509040787,0.378331353,-6.631860585,3.31E-11,6.65E-09,ADAMTS16,HGNC:17108
121,ENSNVIG00000000127,3585.692302,-0.447613334,0.213238403,-2.09912158,0.035806185,0.28329693,ASCC3,HGNC:18697
122,ENSNVIG00000000128,141.5093685,2.701582169,0.431767035,6.257036671,3.92E-10,6.47E-08,MAB21L3,HGNC:26787
144,ENSNVIG00000000151,311.8530529,0.762728647,0.271744849,2.806782351,0.005003904,0.078321307,CPEB2,HGNC:21745
147,ENSNVIG00000000154,2147.883865,0.449259693,0.218032601,2.06051614,0.039349224,0.29954231,DCAF11,HGNC:20258
150,ENSNVIG00000000157,12991.48954,0.900567157,0.213152088,4.224998048,2.39E-05,0.001107294,ATP1A1,HGNC:799
156,ENSNVIG00000000163,2983.731375,0.527918554,0.269247051,1.960721771,0.049911488,0.339777971,ACACA,HGNC:84
167,ENSNVIG00000000174,781.5728962,-0.373349095,0.162237975,-2.301243557,0.021377868,0.209396628,BAP1,HGNC:950
180,ENSNVIG00000000188,115.6664483,-0.793848968,0.367147683,-2.162206122,0.030602292,0.259628626,FAM81A,HGNC:28379
192,ENSNVIG00000000200,1068.434208,0.43077108,0.163728765,2.631004278,0.008513296,0.113552569,IGSF3,HGNC:5950
206,ENSNVIG00000000216,699.3485038,1.765315497,0.396144096,4.456245887,8.34E-06,0.000470362,CCSER1,HGNC:29349
211,ENSNVIG00000000222,1128.190478,-0.664909869,0.21467073,-3.097347592,0.001952608,0.040138295,ARHGAP18,HGNC:21035
219,ENSNVIG00000000230,1981.591074,0.497590307,0.224298433,2.218429705,0.026525548,0.237383533,PTGFRN,HGNC:9601
239,ENSNVIG00000000251,105.2372974,0.98925313,0.466204903,2.121927768,0.033843804,0.274236721,CD101,HGNC:5949
240,ENSNVIG00000000252,670.2797944,2.965619256,0.392552306,7.554711088,4.20E-14,1.69E-11,IMPDH1,HGNC:6052
249,ENSNVIG00000000261,1869.655479,-1.661211216,0.388980333,-4.270681765,1.95E-05,0.000931217,CD74,HGNC:1697
269,ENSNVIG00000000283,98.98566993,-1.642517629,0.336443726,-4.881998094,1.05E-06,8.01E-05,CCNB2,HGNC:1580
274,ENSNVIG00000000288,219.7388346,1.590245101,0.412525836,3.854898193,0.000115778,0.004086952,MSTN,HGNC:4223
278,ENSNVIG00000000292,202.57531,-0.753706763,0.291836002,-2.582638048,0.009804813,0.125017475,CELF2,HGNC:2550
287,ENSNVIG00000000302,1890.411206,0.848743236,0.318607358,2.663915989,0.007723685,0.106687974,PMS1,HGNC:9121
323,ENSNVIG00000000340,2075.437024,-0.511378268,0.174202255,-2.935543329,0.003329641,0.058302927,ARHGAP12,HGNC:16348
330,ENSNVIG00000000347,570.1772529,0.595296929,0.252135249,2.361022232,0.018224638,0.188354224,FRY,HGNC:20367
355,ENSNVIG00000000373,1364.01402,-0.372970936,0.170757107,-2.184219115,0.028946151,0.250509246,MINDY2,HGNC:26954
