"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","BP","GO:0044282","small molecule catabolic process","69/1639","385/18903",4.72046395857981e-09,2.77516076124907e-05,2.34482836005664e-05,"CYP24A1/APOBEC1/MAT1A/CYP1A1/GLDC/NUDT19/SLC27A2/OAT/TKTL1/MFSD2A/XDH/NUDT5/HADHB/ABAT/HPD/DAO/SRD5A3/GPD2/DPEP1/FUT4/HADHA/BAD/SCLY/DCXR/ENO3/GCAT/RENBP/SCP2/FAH/ABHD2/SHMT2/TST/HSD17B4/PGD/BPNT1/ABHD3/GK5/RBKS/ECHS1/HNMT/INPP5B/GOT1/KYAT3/TIGAR/ECI2/HMGCL/ACADVL/GLUL/ADH4/HMGCLL1/GLB1/AKR1A1/ACOT8/ATP2B4/PCK2/BCAT2/AADAT/ALDH4A1/PFKP/CROT/SYNJ2/LPIN2/TYSND1/THNSL2/AASS/ACACB/SARDH/AICDA/HK3",69
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","46/1639","229/18903",5.54195811794132e-08,0.000162905858876885,0.00013764473872929,"CAPN3/PTGS2/CYP1A1/NQO1/SLC12A3/CLDN1/ECT2/CCNA2/DPEP1/BAD/PPIF/ADCY7/DLG2/TIMELESS/CPNE8/MEF2A/GPLD1/CDH1/HVCN1/FBP1/PRNP/SLC40A1/TIGAR/HMOX1/JUNB/BMP6/NFE2L2/HSPA5/CAMK2D/EIF4A3/NFATC4/SLC25A23/P2RX4/EGFR/ITPKB/TRPM2/STK39/SYT17/HFE/RYR1/SCN5A/ADCY8/DDX11/SLC1A1/KCNC2/CPNE7",46
"GO:0046394","BP","GO:0046394","carboxylic acid biosynthetic process","58/1639","326/18903",1.02724219423136e-07,0.00018761541231013,0.00015852268658141,"GATM/ACSM4/PTGS2/CYP1A1/CTH/SLC27A2/OAT/FA2H/ELOVL6/ASS1/SLC45A3/PHGDH/RDH10/PSAT1/ABAT/BRCA1/ACOT7/OSBPL3/PLA2G3/ALDH1A3/PLA2G5/PTGIS/ELOVL5/MGLL/SCP2/ABHD2/SHMT2/PCBD2/HSD3B7/LTA4H/ABHD3/UGDH/GGT5/GOT1/PLA2G4A/ACADVL/GLUL/PDK4/ELOVL1/HACD2/ACLY/ASNSD1/SUCLA2/AKR1A1/PRKAB2/SERINC3/NANP/ACOT8/ATP2B4/BCAT2/OSBPL1A/PLOD2/ACSBG1/THNSL2/FASN/AASS/ACACB/MLXIPL",58
"GO:0016053","BP","GO:0016053","organic acid biosynthetic process","58/1639","328/18903",1.27651241578588e-07,0.00018761541231013,0.00015852268658141,"GATM/ACSM4/PTGS2/CYP1A1/CTH/SLC27A2/OAT/FA2H/ELOVL6/ASS1/SLC45A3/PHGDH/RDH10/PSAT1/ABAT/BRCA1/ACOT7/OSBPL3/PLA2G3/ALDH1A3/PLA2G5/PTGIS/ELOVL5/MGLL/SCP2/ABHD2/SHMT2/PCBD2/HSD3B7/LTA4H/ABHD3/UGDH/GGT5/GOT1/PLA2G4A/ACADVL/GLUL/PDK4/ELOVL1/HACD2/ACLY/ASNSD1/SUCLA2/AKR1A1/PRKAB2/SERINC3/NANP/ACOT8/ATP2B4/BCAT2/OSBPL1A/PLOD2/ACSBG1/THNSL2/FASN/AASS/ACACB/MLXIPL",58
"GO:0016054","BP","GO:0016054","organic acid catabolic process","47/1639","247/18903",2.19125595124259e-07,0.000257647874747104,0.000217695512292922,"MAT1A/GLDC/NUDT19/SLC27A2/OAT/MFSD2A/HADHB/ABAT/HPD/DAO/DPEP1/HADHA/SCLY/DCXR/GCAT/RENBP/SCP2/FAH/ABHD2/SHMT2/TST/HSD17B4/PGD/ABHD3/ECHS1/HNMT/GOT1/KYAT3/ECI2/HMGCL/ACADVL/GLUL/HMGCLL1/AKR1A1/ACOT8/ATP2B4/PCK2/BCAT2/AADAT/ALDH4A1/CROT/LPIN2/TYSND1/THNSL2/AASS/ACACB/SARDH",47
"GO:0010038","BP","GO:0010038","response to metal ion","61/1639","360/18903",2.87558823049381e-07,0.000281759720117885,0.000238068436135093,"FGG/CAPN3/FGB/PTGS2/CYP1A1/NQO1/CLDN1/ACTA1/PCSK1/ASS1/ECT2/PENK/ABAT/DPEP1/BAD/PPIF/ADCY7/TFRC/DLG2/SLC30A4/CPNE8/MEF2A/GPLD1/CDH1/GCLC/LTA4H/ITPR3/HVCN1/FBP1/ADAM9/PRNP/SLC40A1/TIGAR/CD14/HMOX1/JUNB/NDRG1/P2RX7/BMP6/NFE2L2/HSPA5/CAMK2D/SLC25A13/NFATC4/SLC25A23/P2RX4/EGFR/ITPKB/TRPM2/STK39/SYT17/TERT/HFE/RYR1/SCN5A/ADCY8/CACNA1G/SLC1A1/KCNC2/CPNE7/ABCC6",61
"GO:0007059","BP","GO:0007059","chromosome segregation","63/1639","382/18903",4.92183106757047e-07,0.000413363497803526,0.000349264974554362,"CENPT/DLGAP5/KIF11/KIF2C/DSCC1/BUB1/NCAPH/TOP2A/FAM83D/KIF14/PRC1/NCAPG/CENPE/TTK/NDC80/ECT2/AURKB/BIRC5/CENPF/CDCA2/KIF4A/CENPK/CDC20/KASH5/KIF18A/ESPL1/CENPH/BRCA1/ESCO2/KNL1/KIF22/FANCM/TEX15/DUSP1/MIS18A/BRIP1/RNF212B/FANCD2/CDCA8/NCAPG2/NDC1/SPC24/FBXO5/SGO2/RAB11A/RAD18/GEN1/SRPK1/ANAPC5/NR3C1/PHB2/NSL1/SMC4/CHMP4B/CDC16/POGZ/ARID1B/MAP10/SMARCD1/ARID1A/HFM1/DDX11/REC8",63
"GO:0006814","BP","GO:0006814","sodium ion transport","47/1639","255/18903",5.7591511495526e-07,0.000423225620102747,0.000357597819404457,"ATP12A/SLC5A9/SLC38A11/SCNN1B/SLC22A4/SLC12A3/SCNN1G/SGK1/GLRX/SLC4A11/KLHL3/SLC9A2/PKD2L1/SLC4A8/SLC5A8/KCNQ1/SLC6A14/TESC/SLC22A5/ATP1B1/SLC3A2/P2RX7/CHP1/SLC20A1/CAMK2D/ATP2B4/P2RX4/SLC20A2/SLC9A3R1/TRPM2/PER1/STK39/WNK1/SLC9A1/SLC5A6/SCN5A/SLC6A9/CACNA1G/ATP4A/SLC24A5/HECW1/ATP1A2/GPD1L/NKAIN2/WNK2/HCN4/ASIC2",47
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","55/1639","321/18903",7.61260163005837e-07,0.000445348458766561,0.000376290163368171,"DLGAP5/KIF11/KIF2C/DSCC1/BUB1/NCAPH/TOP2A/FAM83D/KIF14/PRC1/NCAPG/CENPE/TTK/NDC80/ECT2/AURKB/BIRC5/CENPF/KIF4A/CENPK/CDC20/KASH5/KIF18A/ESPL1/ESCO2/KNL1/KIF22/FANCM/TEX15/DUSP1/BRIP1/RNF212B/FANCD2/CDCA8/NCAPG2/NDC1/SPC24/FBXO5/SGO2/RAB11A/GEN1/ANAPC5/PHB2/NSL1/SMC4/CHMP4B/CDC16/POGZ/ARID1B/MAP10/SMARCD1/ARID1A/HFM1/DDX11/REC8",55
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","40/1639","204/18903",7.70955114304712e-07,0.000445348458766561,0.000376290163368171,"DLGAP5/KIF11/KIF2C/DSCC1/BUB1/NCAPH/KIF14/PRC1/NCAPG/CENPE/TTK/NDC80/AURKB/BIRC5/CENPF/KIF4A/CENPK/CDC20/KIF18A/ESPL1/ESCO2/KIF22/DUSP1/CDCA8/NCAPG2/SPC24/FBXO5/SGO2/RAB11A/GEN1/ANAPC5/NSL1/SMC4/CHMP4B/CDC16/POGZ/ARID1B/MAP10/SMARCD1/ARID1A",40
