gene_id,transcript_id(s),length,effective_length,expected_count,TPM,FPKM
ENSNVIG00000000002,"ENSNVIT00000000006,ENSNVIT00000000010",2352.31,2190.36,357,1.89,7.74
ENSNVIG00000000003,ENSNVIT00000000002,143,14.72,0,0,0
ENSNVIG00000000004,ENSNVIT00000000003,939,777.05,254.65,3.8,15.57
ENSNVIG00000000005,ENSNVIT00000000004,103,2.81,0,0,0
ENSNVIG00000000006,ENSNVIT00000000005,629,467.06,2,0.05,0.2
ENSNVIG00000000007,"ENSNVIT00000000201,ENSNVIT00000000242",3660.68,3498.74,11387,37.72,154.63
ENSNVIG00000000008,ENSNVIT00000000012,2490,2328.05,976,4.86,19.92
ENSNVIG00000000009,ENSNVIT00000000024,2361,2199.05,0,0,0
ENSNVIG00000000010,ENSNVIT00000000007,103,2.81,0,0,0
ENSNVIG00000000011,ENSNVIT00000000014,2424,2262.05,0,0,0
ENSNVIG00000000012,ENSNVIT00000000008,849,687.05,49,0.83,3.39
ENSNVIG00000000013,ENSNVIT00000000009,870,708.05,24,0.39,1.61
ENSNVIG00000000014,ENSNVIT00000000013,1425,1263.05,0,0,0
ENSNVIG00000000015,ENSNVIT00000000011,95,1.76,0,0,0
ENSNVIG00000000016,ENSNVIT00000000016,702,540.06,35.32,0.76,3.11
ENSNVIG00000000017,"ENSNVIT00000000400,ENSNVIT00000000411,ENSNVIT00000000428",8844.79,8682.85,5258,7.02,28.77
ENSNVIG00000000018,ENSNVIT00000000018,885,723.05,0,0,0
ENSNVIG00000000019,ENSNVIT00000000015,191,43.98,20.35,5.36,21.98
ENSNVIG00000000020,ENSNVIT00000000017,279,120.17,0,0,0
ENSNVIG00000000021,ENSNVIT00000000019,402,240.36,108,5.21,21.35
ENSNVIG00000000022,ENSNVIT00000000020,148,17.05,1039,706.15,2894.52
ENSNVIG00000000023,ENSNVIT00000000021,145,15.63,3534,2620.45,10741.22
ENSNVIG00000000024,ENSNVIT00000000022,2601,2439.05,895,4.25,17.43
ENSNVIG00000000025,"ENSNVIT00000000206,ENSNVIT00000000222",2566.35,2404.41,4591,22.13,90.72
ENSNVIG00000000026,"ENSNVIT00000000071,ENSNVIT00000000074,ENSNVIT00000000081",1075.98,914.04,30.34,0.38,1.58
ENSNVIG00000000027,ENSNVIT00000000035,1749,1587.05,0,0,0
ENSNVIG00000000028,"ENSNVIT00000000585,ENSNVIT00000000617,ENSNVIT00000000631",2410.46,2248.51,1279,6.59,27.02
ENSNVIG00000000029,ENSNVIT00000000043,2472,2310.05,0,0,0
ENSNVIG00000000030,ENSNVIT00000000031,972,810.05,0,0,0
ENSNVIG00000000031,ENSNVIT00000000023,126,8.21,0,0,0
ENSNVIG00000000032,ENSNVIT00000000025,107,3.49,0,0,0
ENSNVIG00000000033,ENSNVIT00000000027,1395,1233.05,305,2.87,11.75
ENSNVIG00000000034,ENSNVIT00000000026,846,684.05,69,1.17,4.79
ENSNVIG00000000035,ENSNVIT00000000028,933,771.05,20,0.3,1.23
ENSNVIG00000000036,ENSNVIT00000000038,1116,954.05,24,0.29,1.2
ENSNVIG00000000037,"ENSNVIT00000000056,ENSNVIT00000000067",1172,1010.05,65,0.75,3.06
ENSNVIG00000000038,ENSNVIT00000000214,3063,2901.05,112,0.45,1.83
ENSNVIG00000000039,ENSNVIT00000000030,2269,2107.05,15,0.08,0.34
