gene_id,transcript_id(s),length,effective_length,expected_count,TPM,FPKM
ENSNVIG00000000002,"ENSNVIT00000000006,ENSNVIT00000000010",2303.25,2130.58,345,2.15,8.62
ENSNVIG00000000003,ENSNVIT00000000002,143,12.04,0,0,0
ENSNVIG00000000004,ENSNVIT00000000003,939,766.33,241.55,4.19,16.78
ENSNVIG00000000005,ENSNVIT00000000004,103,2.17,0,0,0
ENSNVIG00000000006,ENSNVIT00000000005,629,456.34,1,0.03,0.12
ENSNVIG00000000007,"ENSNVIT00000000201,ENSNVIT00000000242",3661.89,3489.22,10380,39.51,158.35
ENSNVIG00000000008,ENSNVIT00000000012,2490,2317.33,787,4.51,18.08
ENSNVIG00000000009,ENSNVIT00000000024,2361,2188.33,0,0,0
ENSNVIG00000000010,ENSNVIT00000000007,103,2.17,0,0,0
ENSNVIG00000000011,ENSNVIT00000000014,2424,2251.33,4,0.02,0.09
ENSNVIG00000000012,ENSNVIT00000000008,849,676.33,38,0.75,2.99
ENSNVIG00000000013,ENSNVIT00000000009,870,697.33,25,0.48,1.91
ENSNVIG00000000014,ENSNVIT00000000013,1425,1252.33,0,0,0
ENSNVIG00000000015,ENSNVIT00000000011,95,1.32,0,0,0
ENSNVIG00000000016,ENSNVIT00000000016,702,529.33,28.11,0.71,2.83
ENSNVIG00000000017,"ENSNVIT00000000400,ENSNVIT00000000411,ENSNVIT00000000428",8431.06,8258.39,5288,8.5,34.08
ENSNVIG00000000018,ENSNVIT00000000018,885,712.33,5,0.09,0.37
ENSNVIG00000000019,ENSNVIT00000000015,191,37.85,1.01,0.35,1.42
ENSNVIG00000000020,ENSNVIT00000000017,279,110.59,0,0,0
ENSNVIG00000000021,ENSNVIT00000000019,402,229.77,111,6.42,25.71
ENSNVIG00000000022,ENSNVIT00000000020,148,14.02,528,500.26,2004.93
ENSNVIG00000000023,ENSNVIT00000000021,145,12.81,2062,2137.7,8567.43
ENSNVIG00000000024,ENSNVIT00000000022,2601,2428.33,890,4.87,19.51
ENSNVIG00000000025,"ENSNVIT00000000206,ENSNVIT00000000222",2573.25,2400.58,4578,25.33,101.51
ENSNVIG00000000026,"ENSNVIT00000000071,ENSNVIT00000000074,ENSNVIT00000000081",1194,1021.33,28.5,0.37,1.49
ENSNVIG00000000027,ENSNVIT00000000035,1749,1576.33,0,0,0
ENSNVIG00000000028,"ENSNVIT00000000585,ENSNVIT00000000617,ENSNVIT00000000631",2442.73,2270.06,1253,7.33,29.38
ENSNVIG00000000029,ENSNVIT00000000043,2472,2299.33,0,0,0
ENSNVIG00000000030,ENSNVIT00000000031,972,799.33,0,0,0
ENSNVIG00000000031,ENSNVIT00000000023,126,6.6,0,0,0
ENSNVIG00000000032,ENSNVIT00000000025,107,2.71,0,0,0
ENSNVIG00000000033,ENSNVIT00000000027,1395,1222.33,326,3.54,14.2
ENSNVIG00000000034,ENSNVIT00000000026,846,673.33,108,2.13,8.54
ENSNVIG00000000035,ENSNVIT00000000028,933,760.33,42,0.73,2.94
ENSNVIG00000000036,ENSNVIT00000000038,1116,943.33,12,0.17,0.68
ENSNVIG00000000037,"ENSNVIT00000000056,ENSNVIT00000000067",1127.38,954.71,52,0.72,2.9
ENSNVIG00000000038,ENSNVIT00000000214,3063,2890.33,209,0.96,3.85
ENSNVIG00000000039,ENSNVIT00000000030,2269,2096.33,7,0.04,0.18
ENSNVIG00000000040,ENSNVIT00000000029,315,144.57,0,0,0
ENSNVIG00000000041,ENSNVIT00000000033,2908,2735.33,370,1.8,7.2
ENSNVIG00000000042,ENSNVIT00000000040,1812,1639.33,376,3.05,12.21
ENSNVIG00000000043,ENSNVIT00000000037,1047,874.33,2,0.03,0.12
ENSNVIG00000000044,ENSNVIT00000000036,870,697.33,0,0,0
ENSNVIG00000000045,ENSNVIT00000000034,996,823.33,59,0.95,3.81
ENSNVIG00000000046,ENSNVIT00000000032,1049,876.33,13,0.2,0.79
