gene_id,transcript_id(s),length,effective_length,expected_count,TPM,FPKM
ENSNVIG00000000002,"ENSNVIT00000000006,ENSNVIT00000000010",2245.13,2090.32,238,1.61,5.81
ENSNVIG00000000003,ENSNVIT00000000002,143,18.71,0,0,0
ENSNVIG00000000004,ENSNVIT00000000003,939,784.19,52.05,0.94,3.39
ENSNVIG00000000005,ENSNVIT00000000004,103,3.94,0,0,0
ENSNVIG00000000006,ENSNVIT00000000005,629,474.2,3,0.09,0.32
ENSNVIG00000000007,"ENSNVIT00000000201,ENSNVIT00000000242",3661.49,3506.68,3168,12.8,46.12
ENSNVIG00000000008,ENSNVIT00000000012,2490,2335.19,527,3.2,11.52
ENSNVIG00000000009,ENSNVIT00000000024,2361,2206.19,0,0,0
ENSNVIG00000000010,ENSNVIT00000000007,103,3.94,0,0,0
ENSNVIG00000000011,ENSNVIT00000000014,2424,2269.19,2,0.01,0.04
ENSNVIG00000000012,ENSNVIT00000000008,849,694.19,42,0.86,3.09
ENSNVIG00000000013,ENSNVIT00000000009,870,715.19,25,0.5,1.78
ENSNVIG00000000014,ENSNVIT00000000013,1425,1270.19,0,0,0
ENSNVIG00000000015,ENSNVIT00000000011,95,2.44,0,0,0
ENSNVIG00000000016,ENSNVIT00000000016,702,547.19,46.12,1.19,4.3
ENSNVIG00000000017,"ENSNVIT00000000400,ENSNVIT00000000411,ENSNVIT00000000428",8651.25,8496.44,2697,4.5,16.21
ENSNVIG00000000018,ENSNVIT00000000018,885,730.19,0,0,0
ENSNVIG00000000019,ENSNVIT00000000015,191,50.08,14.02,3.97,14.29
ENSNVIG00000000020,ENSNVIT00000000017,279,127.21,0,0,0
ENSNVIG00000000021,ENSNVIT00000000019,402,247.51,44.41,2.54,9.16
ENSNVIG00000000022,ENSNVIT00000000020,148,21.36,288,190.96,688.26
ENSNVIG00000000023,ENSNVIT00000000021,145,19.75,635,455.34,1641.11
ENSNVIG00000000024,ENSNVIT00000000022,2601,2446.19,848,4.91,17.7
ENSNVIG00000000025,"ENSNVIT00000000206,ENSNVIT00000000222",2570.71,2415.9,2240,13.13,47.34
ENSNVIG00000000026,"ENSNVIT00000000071,ENSNVIT00000000074,ENSNVIT00000000081",754,599.21,0,0,0
ENSNVIG00000000027,ENSNVIT00000000035,1749,1594.19,0,0,0
ENSNVIG00000000028,"ENSNVIT00000000585,ENSNVIT00000000617,ENSNVIT00000000631",2401.39,2246.59,1157,7.3,26.29
ENSNVIG00000000029,ENSNVIT00000000043,2472,2317.19,2,0.01,0.04
ENSNVIG00000000030,ENSNVIT00000000031,972,817.19,0,0,0
ENSNVIG00000000031,ENSNVIT00000000023,126,10.96,0,0,0
ENSNVIG00000000032,ENSNVIT00000000025,107,4.87,0,0,0
ENSNVIG00000000033,ENSNVIT00000000027,1395,1240.19,309,3.53,12.72
ENSNVIG00000000034,ENSNVIT00000000026,846,691.19,58,1.19,4.28
ENSNVIG00000000035,ENSNVIT00000000028,933,778.19,0,0,0
ENSNVIG00000000036,ENSNVIT00000000038,1116,961.19,5,0.07,0.27
ENSNVIG00000000037,"ENSNVIT00000000056,ENSNVIT00000000067",1153.07,998.27,59,0.84,3.02
ENSNVIG00000000038,ENSNVIT00000000214,3063,2908.19,86,0.42,1.51
ENSNVIG00000000039,ENSNVIT00000000030,2269,2114.19,7,0.05,0.17
ENSNVIG00000000040,ENSNVIT00000000029,315,161.8,0,0,0
ENSNVIG00000000041,ENSNVIT00000000033,2908,2753.19,218,1.12,4.04
ENSNVIG00000000042,ENSNVIT00000000040,1812,1657.19,397.54,3.4,12.25
ENSNVIG00000000043,ENSNVIT00000000037,1047,892.19,0,0,0
ENSNVIG00000000044,ENSNVIT00000000036,870,715.19,0,0,0
ENSNVIG00000000045,ENSNVIT00000000034,996,841.19,23,0.39,1.4
ENSNVIG00000000046,ENSNVIT00000000032,1049,894.19,4,0.06,0.23
ENSNVIG00000000047,ENSNVIT00000000039,894,739.19,922,17.67,63.68
ENSNVIG00000000048,ENSNVIT00000000075,2313,2158.19,256,1.68,6.06
ENSNVIG00000000049,ENSNVIT00000000045,738,583.19,0,0,0
ENSNVIG00000000050,ENSNVIT00000000062,1233,1078.19,39,0.51,1.85
ENSNVIG00000000051,ENSNVIT00000000050,1221,1066.19,384,5.1,18.39
ENSNVIG00000000052,ENSNVIT00000000064,4126,3971.19,201,0.72,2.58
ENSNVIG00000000053,ENSNVIT00000000047,2251,2096.19,2183,14.75,53.17
ENSNVIG00000000054,"ENSNVIT00000000223,ENSNVIT00000000282,ENSNVIT00000000294,ENSNVIT00000000298,ENSNVIT00000000312",4140.62,3985.81,1027,3.65,13.15
ENSNVIG00000000055,ENSNVIT00000000088,4758,4603.19,167,0.51,1.85
ENSNVIG00000000056,ENSNVIT00000000087,8916,8761.19,1995,3.23,11.63
ENSNVIG00000000057,"ENSNVIT00000001085,ENSNVIT00000001100,ENSNVIT00000001138,ENSNVIT00000001152,ENSNVIT00000001161",3603.01,3448.2,309,1.27,4.57
ENSNVIG00000000058,"ENSNVIT00000000200,ENSNVIT00000000254,ENSNVIT00000000261,ENSNVIT00000000264",2195.29,2040.53,278,1.93,6.96
ENSNVIG00000000059,"ENSNVIT00000000135,ENSNVIT00000000177,ENSNVIT00000000187,ENSNVIT00000000198",1835.76,1680.96,5203,43.84,158.02
ENSNVIG00000000060,ENSNVIT00000000048,1209,1054.19,312,4.19,15.11
ENSNVIG00000000061,"ENSNVIT00000000217,ENSNVIT00000000241,ENSNVIT00000000250",2775,2620.19,0,0,0
ENSNVIG00000000062,ENSNVIT00000000041,858,703.19,1,0.02,0.07
ENSNVIG00000000063,ENSNVIT00000000060,1344,1189.19,1,0.01,0.04
ENSNVIG00000000064,ENSNVIT00000000042,1279,1124.19,83.04,1.05,3.77
ENSNVIG00000000065,ENSNVIT00000000044,231,83.18,1,0.17,0.61
ENSNVIG00000000066,"ENSNVIT00000000583,ENSNVIT00000000619,ENSNVIT00000000636,ENSNVIT00000000687,ENSNVIT00000000694",3526.49,3371.69,135,0.57,2.04
ENSNVIG00000000067,ENSNVIT00000000046,1505,1350.19,1960,20.56,74.11
ENSNVIG00000000068,"ENSNVIT00000000077,ENSNVIT00000000108",933,778.19,29,0.53,1.9
ENSNVIG00000000069,"ENSNVIT00000000118,ENSNVIT00000000146,ENSNVIT00000000150",1144,989.19,55,0.79,2.84
ENSNVIG00000000070,ENSNVIT00000000059,3333,3178.19,36,0.16,0.58
ENSNVIG00000000071,ENSNVIT00000000054,1770,1615.19,431.79,3.79,13.65
ENSNVIG00000000072,"ENSNVIT00000000184,ENSNVIT00000000190",884.7,729.9,30,0.58,2.1
